Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Peter Georgiev,Bulgaria,6,7,8,6,7,8,42,1,"Gold medal, Special prize"
Christoph Bandt,German Democratic Republic,6,7,8,6,7,8,42,1,Gold medal
Stefan Heinrich,German Democratic Republic,6,7,8,6,7,8,42,1,Gold medal
Dan Voiculescu,Romania,6,7,8,6,7,8,42,1,Gold medal
Aleksander Livshic,Union of Soviet Socialist Republics,6,7,8,6,7,8,42,1,"Gold medal, Special prize"
Simon Phillips Norton,United Kingdom,6,7,8,5,7,8,41,6,"Gold medal, Special prize"
Reinhard Höppner,German Democratic Republic,,,,,,,39,7,Gold medal
Viktor Turchaninov,Union of Soviet Socialist Republics,,,,,,,39,7,Gold medal
György Elekes,Hungary,,,,,,,38,9,Gold medal
László Surányi,Hungary,,,,,,,38,9,Gold medal
Andrei Suslin,Union of Soviet Socialist Republics,,,,,,,38,9,Gold medal
Mikhail Boshernican,Union of Soviet Socialist Republics,,,,,,,37,12,Silver medal
Malcolm John Williamson,United Kingdom,5,7,3,6,7,8,36,13,Silver medal
Gert Siebert,German Democratic Republic,,,,,,,35,14,Silver medal
Roberto Dvornicich,Italy,6,5,8,6,4,6,35,14,Silver medal
Yuri Zharinov,Union of Soviet Socialist Republics,,,,,,,35,14,Silver medal
László Babai,Hungary,,,,,,,34,17,Silver medal
Eugen Popa,Romania,,,,,,,34,17,Silver medal
Patrick Phair,United Kingdom,0,5,8,6,7,8,34,17,Silver medal
Ulrich Zähle,German Democratic Republic,,,,,,,33,20,Silver medal
György Hofmann,Hungary,,,,,,,33,20,Silver medal
Igor Krichever,Union of Soviet Socialist Republics,,,,,,,32,22,Silver medal
László Csirmaz,Hungary,,,,,,,31,23,Silver medal
Bohuslav Sivák,Czechoslovakia,5,5,8,4,5,3,30,24,Silver medal
Wolfgang Burmeister,German Democratic Republic,,,,,,,30,24,Silver medal
Radovan Gregor,Czechoslovakia,3,7,8,3,2,6,29,26,Bronze medal
Eugen Lungulescu,Romania,,,,,,,29,26,Bronze medal
András Szűcs,Hungary,,,,,,,28,28,Bronze medal
Vlad Sergiescu,Romania,,,,,,,28,28,Bronze medal
Bengt Ek,Sweden,3,7,2,6,7,3,28,28,Bronze medal
Michael Cullen,United Kingdom,3,5,3,6,3,8,28,28,Bronze medal
Anthony Davies,United Kingdom,2,5,6,5,4,6,28,28,Bronze medal
Pavel Polcar,Czechoslovakia,5,0,8,3,7,4,27,33,Bronze medal
Sergei Sobolev,Union of Soviet Socialist Republics,,,,,,,27,33,Bronze medal
János Pintz,Hungary,,,,,,,26,35,Bronze medal
Marco Margiocco,Italy,,,,,,,26,35,Bronze medal
Zh. Dashdorzh,Mongolia,,,,,,,26,35,Bronze medal
Tomo Pisanski,Yugoslavia,,,,,,,26,35,Bronze medal
Vyacheslav Kharlamov,Union of Soviet Socialist Republics,,,,,,,25,39,Bronze medal
Dikran Dikranian,Bulgaria,6,6,0,6,1,5,24,40,Bronze medal
Tomáš Mašek,Czechoslovakia,5,7,0,3,1,8,24,40,Bronze medal
George Cameron Smith,United Kingdom,5,5,0,3,5,6,24,40,Bronze medal
Joachim Fritz,German Democratic Republic,,,,,,,23,43,Bronze medal
Zoltán Laborczi,Hungary,,,,,,,23,43,Bronze medal
Calin Pop,Romania,,,,,,,23,43,Bronze medal
Per Lindberg,Sweden,6,0,8,0,1,8,23,43,Bronze medal
Stanisław Łojasiewicz,Poland,,,,,,,22,47,Bronze medal
Dan Ralescu,Romania,,,,,,,22,47,Bronze medal
David Garland,United Kingdom,4,5,0,2,3,8,22,47,Bronze medal
Slobodan Popović,Yugoslavia,,,,,,,22,47,Bronze medal
Tomaž Slivnik,Yugoslavia,,,,,,,22,47,Bronze medal
Petko Proinev,Bulgaria,3,3,2,6,0,7,21,52,
