Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Yunhao Fu,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Bảo Lê Hùng Việt,Vietnam,7,7,7,7,7,7,42,1,Gold medal
Trọng Cảnh Nguyễn,Vietnam,7,7,7,7,7,7,42,1,Gold medal
Kaloyan Slavov,Bulgaria,7,7,7,7,7,6,41,4,Gold medal
Rumen Zarev,Bulgaria,7,7,6,7,6,7,40,5,Gold medal
Iliya Tsekov,Bulgaria,7,3,7,7,7,7,38,6,Gold medal
Ana Caraiani,Romania,7,7,3,7,7,7,38,6,Gold medal
Oleg Gol'berg,Russian Federation,7,3,7,7,7,7,38,6,Gold medal
Rosen Dimitrov Kralev,Bulgaria,7,7,7,7,7,2,37,9,Gold medal
Aleksandar Dimitrov Lishkov,Bulgaria,2,7,7,7,7,7,37,9,Gold medal
Wei Wang,People's Republic of China,7,7,7,7,7,2,37,9,Gold medal
Christian Reiher,Germany,7,7,7,7,1,7,36,12,Gold medal
Zhen Xiang,People's Republic of China,7,7,7,7,7,1,36,12,Gold medal
Nikolay Gravin,Russian Federation,7,7,7,7,7,1,36,12,Gold medal
Po-Ru Loh,United States of America,7,7,7,7,7,1,36,12,Gold medal
Jiacong Fang,People's Republic of China,7,7,7,7,7,0,35,16,Gold medal
June Hyuk Jung,Republic of Korea,7,7,0,7,7,7,35,16,Gold medal
Daniel Kane,United States of America,7,7,0,7,7,7,35,16,Gold medal
Dobromir Rahnev,Bulgaria,7,3,7,7,3,7,34,19,Gold medal
Xin Wan,People's Republic of China,7,5,0,7,7,7,33,20,Gold medal
Aaron Pixton,United States of America,7,7,4,7,7,1,33,20,Gold medal
Anders Kaseorg,United States of America,7,7,7,7,1,3,32,22,Gold medal
Olena Bormashenko,Canada,7,3,7,7,7,0,31,23,Gold medal
Thanasin Nampaisarn,Thailand,7,3,0,7,7,7,31,23,Gold medal
Selim Bahadır,Turkey,7,3,0,7,7,7,31,23,Gold medal
Jacob Tsimerman,Canada,7,7,7,7,1,1,30,26,Gold medal
Yeo-Il Yoon,Republic of Korea,7,7,1,7,7,1,30,26,Gold medal
Varvara Shepelska,Ukraine,7,7,7,7,2,0,30,26,Gold medal
Carlos di Fiore,Argentina,7,7,0,7,1,7,29,29,Gold medal
Victoria Lebed,Belarus,7,7,0,7,7,1,29,29,Gold medal
Béla András Rácz,Hungary,7,7,0,7,7,1,29,29,Gold medal
Masaki Nishimoto,Japan,7,7,0,7,7,1,29,29,Gold medal
Kuat Yessenov,Kazakhstan,7,7,0,7,7,1,29,29,Gold medal
Marcin Pilipczuk,Poland,7,7,0,7,7,1,29,29,Gold medal
Andrey Badzyan,Russian Federation,7,7,0,7,7,1,29,29,Gold medal
Shao-Lun Huang,Taiwan,7,7,0,7,7,1,29,29,Gold medal
Paul Jefferys,United Kingdom,7,7,0,7,7,1,29,29,Gold medal
Alexey Entin,Israel,7,5,0,7,2,7,28,38,Silver medal
Yoshiki Oshima,Japan,7,7,0,7,7,0,28,38,Silver medal
You Zhou,People's Republic of China,7,7,0,7,7,0,28,38,Silver medal
Paweł Januszewski,Poland,7,7,0,7,7,0,28,38,Silver medal
Byoung Hyuck Kim,Republic of Korea,5,7,0,7,2,7,28,38,Silver medal
Iurie Boreico,Republic of Moldova,7,7,0,7,7,0,28,38,Silver medal
