Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Vincent Lafforgue,France,7,7,7,7,7,7,42,1,Gold medal
Gyula Lakos,Hungary,7,7,7,7,7,7,42,1,Gold medal
Wei Luo,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Sergiu Moroianu,Romania,7,7,7,7,7,7,42,1,Gold medal
Andris Ambainis,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Evgenia Malinnikova,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Alexander Perlin,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Mikhail Temkin,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Michael Fryers,United Kingdom,7,7,7,7,7,7,42,1,Gold medal
Norbert Hoffmann,Germany,7,6,7,7,7,7,41,10,Gold medal
Zoltán Újvári-Menyhárt,Hungary,7,7,7,7,7,6,41,10,Gold medal
Lizhao Zhang,People's Republic of China,7,7,7,7,7,6,41,10,Gold medal
Teodor Bănică,Romania,7,7,6,7,7,7,41,10,Gold medal
Behrang Noohi,Islamic Republic of Iran,7,7,5,7,7,7,40,14,Gold medal
Shaoyu Wang,People's Republic of China,7,7,5,7,7,7,40,14,Gold medal
Song Wang,People's Republic of China,7,7,5,7,7,7,40,14,Gold medal
Alexandru Dan Ionescu,Romania,7,7,7,5,7,7,40,14,Gold medal
Ian Goldberg,Canada,7,7,4,7,7,7,39,18,Gold medal
Payman L. Kassaei,Islamic Republic of Iran,7,7,4,7,7,7,39,18,Gold medal
Joel Rosenberg,United States of America,7,7,4,7,7,7,39,18,Gold medal
Michal Stehlík,Czechoslovakia,7,7,3,7,7,7,38,21,Silver medal
Michael Dreher,Germany,7,7,7,7,7,3,38,21,Silver medal
Jakob Stix,Germany,7,7,5,7,7,5,38,21,Silver medal
Ayatollah Karimzadeh,Islamic Republic of Iran,7,7,3,7,7,7,38,21,Silver medal
Atsuo Yamauchi,Japan,7,7,7,3,7,7,38,21,Silver medal
Grzegorz Zwara,Poland,7,7,3,7,7,7,38,21,Silver medal
Byung Hee Choi,Republic of Korea,7,7,3,7,7,7,38,21,Silver medal
Şerban Nacu,Romania,7,7,3,7,7,7,38,21,Silver medal
Andreas Strömbergsson,Sweden,7,7,3,7,7,7,38,21,Silver medal
Kiran Kedlaya,United States of America,7,7,4,6,7,7,38,21,Silver medal
Michail Sunitsky,United States of America,7,7,3,7,7,7,38,21,Silver medal
Nguyễn Việt Anh,Vietnam,7,7,3,7,7,7,38,21,Silver medal
Đỗ Ngọc Minh,Vietnam,7,7,3,7,7,7,38,21,Silver medal
Michal Konečný,Czechoslovakia,7,7,5,7,4,7,37,34,Silver medal
Moses Samson Charikar,India,7,7,5,4,7,7,37,34,Silver medal
Sirote Sookprem,Thailand,7,7,4,5,7,7,37,34,Silver medal
Vsevolod Zhuhovitskij,Union of Soviet Socialist Republics,6,7,3,7,7,7,37,34,Silver medal
Robert Kleinberg,United States of America,7,7,3,6,7,7,37,34,Silver medal
Boshko Nentchev Bakalov,Bulgaria,7,7,3,7,7,5,36,39,Silver medal
Jeffrey Grossman,Canada,7,7,5,7,7,3,36,39,Silver medal
Bodo Laß,Germany,7,7,1,7,7,7,36,39,Silver medal
Zaoyang Guo,People's Republic of China,7,7,4,7,7,4,36,39,Silver medal
Vladimir Nekrashevich,Union of Soviet Socialist Republics,6,7,3,7,6,7,36,39,Silver medal
Hà Huy Tài,Vietnam,7,7,3,7,7,5,36,39,Silver medal
Igor Dolinka,Yugoslavia,7,6,4,5,7,7,36,39,Silver medal
Mladen Laudanović,Yugoslavia,7,7,2,6,7,7,36,39,Silver medal
Dantcho Petzov Danev,Bulgaria,7,7,6,7,7,1,35,47,Silver medal
Michal Kubeček,Czechoslovakia,7,4,3,7,7,7,35,47,Silver medal
Jan-Christoph Puchta,Germany,0,7,7,7,7,7,35,47,Silver medal
Gergely Harcos,Hungary,7,7,4,7,7,3,35,47,Silver medal
Balázs Szendrői,Hungary,7,7,5,7,7,2,35,47,Silver medal
K Soundararajan,India,6,7,5,3,7,7,35,47,Silver medal
Taku Katagiri,Japan,7,7,4,7,7,3,35,47,Silver medal
Milen Iakimov Tchernev,Bulgaria,7,7,4,2,7,7,34,54,Silver medal
Martin Wiechert,Germany,0,7,6,7,7,7,34,54,Silver medal
Dan Ştefănică,Romania,7,7,3,7,7,3,34,54,Silver medal
Lenhard Ng,United States of America,7,7,3,7,7,3,34,54,Silver medal
Richard Kollár,Czechoslovakia,7,7,3,7,7,2,33,58,Silver medal
Máté Matolcsi,Hungary,7,4,4,7,7,4,33,58,Silver medal
Chu Wee Lim,Singapore,7,7,7,1,7,4,33,58,Silver medal
Gerhard Kirchner,Austria,7,7,4,7,7,0,32,61,Silver medal
Adam Logan,Canada,7,7,5,7,5,1,32,61,Silver medal
Patrick Popescu-Pampu,France,7,7,5,3,7,3,32,61,Silver medal
Gil Alon,Israel,4,7,7,0,7,7,32,61,Silver medal
Tongwei Liu,People's Republic of China,7,7,3,7,7,1,32,61,Silver medal
Peter Grenholm,Sweden,7,7,3,3,7,5,32,61,Silver medal
Matthias Langer,Austria,7,7,3,7,7,0,31,67,Silver medal
Rina Panigrahy,India,7,7,3,7,7,0,31,67,Silver medal
Hiroki Kodama,Japan,6,3,3,6,6,7,31,67,Silver medal
Krzysztof Ziemiański,Poland,5,7,3,7,7,2,31,67,Silver medal
Phan Huy Tu,Vietnam,7,7,3,7,7,0,31,67,Silver medal
Anthony Henderson,Australia,7,7,3,4,7,2,30,72,Bronze medal
Iavor Kolev Kostadinov,Bulgaria,7,7,2,6,6,2,30,72,Bronze medal
Georgi Shivkov Nedev,Bulgaria,7,7,4,5,7,0,30,72,Bronze medal
Nilakantan Niranjan,India,7,6,3,7,7,0,30,72,Bronze medal
Thiagarajan Sriram,India,7,6,3,7,7,0,30,72,Bronze medal
Shahram Mohsenipour,Islamic Republic of Iran,7,7,3,4,7,2,30,72,Bronze medal
Alexander Braverman,Israel,7,7,2,7,7,0,30,72,Bronze medal
Cherif Youssfi,Morocco,4,7,3,7,7,2,30,72,Bronze medal
Morten Kloster,Norway,0,7,7,6,7,3,30,72,Bronze medal
Radu Alexandru Todor,Romania,7,7,1,7,7,1,30,72,Bronze medal
Juan Carlos Vera,Colombia,7,4,7,7,1,3,29,82,Bronze medal
Medhi Askari,Islamic Republic of Iran,4,7,3,7,7,1,29,82,Bronze medal
Tatsuyuki Iwata,Japan,7,7,7,7,0,1,29,82,Bronze medal
Bea Wollenmann,Switzerland,1,7,3,7,7,4,29,82,Bronze medal
Robin Michaels,United Kingdom,7,7,4,7,3,1,29,82,Bronze medal
Vincent Lefevre,France,7,7,3,6,2,3,28,87,Bronze medal
Łukasz Wiechecki,Poland,7,4,3,7,7,0,28,87,Bronze medal
Nadir Masmoudi,Tunisia,7,7,7,7,0,0,28,87,Bronze medal
Etienne de Poortere,Belgium,7,7,7,5,1,0,27,90,Bronze medal
Veselin Vladislavov Vavrek,Bulgaria,7,7,3,3,7,0,27,90,Bronze medal
