Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
László Lovász,Hungary,4,6,8,6,7,9,40,1,"Gold medal, Special prize"
Pavel Bleher,Union of Soviet Socialist Republics,4,6,8,6,7,9,40,1,Gold medal
Sergei Valander,Union of Soviet Socialist Republics,4,5,8,6,7,9,39,3,Gold medal
Andrei Zubkov,Union of Soviet Socialist Republics,4,6,8,6,6,9,39,3,Gold medal
Endre Makai,Hungary,4,6,8,4,7,9,38,5,Gold medal
József Pelikán,Hungary,4,6,8,6,7,7,38,5,"Gold medal, Special prize"
Anatoliy Pereseckiy,Union of Soviet Socialist Republics,2,6,8,6,7,9,38,5,Gold medal
Nicolai Shirokov,Union of Soviet Socialist Republics,2,6,8,6,7,9,38,5,Gold medal
Aleksander Karzanov,Union of Soviet Socialist Republics,4,5,8,5,7,7,36,9,Silver medal
Lajos Pósa,Hungary,4,6,2,6,7,9,34,10,Silver medal
Liliana Bucur,Romania,4,6,8,6,6,4,34,10,Silver medal
David Preiss,Czechoslovakia,4,6,8,5,5,4,32,12,Silver medal
Krzysztof Nowiński,Poland,4,6,8,6,6,2,32,12,"Silver medal, Special prize"
Aleksandru Bădescu,Romania,2,6,8,6,7,3,32,12,"Silver medal, Special prize"
Dan Voiculescu,Romania,4,6,8,6,7,1,32,12,Silver medal
Vasiliy Stoianovski,Union of Soviet Socialist Republics,3,6,8,6,0,9,32,12,Silver medal
István Berkes,Hungary,4,6,8,6,7,0,31,17,Silver medal
Iakov Weinstein,Romania,4,5,6,6,7,3,31,17,Silver medal
Manfred Brandt,German Democratic Republic,4,2,8,5,7,4,30,19,Silver medal
Wolfgang Klamt,German Democratic Republic,4,2,7,6,7,4,30,19,Silver medal
Tamara Marcisová,Czechoslovakia,4,0,8,6,7,4,29,21,Bronze medal
Peter Enskonatus,German Democratic Republic,4,1,8,6,7,3,29,21,Bronze medal
Zenon Fortuna,Poland,3,6,7,6,7,0,29,21,Bronze medal
Michał Misiurewicz,Poland,4,1,8,6,7,3,29,21,Bronze medal
Octavian Bîscă,Romania,4,1,8,6,6,4,29,21,Bronze medal
Walter Liepe,German Democratic Republic,2,4,5,6,7,4,28,26,Bronze medal
Miklós Laczkovich,Hungary,4,1,8,6,0,9,28,26,Bronze medal
György Elekes,Hungary,4,5,8,1,7,2,27,28,Bronze medal
Velimir Bole,Yugoslavia,4,6,7,6,0,4,27,28,Bronze medal
Tadeusz Figiel,Poland,3,3,8,6,6,0,26,30,Bronze medal
Eugen Popa,Romania,3,3,5,5,7,1,24,31,Bronze medal
Bohuslav Sivák,Czechoslovakia,4,5,0,6,6,1,22,32,Bronze medal
Wilhelm Otto,German Democratic Republic,3,3,8,2,4,2,22,32,Bronze medal
Ion Saba Ştefănescu,Romania,4,5,2,2,6,3,22,32,Bronze medal
Miroslav Ašić,Yugoslavia,4,2,5,6,1,4,22,32,Bronze medal
Iordan Tabov,Bulgaria,2,0,8,1,7,3,21,36,Bronze medal
Miroslav Řezníček,Czechoslovakia,4,1,8,6,1,0,20,37,Bronze medal
Tadeusz Iwaniec,Poland,4,2,1,2,7,3,19,38,
Yuri Muraviev,Union of Soviet Socialist Republics,2,6,8,2,1,0,19,38,
Boško Jovanović,Yugoslavia,4,4,0,6,2,3,19,38,
Andrzej Zarach,Poland,4,6,0,6,2,0,18,41,
Eleodor Popescu,Romania,2,3,2,2,7,2,18,41,
Šime Ungar,Yugoslavia,4,2,0,5,6,1,18,41,
Pavel Novotný,Czechoslovakia,4,1,0,6,3,3,17,44,
Peter Raschkov,Bulgaria,3,1,8,4,0,0,16,45,
Jura Charvát,Czechoslovakia,4,4,1,3,2,2,16,45,
Timo Erkama,Finland,2,4,0,6,4,0,16,45,Special prize
Ewa Ligocka,Poland,4,1,0,6,5,0,16,45,
Lytschesar Avramov,Bulgaria,0,2,6,6,0,1,15,49,
Alfred Pfeiffer,German Democratic Republic,1,1,4,3,2,3,14,50,
Igor Pavlin,Yugoslavia,1,1,1,2,6,3,14,50,
Monika Titze,German Democratic Republic,4,3,1,0,3,2,13,52,
Djordje Dugošija,Yugoslavia,3,3,1,2,1,3,13,52,
Milan Štědrý,Czechoslovakia,4,0,0,1,7,0,12,54,
Matti Lehtinen,Finland,3,0,0,2,5,2,12,54,
Enes Udovičić,Yugoslavia,4,0,1,2,2,3,12,54,
Djordje Vukomanović,Yugoslavia,2,2,0,4,0,4,12,54,
Mitko Dimitroff,Bulgaria,0,1,8,1,1,0,11,58,
Radoslav Pavlov,Bulgaria,3,1,2,3,0,2,11,58,
Jan Brodský,Czechoslovakia,0,0,4,4,2,1,11,58,
Awgaanzeren Damdinsuren,Mongolia,2,0,0,6,2,1,11,58,Special prize
Bjambashaw Dordsh,Mongolia,1,1,1,2,4,2,11,58,
Baterdene Scharaw,Mongolia,1,1,2,2,0,4,10,63,
Petko Kazandzhiev,Bulgaria,1,0,4,2,0,2,9,64,
Marko Roczen,German Democratic Republic,1,1,1,6,0,0,9,64,
Bajasgalan Cembelzogt,Mongolia,1,2,0,4,1,1,9,64,
Henryk Iwaniec,Poland,2,0,1,6,0,0,9,64,
Kai Brandstack,Finland,1,2,0,5,0,0,8,68,
Martti Ojalainen,Finland,2,0,0,2,3,1,8,68,
Sándor Szalay,Hungary,1,0,0,3,3,1,8,68,
Lidia Vaštinska,Bulgaria,1,1,0,4,1,0,7,71,
Riitta Hämäläinen,Finland,2,0,0,2,2,0,6,72,
Zezgee Dondow,Mongolia,1,0,1,2,1,1,6,72,
Jargai Gansuch,Mongolia,1,2,0,2,0,1,6,72,
Kaisa Holma,Finland,0,0,0,4,1,0,5,75,
Suwda Bat,Mongolia,0,1,2,2,0,0,5,75,
Murat Tochtoin,Mongolia,1,1,0,2,0,1,5,75,
Anko Nikolov,Bulgaria,3,0,0,0,1,0,4,78,
Eija Piililä,Finland,2,0,0,1,1,0,4,78,
Kaija-Riitta Laanti,Finland,0,0,0,2,1,0,3,80,
