Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Pawel Kröger,German Democratic Republic,5,6,7,7,7,8,40,1,"Gold medal, Special prize"
Zoltán Füredi,Hungary,5,6,7,7,7,8,40,1,Gold medal
Vilmos Komornik,Hungary,5,6,7,7,7,8,40,1,Gold medal
Zsolt Tuza,Hungary,5,6,7,7,7,8,40,1,Gold medal
Grzegorz Andrzejczak,Poland,5,6,7,7,7,8,40,1,Gold medal
Mircea Martin,Romania,5,6,7,7,7,8,40,1,Gold medal
Vladimir Burkov,Union of Soviet Socialist Republics,5,6,7,7,7,8,40,1,Gold medal
Sergei Konyagin,Union of Soviet Socialist Republics,5,6,7,7,7,8,40,1,Gold medal
Sergei Belkin,Union of Soviet Socialist Republics,,,,,,,39,9,Silver medal
Aleksander Merkuryev,Union of Soviet Socialist Republics,,,,,,,38,10,Silver medal
Stanisław Jerzy Szarek,Poland,,,,,,,37,11,Silver medal
Tamás Móri,Hungary,,,,,,,36,12,Silver medal
*,United Kingdom,,,,,,,36,12,Silver medal
Harald Englisch,German Democratic Republic,,,,,,,35,14,Silver medal
*,Romania,,,,,,,35,14,Silver medal
*,Romania,,,,,,,35,14,Silver medal
Péter Pál Pálfy,Hungary,5,6,1,7,6,8,33,17,Silver medal
Andrei Golberg,Union of Soviet Socialist Republics,,,,,,,33,17,Silver medal
*,United Kingdom,,,,,,,33,17,Silver medal
Olaf Böhme,German Democratic Republic,,,,,,,31,20,Silver medal
Albrecht Heß,German Democratic Republic,,,,,,,31,20,Silver medal
*,Romania,,,,,,,31,20,Silver medal
István Kollár,Hungary,,,,,,,30,23,Silver medal
Vladimir Shvarc,Union of Soviet Socialist Republics,,,,,,,30,23,Silver medal
Risko Shikov,Bulgaria,,,,,,,29,25,Bronze medal
Hans-Jürgen Fischer,German Democratic Republic,,,,,,,29,25,Bronze medal
Paweł Traczyk,Poland,,,,,,,28,27,"Bronze medal, Special prize"
Yuri Kolmakov,Union of Soviet Socialist Republics,,,,,,,28,27,Bronze medal
Rainer Siegmund-Schultze,German Democratic Republic,,,,,,,27,29,Bronze medal
Gerd Weißenborn,German Democratic Republic,,,,,,,27,29,Bronze medal
Peter Dybjer,Sweden,5,5,0,7,7,3,27,29,Bronze medal
Heinrich Rolletschek,Austria,5,6,2,5,6,2,26,32,Bronze medal
Jan Brychta,Czechoslovakia,,,,,,,26,32,Bronze medal
*,United Kingdom,,,,,,,26,32,Bronze medal
Vladimir Vulović,Yugoslavia,5,5,0,7,3,6,26,32,Bronze medal
Ervin Győri,Hungary,,,,,,,25,36,Bronze medal
Boris Lavrič,Yugoslavia,1,3,1,7,5,8,25,36,Bronze medal
Ivan Mirković,Yugoslavia,5,6,0,7,0,5,23,38,Bronze medal
Walter Zulehner,Austria,5,3,7,7,0,0,22,39,Bronze medal
Kamen Ivanov,Bulgaria,,,,,,,22,39,Bronze medal
Aleksander Shapovalov,Union of Soviet Socialist Republics,,,,,,,22,39,Bronze medal
Imrich Vrťo,Czechoslovakia,,,,,,,21,42,Bronze medal
*,United Kingdom,,,,,,,21,42,Bronze medal
*,United Kingdom,,,,,,,21,42,Bronze medal
Erich Kaltofen,Austria,1,3,7,7,0,2,20,45,Bronze medal
Wolfgang Redtenbacher,Austria,5,6,0,7,0,2,20,45,Bronze medal
Jaromír Šimša,Czechoslovakia,,,,,,,20,45,Bronze medal
Gerhard Emrich,Austria,5,5,0,7,1,1,19,48,Bronze medal
Miroslav Kmošek,Czechoslovakia,,,,,,,19,48,Bronze medal
Matthias Günther,German Democratic Republic,,,,,,,19,48,Bronze medal
Emil Kiss,Hungary,,,,,,,19,48,Bronze medal
Mihail Pimsner,Romania,,,,,,,19,48,Bronze medal
Magnus Lundin,Sweden,5,0,0,1,5,8,19,48,Bronze medal
*,United Kingdom,,,,,,,19,48,Bronze medal
Pavel Ferst,Czechoslovakia,,,,,,,18,55,
*,Bulgaria,,,,,,,17,56,
Uroš Milutinović,Yugoslavia,1,5,0,7,1,3,17,56,
Pavle Mladenović,Yugoslavia,5,5,0,1,1,5,17,56,
Erich Steinbauer,Austria,3,6,0,7,0,0,16,59,
?,Romania,,,,,,,16,59,
*,Bulgaria,,,,,,,15,61,
Ewa Jemielity,Poland,,,,,,,15,61,
Józef Przytycki,Poland,,,,,,,15,61,
?,Romania,,,,,,,15,61,
?,Romania,,,,,,,15,61,
Marko Tadić,Yugoslavia,5,2,0,7,0,1,15,61,
*,Bulgaria,,,,,,,13,67,
*,United Kingdom,,,,,,,13,67,
?,Mongolia,,,,,,,12,69,
*,Netherlands,,,,,,,12,69,
Friedrich Marschoun,Austria,0,2,0,7,0,2,11,71,
*,Bulgaria,,,,,,,11,71,
Jan Frynta,Czechoslovakia,,,,,,,11,71,
Hanna Garyga,Poland,,,,,,,11,71,
Dragoslav Ljubić,Yugoslavia,0,4,0,1,0,6,11,71,
*,Bulgaria,,,,,,,10,76,
?,Cuba,,,,,,,10,76,
Karel Horák,Czechoslovakia,,,,,,,10,76,
*,United Kingdom,,,,,,,10,76,
Aleksander Ustaszewski,Poland,,,,,,,9,80,
