Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Bruno Haible,Germany,7,7,7,7,7,7,42,1,Gold medal
Grigorij Perelman,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Lê Tự Quốc Thǎng,Vietnam,7,7,7,7,7,7,42,1,Gold medal
Ralf Hortig,German Democratic Republic,7,7,7,7,7,5,40,4,Gold medal
Noam Elkies,United States of America,7,6,7,7,6,7,40,4,Gold medal
Josef Schicho,Austria,7,3,7,7,7,7,38,6,Gold medal
Jean-François Bertin,France,7,6,4,7,7,7,38,6,Gold medal
Bodo Heise,German Democratic Republic,7,6,7,7,7,3,37,8,Gold medal
Michael Stoll,Germany,7,7,7,3,7,6,37,8,Gold medal
Konstantin Matveev,Union of Soviet Socialist Republics,7,7,2,7,7,7,37,8,Gold medal
Gyula Károlyi,Hungary,7,7,7,7,7,1,36,11,Silver medal
Taneli Huuskonen,Finland,7,0,7,7,7,7,35,12,Silver medal
Bernhard Leeb,Germany,7,2,7,7,7,5,35,12,Silver medal
Gábor Tardos,Hungary,7,2,7,5,7,7,35,12,Silver medal
Brian Hunt,United States of America,7,0,7,7,7,7,35,12,Silver medal
Jiří Sgall,Czechoslovakia,6,0,7,7,7,7,34,16,Silver medal
Heikki Tuuri,Finland,7,0,7,7,7,6,34,16,Silver medal
Daan Krammer,Netherlands,6,0,7,7,7,7,34,16,Silver medal
Endre Szabó,Hungary,7,7,2,3,7,7,33,19,Silver medal
Marius Mitrea,Romania,7,0,5,7,7,7,33,19,Silver medal
Jochen Lattermann,German Democratic Republic,7,4,7,7,7,0,32,21,Silver medal
Washington Taylor,United States of America,4,3,6,7,7,5,32,21,Silver medal
Trân Minh,Vietnam,7,5,7,3,7,3,32,21,Silver medal
Igor Kříž,Czechoslovakia,7,1,7,7,7,2,31,24,Silver medal
Bernhard Raaf,Germany,7,0,6,4,7,7,31,24,Silver medal
Tomasz Hrycak,Poland,7,2,7,7,7,0,30,26,Silver medal
Alexander Szpivak,Union of Soviet Socialist Republics,7,2,7,7,7,0,30,26,Silver medal
Ngô Phú Thanh,Vietnam,7,0,4,7,7,5,30,26,Silver medal
Mladen Despić,Yugoslavia,4,0,6,7,7,6,30,26,Silver medal
Pavle Pandžić,Yugoslavia,7,0,2,7,7,7,30,26,Silver medal
Emil Milanov Kolev,Bulgaria,3,1,6,7,7,5,29,31,Bronze medal
Charles S. Timar,Canada,7,0,3,6,7,6,29,31,Bronze medal
Petr Couf,Czechoslovakia,7,0,2,7,6,7,29,31,Bronze medal
William James Sutherland,United Kingdom,7,0,2,7,7,6,29,31,Bronze medal
Douglas Jungreis,United States of America,7,0,7,3,7,5,29,31,Bronze medal
Nguyễn Hũu Hoàn,Vietnam,4,5,2,7,7,4,29,31,Bronze medal
Jyrki Lahtonen,Finland,7,1,2,7,7,4,28,37,Bronze medal
Vladimir Titenko,Union of Soviet Socialist Republics,7,0,7,0,7,7,28,37,Bronze medal
