Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
David Bernstein,Union of Soviet Socialist Republics,7,7,6,6,7,9,42,1,Gold medal
László Gerencsér,Hungary,,,,,,,41,2,Gold medal
László Lovász,Hungary,,,,,,,39,3,Gold medal
József Pelikán,Hungary,,,,,,,39,3,Gold medal
Tadeusz Figiel,Poland,,,,,,,39,3,Gold medal
Genadiy Arhipov,Union of Soviet Socialist Republics,,,,,,,39,3,Gold medal
Yuri Matiashevich,Union of Soviet Socialist Republics,,,,,,,38,7,Gold medal
Pavel Bureš,Czechoslovakia,7,7,6,6,4,6,36,8,Silver medal
Tamara Marcisová,Czechoslovakia,7,7,6,6,4,6,36,8,Silver medal
Valeriy Alekseev,Union of Soviet Socialist Republics,,,,,,,36,8,Silver medal
István Berkes,Hungary,,,,,,,35,11,Silver medal
Octavian Bîscă,Romania,,,,,,,33,12,Silver medal
Alexandru Vinea,Romania,,,,,,,32,13,Silver medal
Wolfgang Klamt,German Democratic Republic,,,,,,,31,14,Silver medal
Marian Orłowski,Poland,,,,,,,31,14,Silver medal
Viktor Urumov,Yugoslavia,,,,,,,31,14,Silver medal
Avram Eskenazi,Bulgaria,7,7,0,6,4,6,30,17,Bronze medal
Vladimir Zaimov,Bulgaria,7,7,6,0,4,6,30,17,Bronze medal
Miloslav Znojil,Czechoslovakia,6,0,5,6,7,6,30,17,Bronze medal
Krzysztof Nowiński,Poland,,,,,,,30,17,Bronze medal
Woicheh Patkaniowski,Poland,,,,,,,30,17,Bronze medal
Mihai Kerciu,Romania,,,,,,,30,17,Bronze medal
Tiberiu Spircu,Romania,,,,,,,30,17,Bronze medal
Boris Ivlev,Union of Soviet Socialist Republics,,,,,,,30,17,Bronze medal
Aleksander Vilenkin,Union of Soviet Socialist Republics,,,,,,,30,17,Bronze medal
Manfred Brandt,German Democratic Republic,,,,,,,29,26,Bronze medal
Aleksander Florensov,Union of Soviet Socialist Republics,,,,,,,29,26,Bronze medal
Stanko Vrščaj,Yugoslavia,,,,,,,29,26,Bronze medal
Jaroslav Zemánek,Czechoslovakia,7,5,6,0,4,6,28,29,Bronze medal
Endre Makai,Hungary,,,,,,,28,29,Bronze medal
Zbigniew Słodkowski,Poland,,,,,,,28,29,Bronze medal
Svetoslav Biltchev,Bulgaria,1,7,6,0,7,6,27,32,Bronze medal
Monika Titze,German Democratic Republic,,,,,,,27,32,Bronze medal
Cevegmidin Mizhidorzh,Mongolia,,,,,,,27,32,Bronze medal
Eleodor Popescu,Romania,,,,,,,27,32,Bronze medal
Tamás Komor,Hungary,,,,,,,26,36,
*,Mongolia,,,,,,,26,36,
*,Mongolia,,,,,,,26,36,
*,Mongolia,,,,,,,26,36,
Henryk Hecht,Poland,,,,,,,26,36,
Jan Grabowski,German Democratic Republic,,,,,,,25,41,
Manfred Krüppel,German Democratic Republic,,,,,,,25,41,
Iliya Rips,Union of Soviet Socialist Republics,,,,,,,25,41,
Vladimir Popov,Bulgaria,7,1,6,0,4,6,24,44,
Otto Trewendt,German Democratic Republic,,,,,,,24,44,
Gábor Corrádi,Hungary,,,,,,,24,44,
Bronisław Wajnryb,Poland,,,,,,,24,44,
*,Romania,,,,,,,24,44,
Josip Globevnik,Yugoslavia,,,,,,,24,44,
Boris Pachev,Bulgaria,2,7,6,0,2,6,23,50,
Petr Pashkov,Bulgaria,4,0,5,6,2,6,23,50,
Iordan Tabov,Bulgaria,1,0,6,6,4,6,23,50,
*,Mongolia,,,,,,,22,53,
Róbert Freud,Hungary,,,,,,,21,54,
*,Romania,,,,,,,21,54,
Ilona Zinke,German Democratic Republic,,,,,,,20,56,
?,Czechoslovakia,7,0,5,0,1,6,19,57,
Dimitr Nichev,Bulgaria,4,0,6,0,2,6,18,58,
?,Czechoslovakia,4,0,6,0,2,6,18,58,
Smilka Zdravkovska,Yugoslavia,,,,,,,18,58,
Boško Jovanović,Yugoslavia,,,,,,,17,61,
*,Romania,,,,,,,16,62,
Velimir Bole,Yugoslavia,,,,,,,16,62,
Dietrich Freitag,German Democratic Republic,,,,,,,15,64,
*,Mongolia,,,,,,,15,64,
?,Czechoslovakia,6,0,0,0,2,6,14,66,
*,Mongolia,,,,,,,14,66,
?,Czechoslovakia,5,1,5,0,2,0,13,68,
*,Mongolia,,,,,,,13,68,
Bojan Popović,Yugoslavia,,,,,,,13,68,
Zoran Gonda,Yugoslavia,,,,,,,7,71,
Jerzy Gajewski,Poland,,,,,,,1,72,
