Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Géza Kós,Hungary,7,7,7,7,7,7,42,1,Gold medal
Daniel Tătaru,Romania,7,7,7,7,7,7,42,1,Gold medal
Gábor Megyesi,Hungary,7,7,3,7,7,7,38,3,Gold medal
Nikolai Ivanov Chavdarov,Bulgaria,7,7,2,7,7,7,37,4,Gold medal
Philippe Alphonse,Belgium,7,7,1,7,7,7,36,5,Gold medal
Olga Leonteva,Union of Soviet Socialist Republics,7,7,7,7,1,7,36,5,Gold medal
Andrew Hassell,Australia,7,7,0,7,7,7,35,7,Gold medal
Vasil Borisov Daskalov,Bulgaria,7,7,0,7,7,7,35,7,Gold medal
Waldemar Horwat,United States of America,7,7,7,7,0,7,35,7,Gold medal
Nguyễn Tiến Dũng,Vietnam,7,7,2,7,7,5,35,7,Gold medal
Hagen von Eitzen,Germany,3,7,7,7,3,7,34,11,Gold medal
Răzvan Gelca,Romania,7,7,1,7,7,5,34,11,Gold medal
Radu Negulescu,Romania,7,7,3,7,4,6,34,11,Gold medal
Jeremy Kahn,United States of America,7,7,2,7,4,7,34,11,Gold medal
Ivan Kolev Dimitrov,Bulgaria,7,7,7,2,2,7,32,15,Silver medal
Ulrich Meister,German Democratic Republic,7,7,6,7,0,5,32,15,Silver medal
Mugurel Barcău,Romania,7,7,1,3,7,7,32,15,Silver medal
Matthew John Richards,United Kingdom,7,7,1,7,7,3,32,15,Silver medal
Laurent Rosas,France,7,7,1,7,2,7,31,19,Silver medal
Louis Funar,Romania,7,7,2,4,7,4,31,19,Silver medal
Bjorn Poonen,United States of America,7,7,7,2,1,7,31,19,Silver medal
Ori Ganor,Israel,7,7,1,4,7,3,29,22,Silver medal
Oleg Bondarenko,Union of Soviet Socialist Republics,7,7,0,7,7,1,29,22,Silver medal
Anatoly Malevanets,Union of Soviet Socialist Republics,7,7,7,0,7,1,29,22,Silver medal
David Grabiner,United States of America,0,7,7,7,1,7,29,22,Silver medal
Lâm Tung Giang,Vietnam,7,7,0,4,7,4,29,22,Silver medal
Minh Tue Vo,Canada,7,7,1,2,7,4,28,27,Silver medal
Eckhard Müller,Germany,3,7,7,2,2,7,28,27,Silver medal
Géza Makai,Hungary,7,7,6,2,1,5,28,27,Silver medal
Ehsan Emami,Islamic Republic of Iran,7,6,3,0,5,7,28,27,Silver medal
Andrei Paraschivescu,Romania,7,7,2,7,0,5,28,27,Silver medal
Huỳnh Minh Wu,Vietnam,7,7,0,5,7,2,28,27,Silver medal
Ian David Bede Stark,United Kingdom,7,7,2,4,7,0,27,33,Silver medal
David Moews,United States of America,7,7,4,0,4,5,27,33,Silver medal
John Graham,Australia,7,7,6,2,3,1,26,35,Silver medal
Jörg Jahnel,German Democratic Republic,1,7,3,7,1,7,26,35,Silver medal
Rita Bán,Hungary,7,2,0,7,7,3,26,35,Silver medal
Marcel Polakovič,Czechoslovakia,7,7,0,4,0,7,25,38,Silver medal
Laurent Lafforgue,France,3,7,0,1,7,7,25,38,Silver medal
Marin Ivanov Marinov,Bulgaria,7,7,0,3,7,0,24,40,Silver medal
Paul Tzermias,Greece,7,0,0,7,7,3,24,40,Silver medal
Batgerel Balt,Mongolia,7,5,0,5,7,0,24,40,Silver medal
Joseph Keane,United States of America,0,3,7,7,0,7,24,40,Silver medal
Zvetoslav Alipiev Petrov,Bulgaria,7,7,1,1,5,2,23,44,Silver medal
Jarmila Ranošová,Czechoslovakia,7,3,0,3,7,3,23,44,Silver medal
Krzysztof Jeżevski,Poland,7,7,0,0,7,2,23,44,Silver medal
