Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Laurent Pierre,France,5,7,8,6,7,7,40,1,Gold medal
Tatyana Hovanova,Union of Soviet Socialist Republics,5,7,8,5,7,7,39,2,Gold medal
Mark Kleiman,United States of America,5,7,6,6,7,7,38,3,Gold medal
Sergei Finashin,Union of Soviet Socialist Republics,5,7,5,6,7,7,37,4,Gold medal
Aleksandr Goncharov,Union of Soviet Socialist Republics,5,7,7,6,7,5,37,4,Gold medal
John Rickard,United Kingdom,0,7,8,6,7,7,35,6,"Gold medal, Special prize"
Karl Grill,Austria,5,7,8,0,7,7,34,7,Gold medal
Nikita Necvetaev,Union of Soviet Socialist Republics,3,6,5,6,7,7,34,7,Gold medal
Richard Clive Mason,United Kingdom,5,7,8,6,1,7,34,7,Gold medal
Boris Solomyak,Union of Soviet Socialist Republics,5,5,8,6,0,7,31,10,Silver medal
Paul Herdeg,United States of America,2,2,7,6,7,7,31,10,Silver medal
Jean Louis Sikorav,France,5,6,4,1,7,7,30,12,Silver medal
Michael Marczinek,German Democratic Republic,5,7,4,1,7,6,30,12,Silver medal
Douglas Frederick Easton,United Kingdom,5,7,7,4,0,7,30,12,Silver medal
David G Frankis,United Kingdom,1,7,8,6,0,7,29,15,Silver medal
Uwe Risch,German Democratic Republic,5,0,7,6,3,7,28,16,Silver medal
Simon Charles Farmbrough,United Kingdom,5,5,6,4,1,7,28,16,Silver medal
Jonathan James Hitchcock,United Kingdom,5,2,8,6,0,7,28,16,Silver medal
Plamen Dimitrov Stefanov,Bulgaria,3,7,1,6,4,6,27,19,Silver medal
Pierre Pansu,France,2,5,8,2,4,6,27,19,Silver medal
Nguyễn Thị Thieu Hoa,Vietnam,5,0,2,6,7,7,27,19,Silver medal
Mladen Bestvina,Yugoslavia,5,0,8,6,1,7,27,19,Silver medal
Ákos Seress,Hungary,5,1,6,6,1,7,26,23,Silver medal
Petr Grinevich,Union of Soviet Socialist Republics,5,0,8,6,1,6,26,23,Silver medal
Miller Puckette,United States of America,1,2,3,6,7,7,26,23,Silver medal
Zoltán Magyar,Hungary,5,0,7,6,0,7,25,26,Silver medal
Daniel Knierim,United States of America,5,7,8,5,0,0,25,26,Silver medal
Wilfried Pascher,Austria,5,7,2,4,0,6,24,28,Silver medal
Angel Ivanov Jivkov,Bulgaria,5,0,7,5,0,7,24,28,Silver medal
Jan Kratochvíl,Czechoslovakia,5,3,3,6,0,7,24,28,Silver medal
Bengt Jonsson,Sweden,5,0,8,5,0,6,24,28,Silver medal
Sergej Mironov,Union of Soviet Socialist Republics,5,7,5,5,2,0,24,28,Silver medal
Helmut Gfrerer,Austria,5,0,6,5,0,7,23,33,Silver medal
Philippe Wolf,France,5,6,2,2,3,5,23,33,Silver medal
Lajos Soukup,Hungary,1,0,3,5,7,7,23,33,Silver medal
Dan Suciu,Romania,5,6,1,4,0,7,23,33,Silver medal
Randall Dougherty,United States of America,5,0,4,6,1,7,23,33,Silver medal
Kostadin Nedelchev Koruchev,Bulgaria,1,7,3,4,0,7,22,38,Bronze medal
Miroslav Šedivý,Czechoslovakia,5,0,2,1,7,7,22,38,Bronze medal
Zalán Bodó,Hungary,1,7,1,6,0,7,22,38,Bronze medal
Johan Håstad,Sweden,4,0,8,4,0,6,22,38,Bronze medal
Yurij Burov,Union of Soviet Socialist Republics,3,7,0,6,0,6,22,38,Bronze medal
Dieter Aschauer,Austria,4,0,8,1,1,7,21,43,Bronze medal
Plamen Emilov Koshlvkov,Bulgaria,0,3,6,4,1,7,21,43,Bronze medal
Rossen Asenov Nikolov,Bulgaria,5,0,5,4,0,7,21,43,Bronze medal
Raphael Douady,France,0,7,2,5,0,7,21,43,Bronze medal
Klaus Brinckmann,German Democratic Republic,5,1,2,6,0,7,21,43,Bronze medal
Gábor Moussong,Hungary,5,7,1,3,0,5,21,43,Bronze medal
Patrick Lawrence Harvey Brooke,United Kingdom,2,0,6,5,1,7,21,43,Bronze medal
Reed Kelly,United States of America,2,0,2,6,4,7,21,43,Bronze medal
Vladimir Dimitrov Babev,Bulgaria,1,0,5,6,1,7,20,51,Bronze medal
Georgy Ivanov Georgiev,Bulgaria,2,0,7,4,0,7,20,51,Bronze medal
Adam Parusiński,Poland,5,3,0,5,0,7,20,51,Bronze medal
Milan Perić,Yugoslavia,5,1,3,5,0,6,20,51,Bronze medal
Henry Ivanov Budinov,Bulgaria,5,1,3,3,0,7,19,55,Bronze medal
Jiří Navrátil,Czechoslovakia,5,0,2,5,0,7,19,55,Bronze medal
Janusz Pawlikowski,Poland,5,7,1,6,0,0,19,55,Bronze medal
Jan Wehr,Poland,0,0,6,6,0,7,19,55,Bronze medal
Iustin Coanda,Romania,5,0,1,6,0,7,19,55,Bronze medal
Lê Ngọc Chuyen,Vietnam,5,7,2,1,0,4,19,55,Bronze medal
Nguyễn Hùng Sơn,Vietnam,5,0,3,4,0,7,19,55,Bronze medal
Amer Bešlagić,Yugoslavia,5,7,1,6,0,0,19,55,Bronze medal
Ivan Stojmenović,Yugoslavia,1,1,2,6,2,7,19,55,Bronze medal
Tamás Húsvéti,Hungary,5,0,0,6,0,7,18,64,Bronze medal
Dezső Miklós,Hungary,5,0,0,6,0,7,18,64,Bronze medal
Jerzy Grzybowski,Poland,0,5,0,6,0,7,18,64,Bronze medal
Andrzej Huczyński,Poland,5,0,0,6,0,7,18,64,Bronze medal
Mats Nordahl,Sweden,0,0,5,6,0,7,18,64,Bronze medal
Ernst Horwath,Austria,0,0,4,6,0,7,17,69,Bronze medal
Gerhard Turnwald,Austria,0,1,3,6,0,7,17,69,Bronze medal
Peter Takáč,Czechoslovakia,0,6,1,6,0,4,17,69,Bronze medal
Alex Fekken,Netherlands,2,1,1,4,2,7,17,69,Bronze medal
Jerzy Wojciechowski,Poland,5,0,1,5,0,6,17,69,Bronze medal
Ioan Macarie,Romania,5,0,1,4,0,7,17,69,Bronze medal
Ernst Gschiel,Austria,2,1,2,4,0,7,16,75,Bronze medal
Jens-Uwe Löbus,German Democratic Republic,5,2,1,6,1,1,16,75,Bronze medal
Friedhelm Schieweck,German Democratic Republic,0,7,1,2,0,6,16,75,Bronze medal
Silvan Manolof,Romania,1,0,6,3,0,6,16,75,Bronze medal
Mats Bodén,Sweden,0,0,4,6,0,6,16,75,Bronze medal
Lê Ngọc Minh,Vietnam,0,1,2,6,0,7,16,75,Bronze medal
Rudolf Willing,Austria,5,0,1,2,0,7,15,81,Bronze medal
Jarmo Palomaki,Finland,5,0,1,2,0,7,15,81,Bronze medal
Jiří Kolafa,Czechoslovakia,0,1,3,3,0,7,14,83,
Pierre America,Netherlands,5,1,3,4,1,0,14,83,
Mark Overmars,Netherlands,1,0,1,6,0,6,14,83,
Dariusz Janecki,Poland,5,0,1,2,0,6,14,83,
Serban Buzeteanu,Romania,1,1,1,4,0,7,14,83,
Scott Cohen,United States of America,1,0,1,5,0,7,14,83,
Sarah Maria Duyos,Cuba,0,0,7,1,0,5,13,90,
Pekka Puomio,Finland,4,1,4,1,0,3,13,90,
Thomas Hoffmann,German Democratic Republic,0,1,8,3,1,0,13,90,
Nikolaos Kapouleas,Greece,0,0,6,6,1,0,13,90,
