Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Tibor Fiala,Hungary,5,7,7,6,7,8,40,1,Gold medal
Vladimir Drinfeld,Union of Soviet Socialist Republics,5,7,7,6,7,8,40,1,Gold medal
Simon Phillips Norton,United Kingdom,5,7,7,6,7,8,40,1,"Gold medal, Special prize"
Imre Ruzsa,Hungary,5,7,7,3,7,8,37,4,Silver medal
Barbu Rudolf Berceanu,Romania,5,7,7,5,7,6,37,4,Silver medal
Jürgen Gärtner,German Democratic Republic,5,7,7,6,7,4,36,6,Silver medal
Wolfgang Burmeister,German Democratic Republic,5,5,7,6,7,5,35,7,Silver medal
Andreas Felgenhauer,German Democratic Republic,5,7,7,6,7,3,35,7,"Silver medal, Special prize"
György Michaletzky,Hungary,0,7,7,6,7,8,35,7,Silver medal
László Csirmaz,Hungary,5,7,7,6,6,3,34,10,Silver medal
Jerzy Dydak,Poland,5,7,6,1,7,8,34,10,Silver medal
Stefan Heinrich,German Democratic Republic,5,7,5,4,7,4,32,12,Silver medal
Andrei Prasolov,Union of Soviet Socialist Republics,5,7,5,3,7,5,32,12,Silver medal
Vladimir Janković,Yugoslavia,5,7,7,2,7,4,32,12,Silver medal
Ervin Bajmóczi,Hungary,5,7,6,6,7,0,31,15,Silver medal
Horia Calin Pop,Romania,5,6,7,5,5,3,31,15,Silver medal
Jean Mari Uri,France,5,7,7,1,7,3,30,17,Silver medal
Voicu Boşcaio,Romania,5,4,7,6,6,2,30,17,Silver medal
Constantin Sevici,Romania,5,4,5,3,6,7,30,17,Silver medal
Andrei Hodulev,Union of Soviet Socialist Republics,5,7,7,0,7,4,30,17,Silver medal
Andrei Zelevinski,Union of Soviet Socialist Republics,5,7,4,4,7,3,30,17,Silver medal
David Aldous,United Kingdom,5,7,7,2,7,2,30,17,"Silver medal, Special prize"
Damir Henč,Yugoslavia,5,7,5,2,7,4,30,17,Silver medal
Hans-Dietrich Gronau,German Democratic Republic,5,5,4,5,5,5,29,24,Bronze medal
Oleg Krestev Mushkarov,Bulgaria,5,4,4,3,7,5,28,25,Bronze medal
Hristo Nikolov Lesov,Bulgaria,5,4,4,2,7,6,28,25,Bronze medal
Tomáš Mašek,Czechoslovakia,5,7,7,1,7,1,28,25,"Bronze medal, Special prize"
Jiří Vinárek,Czechoslovakia,5,2,1,6,6,8,28,25,Bronze medal
Vlad Sergiescu,Romania,5,4,4,3,7,5,28,25,Bronze medal
Stefan Gradinaru,Romania,1,4,6,6,5,5,27,30,Bronze medal
Elena Neklyudova,Union of Soviet Socialist Republics,5,7,3,1,4,7,27,30,Bronze medal
Valeriy Soloviev,Union of Soviet Socialist Republics,5,7,5,4,6,0,27,30,Bronze medal
Zoran Kadelburg,Yugoslavia,4,5,1,6,5,6,27,30,Bronze medal
Virdzhinia Stoinova Hristova,Bulgaria,1,4,4,6,6,4,25,34,Bronze medal
Petr Hadrava,Czechoslovakia,2,5,4,6,7,1,25,34,Bronze medal
Jürgen Schefter,German Democratic Republic,5,4,7,2,4,3,25,34,Bronze medal
János Pintz,Hungary,5,7,7,1,4,1,25,34,Bronze medal
Dambin Haltar,Mongolia,2,4,6,3,7,3,25,34,Bronze medal
Ljubomir Čukić,Yugoslavia,5,6,1,2,7,4,25,34,Bronze medal
Klaus Neumann,German Democratic Republic,5,4,7,1,5,2,24,40,Bronze medal
Joachim Voigt,German Democratic Republic,3,6,0,5,7,3,24,40,Bronze medal
László Lempert,Hungary,3,7,6,4,3,1,24,40,Bronze medal
Arkadiy Klimov,Union of Soviet Socialist Republics,0,7,4,6,7,0,24,40,Bronze medal
Peter Smith,United Kingdom,0,5,7,4,7,1,24,40,Bronze medal
Vladimir Todorov,Bulgaria,5,4,1,6,7,0,23,45,
Vesko Spasov,Bulgaria,5,4,1,6,2,4,22,46,
Stepan Terzijan,Bulgaria,5,5,0,0,7,5,22,46,
Miloš Zahradník,Czechoslovakia,0,5,4,4,6,3,22,46,
Alfred Ramani,France,1,7,7,1,2,4,22,46,
John Segal,United Kingdom,3,4,6,1,7,1,22,46,
Milan Božić,Yugoslavia,5,4,4,3,4,2,22,46,
Georgi Popov,Bulgaria,3,4,5,0,6,3,21,52,
Miklós Soós,Hungary,0,4,7,2,7,1,21,52,
Batsuren Sotovin,Mongolia,2,4,3,1,7,4,21,52,
