Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Petr Čížek,Czechoslovakia,7,7,7,7,7,7,42,1,Gold medal
Frank Göring,German Democratic Republic,7,7,7,7,7,7,42,1,Gold medal
Andreas Siebert,German Democratic Republic,7,7,7,7,7,7,42,1,Gold medal
Gerard Zenker,German Democratic Republic,7,7,7,7,7,7,42,1,Gold medal
Huazhang Luo,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Andrei Moroianu,Romania,7,7,7,7,7,7,42,1,Gold medal
Sergei Ivanov,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Jordan S. Ellenberg,United States of America,7,7,7,7,7,7,42,1,Gold medal
Đinh Tien Cuong,Vietnam,7,7,7,7,7,7,42,1,Gold medal
Rade Todorović,Yugoslavia,7,7,7,7,7,7,42,1,Gold medal
Ondrej Šuch,Czechoslovakia,7,7,7,7,7,6,41,11,Gold medal
Martin Härterich,Germany,7,7,7,7,7,6,41,11,Gold medal
Xiaoming Huo,People's Republic of China,6,7,7,7,7,7,41,11,Gold medal
Buxing Jiang,People's Republic of China,6,7,7,7,7,7,41,11,Gold medal
Yang Yu,People's Republic of China,7,7,7,6,7,7,41,11,Gold medal
Evgenia Malinnikova,Union of Soviet Socialist Republics,7,7,7,6,7,7,41,11,Gold medal
Ngô Bào Châu,Vietnam,6,7,7,6,7,7,40,17,Gold medal
Emanuil Todorov,Bulgaria,7,6,6,7,7,6,39,18,Gold medal
Dimitri Ivanov,Union of Soviet Socialist Republics,7,7,7,7,7,4,39,18,Gold medal
Teodor Bănică,Romania,7,7,3,7,7,7,38,20,Gold medal
Shu Hung Choy,Hong Kong,6,7,3,7,7,7,37,21,Silver medal
Péter Benczúr,Hungary,7,7,2,7,7,7,37,21,Silver medal
Ruoxi Tang,People's Republic of China,7,7,2,7,7,7,37,21,Silver medal
Alexandru Dan Ionescu,Romania,7,7,2,7,7,7,37,21,Silver medal
Andrei Rădulescu-Banu,Romania,2,7,7,7,7,7,37,21,Silver medal
Andrew H. Kresch,United States of America,7,7,2,7,7,7,37,21,Silver medal
Samuel A. Kutin,United States of America,7,7,2,7,7,7,37,21,Silver medal
Kamen Alexiev,Bulgaria,2,7,7,7,7,6,36,28,Silver medal
Petr Hliněný,Czechoslovakia,7,7,1,7,7,7,36,28,Silver medal
Jürgen Wolff,Germany,7,7,5,7,7,3,36,28,Silver medal
Adrian George Barbu,Romania,7,7,3,6,7,6,36,28,Silver medal
Alan Offer,Australia,7,7,0,7,7,7,35,32,Silver medal
Gudrun Hametner,Austria,7,7,0,7,7,7,35,32,Silver medal
Nikolai Stoev,Bulgaria,7,7,0,7,7,7,35,32,Silver medal
Philip Jong,Canada,6,7,1,7,7,7,35,32,Silver medal
Xavier Leleu,France,7,7,7,7,7,0,35,32,Silver medal
