Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Jeck Lim,Singapore,7,7,7,7,7,7,42,1,Gold medal
Dong Ryul Kim,Republic of Korea,7,7,7,5,7,7,40,2,Gold medal
Bobby Shen,United States of America,7,7,4,7,7,7,39,3,Gold medal
Zhuo Qun (Alex) Song,Canada,7,7,3,7,7,7,38,4,Gold medal
Yiyang She,People's Republic of China,7,7,3,7,7,7,38,4,Gold medal
Jaewon Chang,Republic of Korea,7,7,4,6,7,7,38,4,Gold medal
Teodor von Burg,Serbia,7,7,7,6,7,4,38,4,Gold medal
Haoyu Wang,People's Republic of China,7,7,3,6,7,7,37,8,Gold medal
Hanwool Moon,Republic of Korea,7,7,4,7,7,4,36,9,Gold medal
David Yang,United States of America,7,7,7,7,1,7,36,9,Gold medal
Calvin Deng,Canada,7,7,3,7,7,4,35,11,Gold medal
Jingwen Chen,People's Republic of China,7,7,0,7,7,7,35,11,Gold medal
Daniil Kliuev,Russian Federation,7,7,7,7,7,0,35,11,Gold medal
Thomas Swayze,United States of America,7,7,7,7,7,0,35,11,Gold medal
Hao Wu,People's Republic of China,7,7,5,2,7,6,34,15,Gold medal
Sung Jin Park,Republic of Korea,7,7,3,7,7,3,34,15,Gold medal
Bogdan Stankov,Bulgaria,7,7,7,7,4,1,33,17,Gold medal
Hao Zuo,People's Republic of China,7,7,3,7,7,2,33,17,Gold medal
Omer Cerrahoglu,Romania,7,7,3,7,7,2,33,17,Gold medal
Mikhail Grigorev,Russian Federation,7,7,5,7,7,0,33,17,Gold medal
Nipun Pitimanaaree,Thailand,7,7,3,7,7,2,33,17,Gold medal
Chung Song Hong,Democratic People's Republic of Korea,7,7,0,7,7,4,32,22,Gold medal
Dmitry Krachun,Russian Federation,7,7,3,7,7,1,32,22,Gold medal
Dong Hyo Kim,Republic of Korea,7,7,3,7,7,0,31,24,Gold medal
Brian Chen,Taiwan,7,7,4,7,2,4,31,24,Gold medal
Hải Đăng Đậu,Vietnam,7,7,3,7,7,0,31,24,Gold medal
Tae Hwan Park,Republic of Korea,7,7,0,7,7,2,30,27,Gold medal
Radu Bumbăcea,Romania,7,7,3,6,7,0,30,27,Gold medal
Mehmet Sönmez,Turkey,7,7,0,7,7,2,30,27,Gold medal
Pedram Safaee,Islamic Republic of Iran,7,7,0,7,7,1,29,30,Gold medal
Andrew Carlotti,United Kingdom,7,7,5,6,0,4,29,30,Gold medal
Mitchell Lee,United States of America,7,7,5,6,4,0,29,30,Gold medal
Rodrigo Sanches Angelo,Brazil,7,7,0,7,7,0,28,33,Gold medal
Matthew Brennan,Canada,7,7,0,7,7,0,28,33,Gold medal
Domagoj Ćevid,Croatia,7,7,0,7,7,0,28,33,Gold medal
Kwang Choe,Democratic People's Republic of Korea,7,7,0,7,7,0,28,33,Gold medal
Panagiotis Lolas,Greece,7,7,0,7,7,0,28,33,Gold medal
Debdyuti Banerjee,India,7,7,4,2,7,1,28,33,Gold medal
Prafulla Susil Dhariwal,India,7,7,0,7,7,0,28,33,Gold medal
Alek Bedroya,Islamic Republic of Iran,7,7,3,4,7,0,28,33,Gold medal
Mina Dalirrooyfard,Islamic Republic of Iran,7,7,0,7,7,0,28,33,Gold medal
Diego Alonso Roque Montoya,Mexico,7,7,0,7,7,0,28,33,Gold medal
Turbat Enkhbayar,Mongolia,7,7,0,7,7,0,28,33,Gold medal
Jeroen Huijben,Netherlands,7,7,0,7,7,0,28,33,Gold medal
Jetze Zoethout,Netherlands,7,7,0,7,7,0,28,33,Gold medal
Miguel Martins Dos Santos,Portugal,7,7,0,7,7,0,28,33,Gold medal
Aleksandr Kalmynin,Russian Federation,7,7,0,7,7,0,28,33,Gold medal
Martin Vodička,Slovakia,7,7,3,7,4,0,28,33,Gold medal
Jirawat Anunrojwong,Thailand,7,7,0,7,7,0,28,33,Gold medal
Pakawut Jiradilok,Thailand,7,7,0,7,7,0,28,33,Gold medal
Ravi Jagadeesan,United States of America,7,5,3,5,4,4,28,33,Gold medal
Olivér Janzer,Hungary,7,7,3,7,1,2,27,52,Silver medal
Alireza Fallah,Islamic Republic of Iran,7,7,3,7,3,0,27,52,Silver medal
Syed Waqar Ali Shah,Pakistan,7,7,0,6,7,0,27,52,Silver medal
Jesús Ángel Advíncula Altamirano,Peru,7,7,0,6,7,0,27,52,Silver medal
Chong Luck Ryan Kor,Singapore,7,7,3,6,4,0,27,52,Silver medal
Kuan-Yu Lin,Taiwan,7,7,0,6,7,0,27,52,Silver medal
Xiaoyu He,United States of America,7,7,7,6,0,0,27,52,Silver medal
Tạ Duy Nguyễn,Vietnam,7,7,0,6,7,0,27,52,Silver medal
Phương Minh Nguyễn,Vietnam,7,7,0,6,7,0,27,52,Silver medal
Raúl Arturo Chávez Sarmiento,Peru,7,7,3,6,3,0,26,61,Silver medal
Alexander Matushkin,Russian Federation,7,7,3,7,1,1,26,61,Silver medal
Che-Ping Tsai,Taiwan,7,4,0,7,7,1,26,61,Silver medal
Dhananjoy Biswas,Bangladesh,7,4,0,7,7,0,25,64,Silver medal
Matija Bucić,Croatia,7,7,3,4,4,0,25,64,Silver medal
Yau Wing Li,Hong Kong,7,3,0,7,7,1,25,64,Silver medal
Akashdeep Dey,India,7,7,0,3,7,1,25,64,Silver medal
Hiroki Komatsu,Japan,7,6,0,7,5,0,25,64,Silver medal
Maciej Dulęba,Poland,7,7,2,2,7,0,25,64,Silver medal
Wojciech Nadara,Poland,7,7,5,3,3,0,25,64,Silver medal
Nipith Charoenngam,Thailand,7,7,1,4,6,0,25,64,Silver medal
