Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Bohuslav Diviš,Czechoslovakia,5,8,7,5,8,7,40,1,Gold medal
György Csanak,Hungary,,,,,,,37,2,Gold medal
Basarab Nicolescu,Romania,,,,,,,37,2,Gold medal
Gábor Halász,Hungary,,,,,,,36,4,Silver medal
Cristian Berthaler,Romania,,,,,,,36,4,Silver medal
Cezar Gheorghe,Romania,,,,,,,36,4,Silver medal
György Muszély,Hungary,,,,,,,35,7,Bronze medal
Virgil Brişcă,Romania,,,,,,,35,7,Bronze medal
Béla Bollobás,Hungary,,,,,,,34,9,Bronze medal
Andrei Tom,Union of Soviet Socialist Republics,,,,,,,34,9,Bronze medal
Mihail Vrăjitoru,Romania,,,,,,,33,11,Bronze medal
Viktor Fedorev,Union of Soviet Socialist Republics,,,,,,,32,12,Honourable mention
Domokos Szász,Hungary,,,,,,,31,13,Honourable mention
Ivan Titelnikov,Bulgaria,5,7,7,5,2,4,30,14,Honourable mention
Valeriy Frolov,Union of Soviet Socialist Republics,,,,,,,30,14,Honourable mention
Karel Šmuk,Czechoslovakia,,,,,,,29,16,Honourable mention
Jiří Moudrý,Czechoslovakia,,,,,,,28,17,Honourable mention
Jiří Votava,Czechoslovakia,,,,,,,28,17,Honourable mention
Viorel Barbu,Romania,,,,,,,28,17,Honourable mention
Zdislav Kovářík,Czechoslovakia,,,,,,,25,20,Honourable mention
Jan Tóke,Poland,,,,,,,25,20,Honourable mention
Ferenc Mezei,Hungary,,,,,,,24,22,
?,Romania,,,,,,,23,23,
Petr Balarev,Bulgaria,5,6,7,0,0,4,22,24,
?,Czechoslovakia,,,,,,,21,25,
Ambrus Tihanyi,Hungary,,,,,,,21,25,
?,Romania,,,,,,,21,25,
Ventseslav Andreichev,Bulgaria,5,4,5,5,0,1,20,38,
*,Poland,,,,,,,20,28,
Rafail Zlatarov,Bulgaria,2,5,7,1,2,2,19,31,
*,Poland,,,,,,,19,29,
*,Poland,,,,,,,18,30,
*,Poland,,,,,,,16,32,
Tsvetana Penkovska,Bulgaria,0,6,5,1,0,3,15,33,
Gyula Katona,Hungary,,,,,,,15,33,
Aleksander Chetajev,Union of Soviet Socialist Republics,,,,,,,15,33,
?,Czechoslovakia,,,,,,,12,36,
*,Poland,,,,,,,11,37,
Ljubozar Dimitrov,Bulgaria,1,7,0,1,0,1,10,38,
Nedka Ivanova,Bulgaria,1,6,0,1,0,1,9,40,
?,Czechoslovakia,,,,,,,9,40,
*,German Democratic Republic,,,,,,,9,40,
Todor Todorov,Bulgaria,1,6,0,0,1,0,8,43,
*,Poland,,,,,,,8,43,
*,German Democratic Republic,,,,,,,6,45,
*,German Democratic Republic,,,,,,,6,45,
*,German Democratic Republic,,,,,,,6,45,
*,Poland,,,,,,,5,48,
*,German Democratic Republic,,,,,,,4,49,
*,German Democratic Republic,,,,,,,4,49,
*,German Democratic Republic,,,,,,,3,51,
*,German Democratic Republic,,,,,,,2,52,
