Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Tomáš Mašek,Czechoslovakia,6,7,7,5,7,8,40,1,Gold medal
Bohuslav Sivák,Czechoslovakia,6,7,7,5,7,8,40,1,Gold medal
Christoph Bandt,German Democratic Republic,6,7,7,5,7,8,40,1,Gold medal
Jürgen Gärtner,German Democratic Republic,6,7,7,5,7,8,40,1,Gold medal
Stefan Heinrich,German Democratic Republic,6,7,7,5,7,8,40,1,Gold medal
Ulrich Zähle,German Democratic Republic,6,7,7,5,7,8,40,1,Gold medal
László Babai,Hungary,6,7,7,5,7,8,40,1,"Gold medal, Special prize"
László Csirmaz,Hungary,6,7,7,5,7,8,40,1,"Gold medal, Special prize"
János Pintz,Hungary,6,7,7,5,7,8,40,1,Gold medal
Jerzy Dydak,Poland,6,7,7,5,7,8,40,1,Gold medal
Barbu Rudolf Berceanu,Romania,6,7,7,5,7,8,40,1,Gold medal
Ulf Persson,Sweden,6,7,7,5,7,8,40,1,Gold medal
Mikhail Blyudze,Union of Soviet Socialist Republics,6,7,7,5,7,8,40,1,Gold medal
Pavel Kurchanov,Union of Soviet Socialist Republics,6,7,7,5,7,8,40,1,Gold medal
Vladimir Ponomarenko,Union of Soviet Socialist Republics,6,7,7,5,7,8,40,1,Gold medal
Sergei Sobolev,Union of Soviet Socialist Republics,6,7,7,5,7,8,40,1,Gold medal
Wolfgang Burmeister,German Democratic Republic,6,7,6,5,7,8,39,17,Gold medal
Bolesław Szymański,Poland,6,7,7,5,7,7,39,17,Gold medal
Valeriy Fedotov,Union of Soviet Socialist Republics,5,7,7,5,7,8,39,17,Gold medal
Simon Phillips Norton,United Kingdom,,,,,,,39,17,Gold medal
William Porterfield,United Kingdom,,,,,,,39,17,Gold medal
Malcolm John Williamson,United Kingdom,,,,,,,39,17,"Gold medal, Special prize"
László Lempert,Hungary,4,7,7,5,7,8,38,23,Silver medal
András Szűcs,Hungary,6,7,7,5,5,8,38,23,Silver medal
Viktor Kumarin,Union of Soviet Socialist Republics,6,7,7,5,5,8,38,23,Silver medal
Clifford Cocks,United Kingdom,6,6,7,5,7,7,38,23,Silver medal
John Scholes,United Kingdom,,,,,,,38,23,Silver medal
Dikran Dikranian,Bulgaria,5,7,6,5,6,8,37,28,Silver medal
Hans-Görg Roos,German Democratic Republic,6,7,7,5,5,7,37,28,Silver medal
Tadeusz Liszka,Poland,4,7,7,5,7,7,37,28,Silver medal
Björn Frenckner,Sweden,6,7,7,5,7,5,37,28,Silver medal
László Kóczy,Hungary,5,7,4,5,7,8,36,32,Silver medal
Ivan Ivanov,Bulgaria,2,7,7,5,6,8,35,33,Silver medal
Vladimír Müller,Czechoslovakia,6,7,2,5,7,8,35,33,Silver medal
Jan Śliwa,Poland,5,7,7,5,3,8,35,33,Silver medal
Stefan Gradinaru,Romania,6,7,7,3,5,7,35,33,Silver medal
Bengt Ek,Sweden,6,7,2,5,7,8,35,33,Silver medal
Pavel Polcar,Czechoslovakia,5,7,7,0,7,8,34,38,Silver medal
Jiří Vinárek,Czechoslovakia,6,7,1,5,7,8,34,38,Silver medal
Andreas Felgenhauer,German Democratic Republic,6,7,1,5,7,8,34,38,Silver medal
Joachim Fritz,German Democratic Republic,4,7,5,5,5,8,34,38,Silver medal
Ryszard Nest,Poland,6,7,6,5,7,3,34,38,Silver medal
Veselin Drenski,Bulgaria,4,7,7,0,7,8,33,43,Silver medal
Libor Polák,Czechoslovakia,5,7,1,5,7,8,33,43,Silver medal
Vladimir Makarichev,Union of Soviet Socialist Republics,6,7,2,5,5,7,32,45,Bronze medal
László Mérő,Hungary,6,6,6,5,5,3,31,46,Bronze medal
Vlad Sergiescu,Romania,6,7,7,2,7,1,30,47,Bronze medal
Gunnar Rynefors,Sweden,6,3,7,5,7,2,30,47,Bronze medal
Anders Wannebo,Sweden,5,5,0,5,7,8,30,47,Bronze medal
Elwyn Davies,United Kingdom,5,7,7,0,5,6,30,47,Bronze medal
Nedelcho Milev,Bulgaria,3,7,2,5,5,7,29,51,Bronze medal
Roberto Dvornicich,Italy,5,5,6,0,5,8,29,51,Bronze medal
Feliks Przytycki,Poland,5,7,7,0,5,5,29,51,Bronze medal
Horia Calin Pop,Romania,1,6,7,5,5,5,29,51,Bronze medal
Peder Johansson,Sweden,6,3,0,5,7,8,29,51,Bronze medal
Genadiy Beli,Union of Soviet Socialist Republics,5,7,0,5,5,7,29,51,Bronze medal
György Michaletzky,Hungary,4,3,1,5,7,8,28,57,Bronze medal
Henryk Petryk,Poland,5,7,6,5,5,0,28,57,Bronze medal
Erik Alm,Sweden,3,6,1,5,5,8,28,57,Bronze medal
Branko Najman,Yugoslavia,5,7,6,5,5,0,28,57,Bronze medal
Klas Mårtensson,Sweden,5,5,1,5,3,8,27,61,Bronze medal
Zoran Kadelburg,Yugoslavia,5,6,1,1,7,7,27,61,Bronze medal
Tomo Žitko,Yugoslavia,3,7,2,2,5,8,27,61,Bronze medal
Noel Leaver,United Kingdom,5,4,6,0,3,8,26,64,Bronze medal
Alberto Arosio,Italy,2,7,0,5,3,7,24,65,
Silviu Coman,Romania,3,6,6,3,5,1,24,65,
Peter Legiša,Yugoslavia,6,7,1,5,5,0,24,65,
Slobodan Simić,Yugoslavia,5,7,7,2,3,0,24,65,Special prize
Fausto Guerini,Italy,5,7,7,2,2,0,23,69,
Hristo Hristov,Bulgaria,5,5,1,3,3,5,22,70,
Andrei Jordan,Romania,5,7,7,2,0,1,22,70,
Nikolai Kitev,Bulgaria,6,6,0,5,0,3,20,72,
Wiesław Zięba,Poland,2,7,0,4,4,3,20,72,
? O.,Mongolia,5,7,2,0,3,2,19,74,
Mircea Brenner,Romania,5,5,1,2,4,1,18,75,
Zvonko Kolarić,Yugoslavia,2,7,1,2,3,3,18,75,
Livio Cettolini,Italy,0,0,0,5,4,8,17,77,
Dragutin Svrtan,Yugoslavia,5,6,1,0,5,0,17,77,
Martin Bukovčan,Czechoslovakia,3,4,1,0,0,8,16,79,
Michal Kaukič,Czechoslovakia,4,7,4,0,0,1,16,79,
Kostadin Krachanov,Bulgaria,0,6,1,5,1,2,15,81,
? Ja.,Mongolia,5,6,1,2,0,1,15,81,
Fabrizio Catanese,Italy,0,6,0,5,0,3,14,83,
Michael Proctor,United Kingdom,,,,,,,14,83,
Radoslav Gojković,Yugoslavia,3,7,1,2,0,1,14,83,
Dimo Dimov,Bulgaria,4,3,1,5,0,0,13,86,
? V.,Mongolia,5,6,1,0,0,0,12,87,
Daniele Mazza,Italy,0,5,2,1,0,3,11,88,
Constantin Sevici,Romania,5,1,0,2,1,1,10,89,
Roberto Gaetano,Italy,1,2,0,5,0,1,9,90,
? Ji.,Mongolia,0,7,1,0,0,1,9,90,
? G.,Mongolia,0,6,1,0,0,1,8,92,
? T.,Mongolia,1,6,1,0,0,0,8,92,
Pierluigi Zezza,Italy,0,0,0,0,0,5,5,94,
? S.,Mongolia,0,1,0,0,0,1,2,95,
? M.,Mongolia,0,1,0,0,0,0,1,96,
