Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Genadiy Maloletkyn,Union of Soviet Socialist Republics,,,,,,,39,1,Gold medal
Rafael Sarkisyan,Union of Soviet Socialist Republics,,,,,,,39,1,Gold medal
Franc Dacar,Yugoslavia,,,,,,,39,1,Gold medal
Aleksei Tolpigo,Union of Soviet Socialist Republics,,,,,,,38,4,Gold medal
László Zsidó,Romania,,,,,,,37,5,Gold medal
Josef Daneš,Czechoslovakia,6,7,5,5,6,6,35,6,Gold medal
Anatoli Zaicev,Union of Soviet Socialist Republics,,,,,,,35,6,Gold medal
László Lovász,Hungary,,,,,,,34,8,Silver medal
Vladimir Fishman,Union of Soviet Socialist Republics,,,,,,,34,8,Silver medal
Ferenc Szidarovszky,Hungary,,,,,,,33,10,Silver medal
László Gerencsér,Hungary,,,,,,,32,11,Silver medal
József Pelikán,Hungary,,,,,,,32,11,Silver medal
George Lusztig,Romania,,,,,,,31,13,Silver medal
Ivan Boljevski,Yugoslavia,,,,,,,31,13,Silver medal
Anatoli Zvaignicev,Union of Soviet Socialist Republics,,,,,,,30,15,Silver medal
Patrik Fazekas,Hungary,,,,,,,29,16,Silver medal
Sergei Smirnov,Union of Soviet Socialist Republics,,,,,,,29,16,Silver medal
Peter Petek,Yugoslavia,,,,,,,28,18,Silver medal
Gheorghe Eckstein,Romania,,,,,,,27,19,Bronze medal
Kiril Andreev,Union of Soviet Socialist Republics,,,,,,,27,19,Bronze medal
Mila Mršević,Yugoslavia,,,,,,,27,19,Bronze medal
Vladimir Zaimov,Bulgaria,6,4,7,2,0,7,26,22,Bronze medal
Gábor Corrádi,Hungary,,,,,,,26,22,Bronze medal
Endre Makai,Hungary,,,,,,,25,24,Bronze medal
Şerban Grigorescu,Romania,,,,,,,25,24,Bronze medal
Jaroslav Zemánek,Czechoslovakia,5,5,5,0,1,7,23,26,Bronze medal
Rolf-Günter Riedel,German Democratic Republic,,,,,,,23,26,Bronze medal
Attila Máté,Hungary,,,,,,,23,26,Bronze medal
Bronisław Wajnryb,Poland,,,,,,,23,26,Bronze medal
Svetoslav Biltchev,Bulgaria,4,1,4,1,5,7,22,30,Bronze medal
Uwe Kühler,German Democratic Republic,,,,,,,22,30,Bronze medal
Georgi Ganchev,Bulgaria,5,1,0,1,6,8,21,32,Bronze medal
Ulrich Schwarz,German Democratic Republic,,,,,,,21,32,Bronze medal
Henryk Toruńczyk,Poland,,,,,,,21,32,Bronze medal
Tiberiu Spircu,Romania,,,,,,,21,32,Bronze medal
?,Czechoslovakia,3,7,1,0,5,4,20,36,
Cezary Ferens,Poland,,,,,,,20,36,
Svetlozar Rulinski,Bulgaria,4,2,0,1,5,7,19,38,
Jacek Gancarzewicz,Poland,,,,,,,19,38,
Kristofor Kuzhuharov,Bulgaria,0,3,7,2,0,6,18,40,
Rolf Thier,German Democratic Republic,,,,,,,18,40,
?,Romania,,,,,,,18,40,
Haim Haimov,Bulgaria,2,1,0,0,6,8,17,43,
Wolfgang Schulze,German Democratic Republic,,,,,,,17,43,
Jerzy Jurkiewicz,Poland,,,,,,,16,45,
?,Romania,,,,,,,16,45,
?,Romania,,,,,,,16,45,
Ferenc Kalmar,Yugoslavia,,,,,,,16,45,
?,Czechoslovakia,4,5,0,3,0,3,15,49,
?,Czechoslovakia,4,3,0,1,0,7,15,49,
?,Czechoslovakia,2,3,2,2,1,5,15,49,
Katica Stevanović,Yugoslavia,,,,,,,15,49,
?,Czechoslovakia,2,5,0,1,0,6,14,53,
?,Czechoslovakia,2,4,0,2,0,6,14,53,
Bernd Noack,German Democratic Republic,,,,,,,14,53,
Marian Grudnicki,Poland,,,,,,,14,53,
Andrzej Szankowski,Poland,,,,,,,14,53,
Joachim Krell,German Democratic Republic,,,,,,,13,58,
Ljubomir Pavlov,Bulgaria,2,0,0,0,3,7,12,59,
Lutz Bernhardt,German Democratic Republic,,,,,,,12,59,
Angel Muleshkov,Bulgaria,5,1,0,1,0,3,10,61,
Marian Orłowski,Poland,,,,,,,7,62,
Stanko Vrščaj,Yugoslavia,,,,,,,7,62,
Valerijan Bjelik,Yugoslavia,,,,,,,2,64,
