Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Yuan Yang,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Jaewon Choi,Republic of Korea,7,7,7,7,7,7,42,1,Gold medal
Eui Cheon Hong,Republic of Korea,7,7,7,7,7,7,42,1,Gold medal
Junghun Ju,Republic of Korea,7,7,7,7,7,7,42,1,Gold medal
Allen Liu,United States of America,7,7,7,7,7,7,42,1,Gold medal
Yuan Yao,United States of America,7,7,7,7,7,7,42,1,Gold medal
Lingjie Mei,People's Republic of China,7,7,6,7,7,7,41,7,Gold medal
Zhao Yu Ma,Singapore,7,7,7,7,7,3,38,8,Gold medal
Shengtong Zhang,People's Republic of China,7,7,7,7,7,1,36,9,Gold medal
Glen Wei An Lim,Singapore,7,7,1,7,7,7,36,9,Gold medal
Sheldon Kieren Tan,Singapore,7,7,1,7,7,7,36,9,Gold medal
Attila Gáspár,Hungary,7,7,0,7,7,7,35,12,Gold medal
Calvin Shao-Huai Hsu,Taiwan,7,7,0,7,7,7,35,12,Gold medal
Krit Boonsiriseth,Thailand,7,7,0,7,7,7,35,12,Gold medal
Junyao Peng,United States of America,7,7,0,7,7,7,35,12,Gold medal
Ashwin Sah,United States of America,7,7,6,7,7,1,35,12,Gold medal
Kevin Sun,Canada,5,7,1,7,7,7,34,17,Gold medal
Myonghyok Ri,Democratic People's Republic of Korea,6,7,0,7,7,7,34,17,Gold medal
Kum Song Jon,Democratic People's Republic of Korea,7,7,2,7,7,3,33,19,Gold medal
Grigorii Iurgin,Russian Federation,7,2,7,7,7,3,33,19,Gold medal
Dylan Shan Hong Toh,Singapore,7,7,2,7,7,3,33,19,Gold medal
Warren Li,United Kingdom,7,7,2,7,7,3,33,19,Gold medal
Shun Ming Samuel Lee,Hong Kong,7,7,0,7,7,3,31,23,Gold medal
John Michael Wu,Hong Kong,7,7,0,7,7,3,31,23,Gold medal
Hoi Wai Yu,Hong Kong,7,7,0,7,7,3,31,23,Gold medal
Filippo Gianni Baroni,Italy,7,7,0,7,7,3,31,23,Gold medal
Yuta Takaya,Japan,7,7,0,7,7,3,31,23,Gold medal
Hou Tin Chau,Macau,7,7,0,7,7,3,31,23,Gold medal
Zeyu Jia,People's Republic of China,7,7,0,7,7,3,31,23,Gold medal
Sehun Kim,Republic of Korea,7,6,1,7,7,3,31,23,Gold medal
Ruslan Salimov,Russian Federation,7,7,1,7,7,2,31,23,Gold medal
Pin-Hung Lee,Taiwan,7,7,2,7,2,6,31,23,Gold medal
Michael Kural,United States of America,6,7,1,7,7,3,31,23,Gold medal
Xuân Trung Vũ,Vietnam,7,7,0,7,7,3,31,23,Gold medal
Amir Mokhammed-Ali,Kazakhstan,7,7,0,7,2,7,30,35,Gold medal
Farrell Eldrian Wu,Philippines,7,7,0,7,2,7,30,35,Gold medal
Ivan Frolov,Russian Federation,7,7,1,7,7,1,30,35,Gold medal
Jung-Tao Cheng,Taiwan,7,2,5,7,7,2,30,35,Gold medal
Pachara Sawettamalya,Thailand,7,2,0,7,7,7,30,35,Gold medal
Neel Nanda,United Kingdom,7,7,0,7,2,7,30,35,Gold medal
William Zhao,Canada,7,7,1,7,7,0,29,41,Gold medal
Kyle Patrick Dulay,Philippines,7,7,0,7,7,1,29,41,Gold medal
Pavel Gubkin,Russian Federation,7,7,1,7,7,0,29,41,Gold medal
Ankan Bhattacharya,United States of America,3,7,6,7,6,0,29,41,Gold medal
Asif E Elahi,Bangladesh,7,7,0,7,7,0,28,45,Silver medal
Kai Sun,Canada,7,7,0,7,7,0,28,45,Silver medal
Filip Bialas,Czech Republic,7,7,0,7,7,0,28,45,Silver medal
Pavel Hudec,Czech Republic,7,7,0,7,0,7,28,45,Silver medal
Un Song Choe,Democratic People's Republic of Korea,7,7,0,7,7,0,28,45,Silver medal
Félix Breton,France,7,7,0,7,0,7,28,45,Silver medal
Jacopo Guoyi Chen,Italy,7,7,1,7,3,3,28,45,Silver medal
Rikimaru Kurata,Japan,7,7,2,7,4,1,28,45,Silver medal
Sogo Murakami,Japan,7,7,0,7,0,7,28,45,Silver medal
Cho Hou Tang,Macau,7,7,0,7,7,0,28,45,Silver medal
Yixuan Wang,People's Republic of China,7,0,0,7,7,7,28,45,Silver medal
Raul Alfredo Alcántara Castillo,Peru,7,7,0,7,7,0,28,45,Silver medal
Bryan Peng Jun Wang,Singapore,7,7,0,7,7,0,28,45,Silver medal
John Olof Hallman,Sweden,7,6,0,7,1,7,28,45,Silver medal
David Wärn,Sweden,7,7,0,7,7,0,28,45,Silver medal
Shih-Yu Wang,Taiwan,7,7,0,7,4,3,28,45,Silver medal
Sivakorn Sanguanmoo,Thailand,7,7,0,7,7,0,28,45,Silver medal
Harvey Yau,United Kingdom,0,7,0,7,7,7,28,45,Silver medal
Qi Qi,Canada,7,2,1,7,7,3,27,63,Silver medal
Martin Drees,Germany,7,6,0,7,7,0,27,63,Silver medal
Federico Viola,Italy,7,6,0,7,7,0,27,63,Silver medal
Tien-Chun Cheng,Taiwan,7,7,0,3,7,3,27,63,Silver medal
Vũ Quang Đào,Vietnam,7,7,0,7,4,2,27,63,Silver medal
Daniel Atanasov,Bulgaria,7,1,1,7,3,7,26,68,Silver medal
Aleksandar Cherganski,Bulgaria,7,5,0,7,7,0,26,68,Silver medal
Stanislav Slavov,Bulgaria,7,3,0,7,2,7,26,68,Silver medal
Wai Lam Cheung,Hong Kong,7,5,0,7,7,0,26,68,Silver medal
Timothy Jacob Wahyudi,Indonesia,7,7,0,7,2,3,26,68,Silver medal
Luca Macchiaroli,Italy,7,7,0,7,4,1,26,68,Silver medal
Zhengqin Song,People's Republic of China,7,2,0,7,7,3,26,68,Silver medal
Joakim  Blikstad,Sweden,7,2,0,7,7,3,26,68,Silver medal
Joe Benton,United Kingdom,7,7,2,7,2,1,26,68,Silver medal
Nguyễn Mạnh Phạm,Vietnam,7,5,0,7,7,0,26,68,Silver medal
João César Campos Vargas,Brazil,7,7,0,7,1,3,25,78,Silver medal
Andrey Jhen Shan Chen,Brazil,7,3,0,7,1,7,25,78,Silver medal
Daniel Paleka,Croatia,7,3,0,7,4,4,25,78,Silver medal
Il Jin Kim,Democratic People's Republic of Korea,7,2,0,7,2,7,25,78,Silver medal
Jong Yol Ri,Democratic People's Republic of Korea,7,0,0,7,7,4,25,78,Silver medal
Sebastian Meyer,Germany,7,7,0,7,1,3,25,78,Silver medal
Kálmán Lajkó,Hungary,7,7,0,7,1,3,25,78,Silver medal
Ko Aoki,Japan,6,7,0,7,2,3,25,78,Silver medal
Temirkhan Zimanov,Kazakhstan,7,7,0,7,4,0,25,78,Silver medal
Kevin William Beuchot Castellanos,Mexico,7,7,0,4,4,3,25,78,Silver medal
Bayarjavkhlan Ganbold,Mongolia,7,7,0,7,4,0,25,78,Silver medal
Bodrol Olonbaatar,Mongolia,7,7,0,7,4,0,25,78,Silver medal
Seungyoon Baek,Republic of Korea,7,7,1,7,1,2,25,78,Silver medal
Youseong Lee,Republic of Korea,7,7,0,7,4,0,25,78,Silver medal
Joel Junyao Tan,Singapore,7,7,0,4,7,0,25,78,Silver medal
Onur Sulak,Turkey,7,7,0,7,4,0,25,78,Silver medal
Andrei Asanau,Belarus,7,3,0,7,7,0,24,94,Silver medal
Daniel Lima Braga,Brazil,7,7,0,7,3,0,24,94,Silver medal
Pedro Henrique Sacramento de Oliveira,Brazil,7,0,0,7,7,3,24,94,Silver medal
Thiault Alexandre,France,7,7,1,7,2,0,24,94,Silver medal
Yui Hin Arvin Leung,Hong Kong,7,6,0,7,4,0,24,94,Silver medal
Kartal Nagy,Hungary,7,3,0,7,7,0,24,94,Silver medal
Kapil Pause,India,7,6,0,7,4,0,24,94,Silver medal
Mohammad Reza Aminian,Islamic Republic of Iran,7,2,0,7,7,1,24,94,Silver medal
Yaron Brodsky,Israel,7,1,2,7,4,3,24,94,Silver medal
Yasushi Matsushima,Japan,7,0,0,7,7,3,24,94,Silver medal
Antonio López Guzmán,Mexico,7,3,0,7,0,7,24,94,Silver medal
Nikola Raicevic,Montenegro,7,3,0,7,7,0,24,94,Silver medal
Jemisson Coronel Baldeón,Peru,7,4,0,7,6,0,24,94,Silver medal
Clyde Wesley Ang,Philippines,7,7,0,7,0,3,24,94,Silver medal
Yu-Pin Chiu,Taiwan,7,7,0,7,3,0,24,94,Silver medal
Ahmet İleri,Turkey,7,7,1,7,2,0,24,94,Silver medal
Jacob Coxon,United Kingdom,7,1,0,6,7,3,24,94,Silver medal
Lawrence Hollom,United Kingdom,7,7,0,7,3,0,24,94,Silver medal
Anh Dũng Hoàng,Vietnam,7,3,0,7,7,0,24,94,Silver medal
Nhật Hoàng Lê,Vietnam,7,7,1,5,4,0,24,94,Silver medal
Mikayel Mkrtchyan,Armenia,7,2,0,7,7,0,23,114,Silver medal
Jongmin Lim,Australia,7,1,2,7,4,2,23,114,Silver medal
Kevin Xian,Australia,7,6,0,7,3,0,23,114,Silver medal
Yu Song Han,Democratic People's Republic of Korea,7,7,0,7,1,1,23,114,Silver medal
Adrien Lemercier,France,7,2,0,7,7,0,23,114,Silver medal
Ferdinand Wagner,Germany,7,0,7,7,2,0,23,114,Silver medal
Barnabás Szabó,Hungary,7,6,2,7,1,0,23,114,Silver medal
Rezky Arizaputra,Indonesia,7,2,0,7,7,0,23,114,Silver medal
Erlang Wiratama Surya,Indonesia,7,2,0,7,7,0,23,114,Silver medal
Yoav Avidan,Israel,7,2,0,7,7,0,23,114,Silver medal
Omri Peer,Israel,7,1,2,6,4,3,23,114,Silver medal
Víctor Hugo   Almendra Hernández,Mexico,7,2,0,7,0,7,23,114,Silver medal
Leonardo Ariel García Morán,Mexico,7,7,0,7,2,0,23,114,Silver medal
Albert John Patupat,Philippines,7,7,0,7,2,0,23,114,Silver medal
Adam Klukowski,Poland,7,2,1,7,6,0,23,114,Silver medal
Teodor Andrei Andronache,Romania,7,2,0,7,7,0,23,114,Silver medal
Ovidiu Neculai Avădănei,Romania,7,7,0,7,2,0,23,114,Silver medal
Ciprian-Mircea Bonciocat,Romania,7,7,1,7,1,0,23,114,Silver medal
Alexandru Pascadi,Romania,7,7,0,7,0,2,23,114,Silver medal
Nikita Karagodin,Russian Federation,7,2,0,6,7,1,23,114,Silver medal
Aleksa Milojević,Serbia,7,7,0,7,1,1,23,114,Silver medal
Chesphongphach Buranasilp,Thailand,7,0,0,7,3,6,23,114,Silver medal
Nikita Skybytskyi,Ukraine,7,2,0,7,7,0,23,114,Silver medal
Gabriel Toneatti Vercelli,Brazil,7,7,0,7,1,0,22,137,Silver medal
Stelios Stylianou,Cyprus,7,1,0,7,0,7,22,137,Silver medal
Amin Rakhsha,Islamic Republic of Iran,7,3,1,7,4,0,22,137,Silver medal
Amirmojtaba Sabour,Islamic Republic of Iran,7,2,2,7,4,0,22,137,Silver medal
Miles Yee-Cheng Lee,New Zealand,7,2,0,7,6,0,22,137,Silver medal
Mateusz Kobak,Poland,7,4,0,7,4,0,22,137,Silver medal
Ioan Laurenţiu Ploscaru,Romania,7,7,0,4,4,0,22,137,Silver medal
Daniel Peter Rutschmann,Switzerland,1,7,0,7,7,0,22,137,Silver medal
Denys Pushkin,Ukraine,7,1,0,7,7,0,22,137,Silver medal
Arsen Hambardzumyan,Armenia,7,5,0,7,1,1,21,146,Bronze medal
Vahan Martirosyan,Armenia,7,0,0,7,0,7,21,146,Bronze medal
Sergey Nersisyan,Armenia,7,7,0,6,1,0,21,146,Bronze medal
Ilia Kucherov,Australia,7,7,0,7,0,0,21,146,Bronze medal
Seyoon Ragavan,Australia,7,7,0,7,0,0,21,146,Bronze medal
Ahmed Zawad Chowdhury,Bangladesh,7,2,0,7,0,5,21,146,Bronze medal
Adrian Beker,Croatia,7,7,0,7,0,0,21,146,Bronze medal
Leon Starešinić,Croatia,7,3,0,7,4,0,21,146,Bronze medal
Pavel Turek,Czech Republic,7,7,0,7,0,0,21,146,Bronze medal
Dennis Joaquín  Díaz Díaz,El Salvador,7,0,0,7,0,7,21,146,Bronze medal
Lucie Wang,France,7,3,0,7,4,0,21,146,Bronze medal
Manfred Paul,Germany,7,7,0,7,0,0,21,146,Bronze medal
Sutanay Bhattacharya,India,7,7,0,7,0,0,21,146,Bronze medal
Henry Jayakusuma,Indonesia,7,3,0,7,4,0,21,146,Bronze medal
Alireza Hediehloo,Islamic Republic of Iran,7,7,0,7,0,0,21,146,Bronze medal
Boaz Guberman,Israel,7,2,0,7,5,0,21,146,Bronze medal
Ivan Chan Kai Chin,Malaysia,7,2,0,7,4,1,21,146,Bronze medal
Tsend-Ayush Sosorbaram,Mongolia,7,7,0,7,0,0,21,146,Bronze medal
Levi van de Pol,Netherlands,7,4,0,6,4,0,21,146,Bronze medal
Daniel Rojas Cruz,Peru,7,7,0,7,0,0,21,146,Bronze medal
Francisco Proskauer Valerio,Puerto Rico,7,0,0,7,0,7,21,146,Bronze medal
David Neal Broodryk,South Africa,7,7,0,7,0,0,21,146,Bronze medal
Yaroslav Kivva ,Ukraine,7,5,0,7,2,0,21,146,Bronze medal
Wilson Zhao,Australia,7,0,0,7,3,3,20,169,Bronze medal
Aliaksandr Yuran,Belarus,7,2,1,7,3,0,20,169,Bronze medal
Zlatko Salko Lagumdžija,Bosnia and Herzegovina,7,2,0,7,4,0,20,169,Bronze medal
Nicolás De La Hoz,Colombia,7,4,0,7,2,0,20,169,Bronze medal
Daniel León Jiménez,Costa Rica,7,6,0,7,0,0,20,169,Bronze medal
