Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Herbert Sinwel,Austria,5,6,8,6,7,8,40,1,Gold medal
Jean Christophe Yoccoz,France,5,6,8,6,7,8,40,1,Gold medal
János Kollár,Hungary,5,6,8,6,7,8,40,1,Gold medal
Adrian Ocneanu,Romania,5,6,8,6,7,8,40,1,Gold medal
Michael Steiner,Sweden,5,6,8,6,7,8,40,1,"Gold medal, Special prize"
Alexander Grigorjan,Union of Soviet Socialist Republics,5,6,8,6,7,8,40,1,Gold medal
Dimitri Tjukavkin,Union of Soviet Socialist Republics,5,6,8,5,7,8,39,7,Gold medal
Jožef B. Varga,Yugoslavia,5,6,8,6,7,7,39,7,Gold medal
Hoàng Le Minh,Vietnam,5,6,8,6,5,8,38,9,Gold medal
Miodrag Živković,Yugoslavia,5,6,8,6,6,7,38,9,Gold medal
Konrad Engel,German Democratic Republic,5,6,5,6,7,8,37,11,Silver medal
Emil Kiss,Hungary,5,6,8,6,4,8,37,11,Silver medal
Arne Meurman,Sweden,5,6,8,6,4,8,37,11,Silver medal
Andrew Burn Apps,United Kingdom,5,6,7,6,5,8,37,11,Silver medal
Josef Hofbauer,Austria,4,6,8,6,7,5,36,15,Silver medal
Hans-Gert Gräbe,German Democratic Republic,5,6,8,6,3,8,36,15,Silver medal
Sergej Fomin,Union of Soviet Socialist Republics,5,6,7,6,4,8,36,15,Silver medal
Michel Bonnet,France,5,6,8,6,3,7,35,18,Silver medal
Andrej Brailov,Union of Soviet Socialist Republics,5,4,7,6,7,5,34,19,Silver medal
Gerhard Arenstorf,United States of America,5,6,2,6,7,8,34,19,Silver medal
Eric Lander,United States of America,5,6,8,6,1,8,34,19,Silver medal
Stephen Modzelewski,United States of America,5,6,2,6,7,8,34,19,Silver medal
Tsanko Donchev,Bulgaria,4,6,2,6,7,8,33,23,Silver medal
Helmut Roßmann,German Democratic Republic,5,1,8,6,5,8,33,23,Silver medal
Miroslav Jovanović,Yugoslavia,5,6,8,6,0,8,33,23,Silver medal
