Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Tamás Terpai,Hungary,7,7,7,4,7,7,39,1,Gold medal
Stefan Laurenţiu Horneţ,Romania,7,7,4,7,7,7,39,1,Gold medal
Maksym Fedorchuk,Ukraine,7,6,7,7,5,7,39,1,Gold medal
Geoffrey Chu,Australia,7,6,7,7,7,4,38,4,Gold medal
Hoàng Lê Thái,Vietnam,7,7,3,7,7,7,38,4,Gold medal
Ivan Lossev,Belarus,7,7,7,7,7,1,36,6,Gold medal
Xin Li,People's Republic of China,7,7,7,7,7,1,36,6,Gold medal
Vladimir Dremov,Russian Federation,7,7,7,7,7,1,36,6,Gold medal
Fedor Petrov,Russian Federation,7,7,3,7,7,5,36,6,Gold medal
Alexei Poiarkov,Russian Federation,7,7,6,6,7,3,36,6,Gold medal
Quang Yên Đỗ,Vietnam,7,7,1,7,7,7,36,6,Gold medal
Dušan Đukić,Yugoslavia,7,7,4,7,7,4,36,6,Gold medal
Dimitar Jetchev,Bulgaria,7,7,3,7,7,4,35,13,Gold medal
Ruochuan Liu,People's Republic of China,7,6,1,7,7,7,35,13,Gold medal
Amir Ajorlou,Islamic Republic of Iran,7,7,1,7,7,5,34,15,Gold medal
Suh Hyun Choi,Republic of Korea,7,7,4,7,6,3,34,15,Gold medal
Pavlo Pylyavsky,Ukraine,7,1,6,6,7,7,34,15,Gold medal
Reid Barton,United States of America,7,7,7,7,2,4,34,15,Gold medal
Mihai Manea,Romania,7,7,2,7,6,4,33,19,Gold medal
Ivan Razhnou,Belarus,7,7,6,2,7,3,32,20,Gold medal
Xiaolong Cheng,People's Republic of China,7,7,1,7,7,3,32,20,Gold medal
Paul Valiant,United States of America,7,7,2,7,7,2,32,20,Gold medal
Ivan Petrakiev,Bulgaria,7,7,2,7,2,6,31,23,Gold medal
Lin Han,Republic of Korea,7,7,4,7,2,4,31,23,Gold medal
Young-Han Park,Republic of Korea,6,7,4,7,6,1,31,23,Gold medal
Yury Lifshits,Russian Federation,7,7,3,7,7,0,31,23,Gold medal
Jia-Ching Wang,Taiwan,7,7,2,7,7,1,31,23,Gold medal
Artsiom Kokhan,Belarus,7,7,2,4,7,3,30,28,Gold medal
Seyed Majed Taheri,Islamic Republic of Iran,7,7,1,7,7,1,30,28,Gold medal
Atsushi Ito,Japan,6,3,4,7,7,3,30,28,Gold medal
Zhenhua Qu,People's Republic of China,7,7,1,7,6,2,30,28,Gold medal
Marius Beceanu,Romania,3,7,0,6,7,7,30,28,Gold medal
Deniss Čebikins,Latvia,7,5,7,3,7,0,29,33,Gold medal
Eryk Kopczyński,Poland,7,7,7,1,4,3,29,33,Gold medal
Mehmet Bumin Yenmez,Turkey,6,7,2,7,7,0,29,33,Gold medal
Bùi Mạnh Hùng,Vietnam,7,7,0,7,7,1,29,33,Gold medal
Alexandar Popov,Bulgaria,7,1,1,7,6,6,28,37,Gold medal
Kentaro Nagao,Japan,7,7,7,4,0,3,28,37,Gold medal
László Lukács,Hungary,7,2,4,5,6,3,27,39,Silver medal
Wenbin Kong,People's Republic of China,5,7,1,7,6,1,27,39,Silver medal
Shu-Ping Yeh,Taiwan,7,0,3,7,7,3,27,39,Silver medal
Melih Onuş,Turkey,7,6,0,7,7,0,27,39,Silver medal
Phạm Tran Quan,Vietnam,7,7,4,1,7,1,27,39,Silver medal
Predrag Glišić,Yugoslavia,7,0,1,7,6,6,27,39,Silver medal
Vladimir Barzov,Bulgaria,7,2,3,7,0,7,26,45,Silver medal
Greta Panova,Bulgaria,7,3,1,7,7,1,26,45,Silver medal
Irakli Manelidze,Georgia,6,7,7,1,4,1,26,45,Silver medal
Daniel Herden,Germany,7,4,1,7,6,1,26,45,Silver medal
Gergely Zábrádi,Hungary,7,3,3,7,6,0,26,45,Silver medal
Radu Horia Mihăescu,Romania,7,7,2,3,6,1,26,45,Silver medal
Mihai Horia Tohăneanu,Romania,7,7,2,7,0,3,26,45,Silver medal
Chia-Ping Lin,Taiwan,5,7,1,7,6,0,26,45,Silver medal
Ivan Matić,Yugoslavia,7,7,2,7,3,0,26,45,Silver medal
Alexander Usnich,Belarus,7,7,2,7,0,2,25,54,Silver medal
Javad Lavaei Yanesi,Islamic Republic of Iran,7,7,1,7,0,3,25,54,Silver medal
Nikolay Penev,Bulgaria,6,3,0,7,3,5,24,56,Silver medal
Ali Shourideh,Islamic Republic of Iran,7,1,1,7,6,2,24,56,Silver medal
Zigmārs Rasščevskis,Latvia,6,7,3,1,6,1,24,56,Silver medal
Yu-Ting Liu,Taiwan,7,4,2,7,1,3,24,56,Silver medal
Melanie Wood,United States of America,7,7,1,6,2,1,24,56,Silver medal
Trần Văn Nghia,Vietnam,6,7,1,3,6,1,24,56,Silver medal
Dzmitry Badziahin,Belarus,7,6,2,7,0,1,23,62,Silver medal
Mazyar Mirrahimi,Islamic Republic of Iran,5,7,1,7,2,1,23,62,Silver medal
Mehdi Abolghasem Safa,Islamic Republic of Iran,3,3,1,7,2,7,23,62,Silver medal
