Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Sergei Konyagin,Union of Soviet Socialist Republics,6,6,8,6,6,8,40,1,Gold medal
Georgiy Egorov,Union of Soviet Socialist Republics,6,6,8,5,6,8,39,2,Gold medal
Pavel Grozman,Union of Soviet Socialist Republics,5,6,8,6,6,8,39,2,Gold medal
János Kollár,Hungary,6,6,6,6,6,8,38,4,Gold medal
David John Goto,United Kingdom,4,6,6,5,6,8,35,5,Gold medal
Adrian Ocneanu,Romania,5,6,8,6,0,8,33,6,Silver medal
Jean Christophe Yoccoz,France,6,0,8,6,6,6,32,7,Silver medal
Viktor Budaev,Union of Soviet Socialist Republics,6,6,8,6,6,0,32,7,Silver medal
Grzegorz Andrzejczak,Poland,6,6,8,5,6,0,31,9,Silver medal
Michael Steiner,Sweden,5,0,8,4,6,8,31,9,Silver medal
Michel Bonnet,France,6,1,7,5,6,5,30,11,Silver medal
Elias Wegert,German Democratic Republic,6,0,8,6,6,4,30,11,Silver medal
Péter Pál Pálfy,Hungary,6,1,8,6,6,3,30,11,Silver medal
Piotr Berman,Poland,6,6,0,4,6,8,30,11,Silver medal
Pavel Ferst,Czechoslovakia,1,6,8,1,6,7,29,15,Silver medal
Emil Kiss,Hungary,6,6,8,6,3,0,29,15,Silver medal
Albrecht Böttcher,German Democratic Republic,0,6,8,6,6,2,28,17,Silver medal
Dmitriy Leshiner,Union of Soviet Socialist Republics,6,5,5,6,6,0,28,17,Silver medal
Denis Leblond,France,0,6,4,6,6,5,27,19,Silver medal
Pawel Kröger,German Democratic Republic,6,0,1,6,6,8,27,19,Silver medal
Péter Ablonczy,Hungary,6,0,8,6,6,0,26,21,Bronze medal
Péter Prőhle,Hungary,6,6,3,5,6,0,26,21,Bronze medal
Nándor Simányi,Hungary,0,6,8,6,6,0,26,21,Bronze medal
Johan van Gans,Netherlands,0,6,0,6,6,8,26,21,Bronze medal
Valeriu Anislu,Romania,6,6,8,6,0,0,26,21,Bronze medal
Naum Golcman,Union of Soviet Socialist Republics,0,0,8,6,6,6,26,21,Bronze medal
Konstantin Yursha,Union of Soviet Socialist Republics,0,6,8,6,6,0,26,21,Bronze medal
Wojciech Banaszczyk,Poland,0,6,8,5,6,0,25,28,Bronze medal
Michael David Robert Beasley,United Kingdom,3,6,8,2,6,0,25,28,Bronze medal
Georges Skandalos,France,6,0,8,4,6,0,24,30,Bronze medal
Gerd Weißenborn,German Democratic Republic,6,6,0,6,6,0,24,30,Bronze medal
Evgeniy Hurho,Union of Soviet Socialist Republics,6,6,0,6,6,0,24,30,Bronze medal
Boris Lavrič,Yugoslavia,0,6,8,4,6,0,24,30,Bronze medal
Miroslav Kmošek,Czechoslovakia,6,0,8,3,6,0,23,34,Bronze medal
Reinhard Schuster,German Democratic Republic,6,6,0,5,6,0,23,34,Bronze medal
László Sparing,Hungary,4,6,3,4,6,0,23,34,Bronze medal
Adam Smólski,Poland,6,6,0,5,6,0,23,34,Bronze medal
Jerzy Weyman,Poland,6,6,0,5,6,0,23,34,Bronze medal
Johannes Leopold,Austria,2,6,8,6,0,0,22,39,Bronze medal
Albrecht Heß,German Democratic Republic,5,0,8,5,4,0,22,39,Bronze medal
Iulian Appel,Romania,2,6,8,5,1,0,22,39,Bronze medal
Richard James Treitel,United Kingdom,2,6,3,4,0,7,22,39,Bronze medal
Wolfgang Redtenbacher,Austria,1,6,8,6,0,0,21,43,Bronze medal
Valeri Kovachev,Bulgaria,6,6,3,0,6,0,21,43,Bronze medal
Tomáš Chrz,Czechoslovakia,3,5,8,4,1,0,21,43,Bronze medal
Pavel Kindlmann,Czechoslovakia,2,0,7,6,6,0,21,43,Bronze medal
Kari Vilonen,Finland,2,4,6,3,6,0,21,43,Bronze medal
Jürgen Roßmann,German Democratic Republic,4,0,5,6,6,0,21,43,Bronze medal
Guy Alexander Herzmark,United Kingdom,6,6,6,2,0,1,21,43,Bronze medal
Miodrag Živković,Yugoslavia,1,0,8,6,6,0,21,43,Bronze medal
Wilhelm Ottendörfer,Austria,6,0,2,6,6,0,20,51,Bronze medal
Walter Zulehner,Austria,0,0,8,6,6,0,20,51,Bronze medal
Mendsaikhan Enkhsaikhan,Mongolia,3,6,2,3,6,0,20,51,Bronze medal
Joop van den Eijnde,Netherlands,2,6,0,6,6,0,20,51,Bronze medal
Uroš Milutinović,Yugoslavia,6,0,8,4,2,0,20,51,Bronze medal
Wilfried Pascher,Austria,0,6,8,5,0,0,19,56,Bronze medal
Alexandru Buium,Romania,6,0,3,4,6,0,19,56,Bronze medal
Tor Nilsson,Sweden,6,6,0,6,1,0,19,56,Bronze medal
David James Pritchard,United Kingdom,0,6,1,6,6,0,19,56,Bronze medal
Ivan Mirković,Yugoslavia,2,0,8,5,0,4,19,56,Bronze medal
Pavle Mladenović,Yugoslavia,6,0,8,5,0,0,19,56,Bronze medal
Franz Reuman,Austria,0,5,8,4,1,0,18,62,Bronze medal
Jaromír Šimša,Czechoslovakia,0,0,8,4,6,0,18,62,Bronze medal
Juha Nummipuro,Finland,1,0,8,3,6,0,18,62,Bronze medal
Anthony James (Tony) Scholl,United Kingdom,0,0,7,6,1,4,18,62,Bronze medal
Luis Sastra Vidal,Cuba,2,6,3,0,6,0,17,66,Bronze medal
Sándor Veres,Hungary,0,0,6,5,6,0,17,66,Bronze medal
