Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Theresia Eisenkölbl,Austria,7,7,7,7,7,7,42,1,Gold medal
Mladen Dimitrov,Bulgaria,7,7,7,7,7,7,42,1,Gold medal
Iasen P. Siderov,Bulgaria,7,7,7,7,7,7,42,1,Gold medal
Philippe Golle,France,7,7,7,7,7,7,42,1,Gold medal
Ádám Szeidl,Hungary,7,7,7,7,7,7,42,1,Gold medal
Jianbo Peng,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Jiangang Yao,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Jian Zhang,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Grzegorz Bobiński,Poland,7,7,7,7,7,7,42,1,Gold medal
Tomasz Schreiber,Poland,7,7,7,7,7,7,42,1,Gold medal
Mikhail Bondarko,Russian Federation,7,7,7,7,7,7,42,1,Gold medal
Roman Karasev,Russian Federation,7,7,7,7,7,7,42,1,Gold medal
Serguei Norine,Russian Federation,7,7,7,7,7,7,42,1,Gold medal
Andrej Zlatoš,Slovakia,7,7,7,7,7,7,42,1,Gold medal
Yuliy Sannikov,Ukraine,7,7,7,7,7,7,42,1,Gold medal
Catriona Frances Maclean,United Kingdom,7,7,7,7,7,7,42,1,Gold medal
Jeremy Bem,United States of America,7,7,7,7,7,7,42,1,Gold medal
Aleksandr Khazanov,United States of America,7,7,7,7,7,7,42,1,Gold medal
Jacob Lurie,United States of America,7,7,7,7,7,7,42,1,Gold medal
Noam Shazeer,United States of America,7,7,7,7,7,7,42,1,Gold medal
Stephen Wang,United States of America,7,7,7,7,7,7,42,1,Gold medal
Jonathan Weinstein,United States of America,7,7,7,7,7,7,42,1,Gold medal
Stanislav Iordanov,Bulgaria,7,7,7,6,7,7,41,23,Gold medal
Maryam Mirzakhani,Islamic Republic of Iran,6,7,7,7,7,7,41,23,Gold medal
Maziyar Ramin Rad,Islamic Republic of Iran,7,7,6,7,7,7,41,23,Gold medal
Satoru Takahashi,Japan,7,7,7,7,6,7,41,23,Gold medal
Hài Long Đào,Vietnam,7,7,7,6,7,7,41,23,Gold medal
Edward Leung,Canada,7,7,7,7,7,5,40,28,Gold medal
Arend Bayer,Germany,7,7,7,5,7,7,40,28,Gold medal
Joseph Samuel Myers,United Kingdom,7,6,7,7,6,7,40,28,Gold medal
Marianna Csörnyei,Hungary,7,7,7,7,4,7,39,31,Silver medal
Gábor Futó,Hungary,7,7,7,7,4,7,39,31,Silver medal
Arvind Sankar,India,5,7,6,7,7,7,39,31,Silver medal
James Lefevre,Australia,7,7,7,3,7,7,38,34,Silver medal
Anna Dyubina,Russian Federation,7,7,7,7,7,3,38,34,Silver medal
Ngọc Nam Trần,Vietnam,4,7,7,7,6,7,38,34,Silver medal
Martín Avendaño,Argentina,7,7,7,2,7,7,37,37,Silver medal
William Hawkins,Australia,7,7,7,7,7,2,37,37,Silver medal
Stanislav Sobolevsky,Belarus,7,7,7,7,7,2,37,37,Silver medal
Federico Ardila Mantilla,Colombia,7,7,7,7,7,2,37,37,Silver medal
Ka Hing Tsui,Hong Kong,7,7,7,5,4,7,37,37,Silver medal
Reza Sadeghi,Islamic Republic of Iran,7,7,7,7,4,5,37,37,Silver medal
Francisc Robert Ribciuc,Romania,2,7,7,7,7,7,37,37,Silver medal
Leandro Saita,Argentina,2,7,6,7,7,7,36,44,Silver medal
Egmont Koblinger,Hungary,7,7,7,2,7,6,36,44,Silver medal
Gabriel Mititica,Romania,7,7,7,7,6,2,36,44,Silver medal
Martin Niepel,Slovakia,7,7,7,7,7,1,36,44,Silver medal
Jacob Roger Shapiro,United Kingdom,7,7,7,2,6,7,36,44,Silver medal
Luis Silvestre,Argentina,7,7,7,7,7,0,35,49,Silver medal
Nikolay Nikolov,Bulgaria,7,7,7,7,7,0,35,49,Silver medal
Juan Rivera,Chile,7,7,7,5,2,7,35,49,Silver medal
Robert Šámal,Czech Republic,0,7,7,7,7,7,35,49,Silver medal
Roya Beheshti Zavareh,Islamic Republic of Iran,4,7,7,3,7,7,35,49,Silver medal
Haidong Wang,People's Republic of China,7,7,7,7,7,0,35,49,Silver medal
Seung Chun Lee,Republic of Korea,7,7,7,7,7,0,35,49,Silver medal
Dragos Ghioca,Romania,1,7,7,7,6,7,35,49,Silver medal
Ben Joseph Green,United Kingdom,7,7,7,7,7,0,35,49,Silver medal
Borislav Deianov,Bulgaria,7,7,7,2,6,5,34,58,Silver medal
Anja Wille,Germany,7,7,7,7,6,0,34,58,Silver medal
Lev Buhovsky,Israel,7,7,6,7,0,7,34,58,Silver medal
Ting Li,People's Republic of China,7,7,7,7,6,0,34,58,Silver medal
Chenhai Xi,People's Republic of China,7,7,7,7,6,0,34,58,Silver medal
Dragos-Nicola Oprea,Romania,5,7,7,7,7,1,34,58,Silver medal
Natalia Dobrinskaia,Russian Federation,1,7,5,7,7,7,34,58,Silver medal
Chung-Chieh Shan,Taiwan,3,7,7,7,3,7,34,58,Silver medal
Duy Lan Nguyễn,Vietnam,7,7,7,6,7,0,34,58,Silver medal
Dario Monroy,Colombia,7,7,4,1,7,7,33,67,Silver medal
Benedek Párniczky,Hungary,3,7,7,7,2,7,33,67,Silver medal
Tetsuyuki Maruoka,Japan,7,7,7,7,5,0,33,67,Silver medal
Pang Siu Taur,Singapore,7,7,3,7,2,7,33,67,Silver medal
Ho-Lin Chen,Taiwan,7,7,7,2,3,7,33,67,Silver medal
Sergey Bolotenko,Ukraine,5,6,7,7,1,7,33,67,Silver medal
Quy Tuấn Nguyễn,Vietnam,6,7,6,7,7,0,33,67,Silver medal
Szabolcs Szádeczky-Kardoss,Hungary,4,7,7,7,7,0,32,74,Silver medal
Masashi Ohnawa,Japan,5,7,7,7,6,0,32,74,Silver medal
Laurent Berger,Luxembourg,0,7,7,6,5,7,32,74,Silver medal
Uuye Otgonbayar,Mongolia,7,7,6,5,0,7,32,74,Silver medal
Pablo Emanuel,Brazil,6,7,7,4,7,0,31,78,Silver medal
Reinaldo Penharrubia Fagundes,Brazil,7,7,7,1,2,7,31,78,Silver medal
Petr Kaňovský,Czech Republic,7,7,7,7,0,3,31,78,Silver medal
Daniel Goujot,France,1,7,7,3,7,6,31,78,Silver medal
Wing Yip Ho,Hong Kong,5,7,5,5,3,6,31,78,Silver medal
Subhash Ajit Khot,India,7,7,7,7,2,1,31,78,Silver medal
Sambuddha Roy,India,2,7,7,7,7,1,31,78,Silver medal
Oystein Gjerstad,Norway,4,7,7,0,6,7,31,78,Silver medal
Yu-Chang Huang,Taiwan,3,7,7,7,6,1,31,78,Silver medal
Chu Gia Vượng Nguyễn,Vietnam,0,7,6,6,5,7,31,78,Silver medal
Tilo Eilebrecht,Germany,4,4,7,5,3,7,30,88,Silver medal
Kong Hong Hoi,Macau,7,7,6,6,4,0,30,88,Silver medal
Dano Kim,Republic of Korea,2,7,7,7,7,0,30,88,Silver medal
Florin Spanu,Romania,2,7,7,6,1,7,30,88,Silver medal
Wee Hoe Teck,Singapore,1,7,7,7,6,2,30,88,Silver medal
Chun-Hsiung Hsia,Taiwan,2,7,7,1,6,7,30,88,Silver medal
Dong Vu To,Vietnam,7,7,1,7,6,2,30,88,Silver medal
Grigor Grigorov,Bulgaria,1,7,7,5,7,2,29,95,Bronze medal
Kevin Purbhoo,Canada,7,7,7,2,6,0,29,95,Bronze medal
Vincent Beffara,France,7,7,3,1,4,7,29,95,Bronze medal
