Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Vincent Lafforgue,France,7,7,7,7,7,7,42,1,Gold medal
Jianhua Wang,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Tong Zhou,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Evgenia Malinnikova,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Song Wang,People's Republic of China,7,7,6,7,7,7,41,5,Gold medal
Alexander Perlin,Union of Soviet Socialist Republics,5,7,7,7,7,7,40,6,Gold medal
Alexandr Stoyauovski,Union of Soviet Socialist Republics,5,7,7,7,7,7,40,6,Gold medal
Oliver Maxim Riordan,United Kingdom,7,7,7,7,7,5,40,6,Gold medal
Vin de Silva,United Kingdom,7,7,4,7,7,7,39,9,Gold medal
Kiran Kedlaya,United States of America,7,7,4,7,7,7,39,9,Gold medal
T. Asparuhov,Bulgaria,7,7,6,7,7,4,38,11,Gold medal
Rina Panigrahy,India,7,7,4,7,6,7,38,11,Gold medal
Carlos Gustavo T. de A. Moreira,Brazil,7,7,7,7,7,2,37,13,Gold medal
Pierre Casevitz,France,7,7,6,7,7,2,36,14,Gold medal
Sergio Conti,Italy,6,6,5,7,6,6,36,14,Gold medal
Marc Pauly,Luxembourg,7,7,4,7,7,4,36,14,Gold medal
Jialian Yu,People's Republic of China,7,7,2,7,7,6,36,14,Gold medal
Zhaohui Zhang,People's Republic of China,7,7,7,7,7,1,36,14,Gold medal
Teodor Bănică,Romania,7,7,7,7,7,1,36,14,Gold medal
Jeffrey M. Vanderkam,United States of America,7,7,4,7,7,3,35,20,Gold medal
Cedric Peschard,France,7,7,6,7,4,3,34,21,Gold medal
Gyula Lakos,Hungary,1,7,5,7,7,7,34,21,Gold medal
Florin Belgun,Romania,7,7,7,4,7,2,34,21,Gold medal
Petr Hliněný,Czechoslovakia,7,7,2,7,7,3,33,24,Silver medal
Thomas Mautsch,German Democratic Republic,7,7,2,7,7,3,33,24,Silver medal
János Csirik,Hungary,7,7,2,4,6,7,33,24,Silver medal
Chao Ku,People's Republic of China,7,7,6,7,5,1,33,24,Silver medal
Royce Peng,United States of America,1,7,7,7,7,4,33,24,Silver medal
Danny Brown,Canada,3,7,7,7,7,1,32,29,Silver medal
Sergiu Moroianu,Romania,7,7,3,7,7,1,32,29,Silver medal
Avinoam Freedman,United States of America,7,7,3,7,7,1,32,29,Silver medal
Jan Hendrik Schmidt,Germany,5,7,2,7,7,3,31,32,Silver medal
Yizhak Peer,Israel,7,6,2,7,7,2,31,32,Silver medal
Grzegorz Zwara,Poland,0,7,7,7,7,3,31,32,Silver medal
Štěpán Kasal,Czechoslovakia,7,7,1,1,7,7,30,35,Silver medal
Jan Fricke,German Democratic Republic,4,7,4,7,7,1,30,35,Silver medal
Christoph Zechner,Austria,4,3,5,3,7,7,29,37,Silver medal
Petev Dimov,Bulgaria,6,7,3,5,7,1,29,37,Silver medal
Ian Goldberg,Canada,7,3,2,7,7,3,29,37,Silver medal
József Balogh,Hungary,4,7,3,2,7,6,29,37,Silver medal
Youssef El Hajjam,Morocco,7,6,2,6,5,3,29,37,Silver medal
Michał Rams,Poland,3,7,3,7,7,2,29,37,Silver medal
Dragoş Iftimie,Romania,7,2,6,5,5,4,29,37,Silver medal
Jeffrey Grossman,Canada,7,2,2,7,7,3,28,44,Silver medal
Franck Latremoliere,France,7,7,1,7,3,3,28,44,Silver medal
Torsten Ehrhardt,German Democratic Republic,3,3,3,7,7,4,27,46,Silver medal
Yosuke Suma,Japan,4,7,2,0,7,7,27,46,Silver medal
Jan Kristian Haugland,Norway,5,7,5,1,5,4,27,46,Silver medal
Georgi Aleramov,Union of Soviet Socialist Republics,4,7,1,7,7,1,27,46,Silver medal
Timothy Adam,Australia,5,7,1,3,7,3,26,50,Silver medal
Ondrej Šuch,Czechoslovakia,3,3,3,7,7,3,26,50,Silver medal
Sang Chol Ryu,Democratic People's Republic of Korea,7,7,2,2,7,1,26,50,Silver medal
Bodo Laß,Germany,7,7,2,1,7,2,26,50,Silver medal
Behrang Noohi,Islamic Republic of Iran,4,2,3,7,7,3,26,50,Silver medal
Ali Rajaei,Islamic Republic of Iran,7,6,3,2,4,4,26,50,Silver medal
Ingrid Voigt,German Democratic Republic,1,7,2,7,7,1,25,56,Silver medal
B. Prakash,India,6,3,3,7,4,2,25,56,Silver medal
Payman L. Kassaei,Islamic Republic of Iran,7,2,3,7,3,3,25,56,Silver medal
Atsuo Yamauchi,Japan,7,7,3,7,1,0,25,56,Silver medal
Oddvar Kloster,Norway,4,4,1,7,7,2,25,56,Silver medal
Latirr Chiraz,Tunisia,7,5,3,3,3,4,25,56,Silver medal
Ivan Solovyov,Union of Soviet Socialist Republics,3,3,2,7,7,3,25,56,Silver medal
Michal Konečný,Czechoslovakia,0,7,0,7,7,3,24,63,Silver medal
Pavol Severa,Czechoslovakia,0,7,2,7,7,1,24,63,Silver medal
Tamás Hausel,Hungary,7,7,4,2,3,1,24,63,Silver medal
Arash Rastegar,Islamic Republic of Iran,5,2,7,3,3,4,24,63,Silver medal
Ronald de Man,Netherlands,0,7,2,7,7,1,24,63,Silver medal
Morten Kloster,Norway,4,7,1,3,5,4,24,63,Silver medal
Myung Kwang Byun,Republic of Korea,7,4,0,7,4,2,24,63,Silver medal
Xuân Du Phạm,Vietnam,7,6,3,1,6,1,24,63,Silver medal
Brian Weatherson,Australia,2,7,3,2,7,2,23,71,Silver medal
Plamen Koev,Bulgaria,3,3,7,1,7,2,23,71,Silver medal
Georgi Shivkov Nedev,Bulgaria,6,7,1,1,7,1,23,71,Silver medal
Emanuil Todorov,Bulgaria,7,7,2,2,4,1,23,71,Silver medal
Juan Camilo Gomez,Colombia,7,7,1,1,7,0,23,71,Silver medal
Alessandro D'Andrea,Italy,0,7,4,2,7,3,23,71,Silver medal
Peter Grenholm,Sweden,0,7,2,7,7,0,23,71,Silver medal
Joel Rosenberg,United States of America,0,7,1,7,7,1,23,71,Silver medal
Miroslav Šilović,Yugoslavia,1,7,0,7,7,1,23,71,Silver medal
Matthias Langer,Austria,7,4,1,3,7,0,22,80,Bronze medal
In Chel Kim,Democratic People's Republic of Korea,3,7,2,3,5,2,22,80,Bronze medal
Gyong Sik Li,Democratic People's Republic of Korea,7,7,1,1,2,4,22,80,Bronze medal
Astrid Mirle,German Democratic Republic,5,7,2,3,4,1,22,80,Bronze medal
Chi Hin Lau,Hong Kong,7,7,4,1,3,0,22,80,Bronze medal
Attila Kondacs,Hungary,7,3,3,2,6,1,22,80,Bronze medal
Roberto Avanzi,Italy,2,7,3,3,3,4,22,80,Bronze medal
Osamu Iyama,Japan,0,7,0,7,7,1,22,80,Bronze medal
Pascal Zeihen,Luxembourg,7,3,4,1,6,1,22,80,Bronze medal
Marius Crainic,Romania,7,7,1,4,2,1,22,80,Bronze medal
Diego Jara,Colombia,1,5,0,7,7,1,21,90,Bronze medal
Carlos Thompson,Colombia,1,2,2,7,6,3,21,90,Bronze medal
Rüdiger Belch,German Democratic Republic,2,2,1,7,7,2,21,90,Bronze medal
Thomas Gleim,Germany,1,7,3,2,7,1,21,90,Bronze medal
Jan Kneißler,Germany,0,7,2,3,6,3,21,90,Bronze medal
Markus Oswald,Germany,0,7,2,2,7,3,21,90,Bronze medal
Angelo Di Pasquale,Australia,2,3,2,4,7,2,20,96,Bronze medal
Bernhard Klinger,Austria,0,7,3,3,7,0,20,96,Bronze medal
Marco Antonio Meggiolaro,Brazil,4,3,2,1,7,3,20,96,Bronze medal
Etsuko Amano,Canada,7,1,1,1,6,4,20,96,Bronze medal
Gergely Harcos,Hungary,7,3,1,2,7,0,20,96,Bronze medal
Frosti Pétursson,Iceland,0,7,2,7,4,0,20,96,Bronze medal
Moses Samson Charikar,India,2,7,1,7,2,1,20,96,Bronze medal
Timothy Sturge,New Zealand,1,6,1,3,7,2,20,96,Bronze medal
Paisan Nakmahachalasint,Thailand,5,0,5,7,2,1,20,96,Bronze medal
Igor Dolinka,Yugoslavia,5,7,1,1,5,1,20,96,Bronze medal
Giorgos Zacharia,Cyprus,7,3,1,2,3,3,19,106,Bronze medal
Kin-Wah Chan,Hong Kong,1,7,1,2,7,1,19,106,Bronze medal
