Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Karl Grill,Austria,6,6,7,6,7,8,40,1,Gold medal
Grigorii Rybnikov,Union of Soviet Socialist Republics,6,6,7,6,7,8,40,1,Gold medal
John Rickard,United Kingdom,6,6,7,6,7,8,40,1,"Gold medal, Special prize (2)"
Randall Dougherty,United States of America,6,6,7,6,7,8,40,1,Gold medal
Michael Larsen,United States of America,6,6,7,6,7,8,40,1,Gold medal
Hans Mulder,Netherlands,6,6,7,6,6,8,39,6,Gold medal
Jürgen Rathmann,Germany,,,,,,,36,7,Gold medal
Jerzy Grzybowski,Poland,,,,,,,36,7,Gold medal
Raphael Douady,France,,,,,,,35,9,Gold medal
Lutz Gärtner,German Democratic Republic,,,,,,,34,10,Gold medal
Michael Marczinek,German Democratic Republic,,,,,,,34,10,Gold medal
Zoltán Magyar,Hungary,,,,,,,34,10,Gold medal
Johan Håstad,Sweden,6,6,6,6,6,4,34,10,Gold medal
Jiří Navrátil,Czechoslovakia,6,0,7,6,6,8,33,14,Silver medal
Ákos Seress,Hungary,,,,,,,33,14,Silver medal
Marc van Leeuwen,Netherlands,6,6,3,6,4,8,33,14,Silver medal
István Knébel,Hungary,,,,,,,31,17,Silver medal
Viktor Galperin,Union of Soviet Socialist Republics,,,,,,,31,17,"Silver medal, Special prize"
Nikolaj Bujukliev,Bulgaria,,,,,,,30,19,Silver medal
Peter Shor,United States of America,,,,,,,30,19,Silver medal
Amer Bešlagić,Yugoslavia,,,,,,,30,19,Silver medal
Plamen Dimitrov Stefanov,Bulgaria,,,,,,,29,22,"Silver medal, Special prize"
Géza Homonnay,Hungary,,,,,,,29,22,Silver medal
Richard Ewen Borcherds,United Kingdom,,,,,,,29,22,Silver medal
Zdeněk Kalousek,Czechoslovakia,6,6,6,0,7,3,28,25,Silver medal
Philip Edward Gibbs,United Kingdom,,,,,,,28,25,Silver medal
Borislav Lazarov,Bulgaria,,,,,,,27,27,Silver medal
Gheorghe Silberberg,Romania,,,,,,,27,27,Silver medal
Pavol Quittner,Czechoslovakia,6,4,0,1,7,8,26,29,Silver medal
Bernd Mulansky,German Democratic Republic,,,,,,,26,29,Silver medal
Berthold Krüger,Germany,,,,,,,26,29,Silver medal
Rinus Spit,Netherlands,0,6,6,6,0,8,26,29,Silver medal
Mark Kleiman,United States of America,,,,,,,26,29,Silver medal
Victor Milenkovic,United States of America,,,,,,,26,29,Silver medal
Andrew Buchanan,United Kingdom,,,,,,,25,35,Silver medal
Dieter Aschauer,Austria,6,2,6,0,7,3,24,36,Silver medal
Adam Parusiński,Poland,,,,,,,24,36,Silver medal
Jan Wehr,Poland,,,,,,,24,36,Silver medal
Gösta Hesslow,Sweden,6,3,7,3,1,4,24,36,Silver medal
Amiran Ambroladze,Union of Soviet Socialist Republics,,,,,,,24,36,Silver medal
Gorazd Cvetič,Yugoslavia,,,,,,,24,36,Silver medal
Kostadin Trenčevski,Yugoslavia,,,,,,,24,36,Silver medal
Iván József Balázs,Hungary,,,,,,,23,43,Bronze medal
Andrei Auzins,Union of Soviet Socialist Republics,,,,,,,23,43,Bronze medal
