Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Nikolay Nikolov,Bulgaria,7,7,7,7,7,7,42,1,"Gold medal, Special prize"
Mihály Bárász,Hungary,7,7,7,7,7,7,42,1,Gold medal
Péter Burcsi,Hungary,7,7,7,7,7,7,42,1,Gold medal
Egmont Koblinger,Hungary,7,7,7,7,7,7,42,1,Gold medal
Maryam Mirzakhani,Islamic Republic of Iran,7,7,7,7,7,7,42,1,Gold medal
Cheng Chang,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Song Liu,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Chenchang Zhu,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Sug Woo Shin,Republic of Korea,7,7,7,7,7,7,42,1,Gold medal
Ciprian Manolescu,Romania,7,7,7,7,7,7,42,1,Gold medal
Dragos-Nicola Oprea,Romania,7,7,7,7,7,7,42,1,Gold medal
Ovidiu Savin,Romania,7,7,7,7,7,7,42,1,Gold medal
Serguei Norine,Russian Federation,7,7,7,7,7,7,42,1,Gold medal
Ngô Đắc Tuấn,Vietnam,7,7,7,7,7,7,42,1,Gold medal
Tetsuyuki Maruoka,Japan,7,7,7,6,7,7,41,15,Gold medal
Yuliy Sannikov,Ukraine,7,6,7,7,7,7,41,15,Gold medal
Lev Buhovsky,Israel,7,7,5,7,7,7,40,17,Gold medal
Hài Long Đào,Vietnam,7,7,7,7,7,5,40,17,Gold medal
Mikhail Ostrovski,Russian Federation,7,7,7,7,7,4,39,19,Gold medal
Haidong Wang,People's Republic of China,7,7,7,3,7,7,38,20,Gold medal
Constantin Chiscanu,Romania,7,7,7,7,7,3,38,20,Gold medal
Dmitri Zaporojets,Russian Federation,7,7,7,7,7,3,38,20,Gold medal
Artur Ávila Cordeiro de Melo,Brazil,7,7,7,7,7,2,37,23,Gold medal
Emmanuel Breuillard,France,7,2,7,7,7,7,37,23,Gold medal
Gunther Vogel,Germany,7,7,7,7,7,2,37,23,Gold medal
Reza Sadeghi,Islamic Republic of Iran,7,7,7,7,7,2,37,23,Gold medal
Kyo Min Jeong,Republic of Korea,7,7,7,7,7,2,37,23,Gold medal
Dmitri Tchelkak,Russian Federation,7,7,7,7,7,2,37,23,Gold medal
Edward Thomas Crane,United Kingdom,7,7,7,7,5,4,37,23,Gold medal
Joseph Samuel Myers,United Kingdom,7,7,7,7,2,7,37,23,Gold medal
Wing Yip Ho,Hong Kong,7,7,7,7,7,1,36,31,Silver medal
Mohammad Javaheri,Islamic Republic of Iran,7,7,7,7,7,1,36,31,Silver medal
Yizhou Lin,People's Republic of China,7,7,7,5,7,3,36,31,Silver medal
Yijun Yao,People's Republic of China,7,7,5,7,7,3,36,31,Silver medal
Ilia Katsev,Russian Federation,7,7,7,7,7,1,36,31,Silver medal
Detelin Dossev,Bulgaria,7,7,7,7,7,0,35,36,Silver medal
Grigor Grigorov,Bulgaria,7,7,7,7,2,5,35,36,Silver medal
Cyrus Hsia Chen,Canada,7,7,7,7,7,0,35,36,Silver medal
Bertram Felgenhauer,Germany,7,7,7,5,7,2,35,36,Silver medal
Hossein Zivari Piran,Islamic Republic of Iran,7,7,6,7,7,1,35,36,Silver medal
Lev Radzivilovsky,Israel,7,7,7,7,7,0,35,36,Silver medal
Satoru Takahashi,Japan,7,0,7,7,7,7,35,36,Silver medal
Rafał Łochowski,Poland,7,7,2,7,7,5,35,36,Silver medal
Adrian Corduneanu,Romania,7,7,7,7,7,0,35,36,Silver medal
Veronika Essaoulova,Russian Federation,7,7,7,7,7,0,35,36,Silver medal
Martin Pál,Slovakia,7,2,6,6,7,7,35,36,Silver medal
Markus Muller,Switzerland,7,1,7,7,7,6,35,36,Silver medal
Ho-Lin Chen,Taiwan,7,7,5,7,7,2,35,36,Silver medal
Ben Joseph Green,United Kingdom,7,3,7,7,7,4,35,36,Silver medal
Joshua Nichols-Barrer,United States of America,7,0,7,7,7,7,35,36,Silver medal
Phạm Quang Tuấn,Vietnam,7,7,7,7,7,0,35,36,Silver medal
Nguyễn Thế Phương,Vietnam,7,7,7,7,7,0,35,36,Silver medal
