Contestant,Country,P1,P2,P3,P4,P5,P6,P7,Total,Rank,Award
Ivan Korec,Czechoslovakia,,,,,,,,43,1,Gold medal
Ferenc Mezei,Hungary,,,,,,,,43,1,Gold medal
Béla Bollobás,Hungary,,,,,,,,41,3,Gold medal
Cezar Gheorghe,Romania,,,,,,,,41,3,Gold medal
Nicolae Popa,Romania,,,,,,,,39,5,Silver medal
György Muszély,Hungary,,,,,,,,38,6,Silver medal
Jiří Souček,Czechoslovakia,,,,,,,,37,7,Silver medal
József Fritz,Hungary,,,,,,,,37,7,Silver medal
Petr Petrov,Bulgaria,8,6,6,5,5,1,4,35,9,Bronze medal
Petr Tomšů,Czechoslovakia,,,,,,,,34,10,Bronze medal
Şerban Strătilă,Romania,,,,,,,,34,10,Bronze medal
Jan Veselý,Czechoslovakia,,,,,,,,33,12,Bronze medal
Ladislav Baran,Czechoslovakia,,,,,,,,32,13,Honourable mention
Pavel Nosek,Czechoslovakia,,,,,,,,32,13,Honourable mention
Todor Bojanov,Bulgaria,6,1,0,5,7,7,5,31,15,Honourable mention
Basarab Nicolescu,Romania,,,,,,,,30,16,Honourable mention
Panaiot Vlaev,Bulgaria,2,5,6,5,0,6,5,29,17,Honourable mention
János Komlós,Hungary,,,,,,,,29,17,Honourable mention
Stamen Chakrov,Bulgaria,8,6,0,4,4,1,5,28,19,
?,Romania,,,,,,,,28,19,
?,Romania,,,,,,,,27,21,
?,Romania,,,,,,,,26,22,
?,Czechoslovakia,,,,,,,,24,23,
?,Romania,,,,,,,,23,24,
Nikola Arbov,Bulgaria,8,2,0,5,1,1,5,22,25,
?,Czechoslovakia,,,,,,,,22,25,
András Gagyi Pálffy,Hungary,,,,,,,,21,27,
György Grűner,Hungary,,,,,,,,21,27,
János Hahn,Hungary,,,,,,,,18,29,
Klaus Walter,German Democratic Republic,,,,,,,,16,30,Honourable mention
Krasimir Trkalanov,Bulgaria,6,0,0,5,0,1,2,14,31,
Breizitsa Popova,Bulgaria,0,3,0,5,0,0,2,10,32,
*,German Democratic Republic,,,,,,,,10,32,
Georgi Demirev,Bulgaria,0,3,0,2,1,0,0,6,34,
*,German Democratic Republic,,,,,,,,6,34,
*,German Democratic Republic,,,,,,,,4,36,
*,German Democratic Republic,,,,,,,,2,37,
*,German Democratic Republic,0,0,0,0,0,0,0,0,38,
*,German Democratic Republic,0,0,0,0,0,0,0,0,38,
