Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Konstantin Matveev,Russian Federation,7,7,2,7,7,7,37,1,Gold medal
Peter Scholze,Germany,7,7,1,7,7,7,36,2,Gold medal
Caili Shen,People's Republic of China,7,7,7,7,7,1,36,2,Gold medal
Pietro Vertechi,Italy,7,7,0,7,7,7,35,4,Gold medal
Danylo Radchenko,Ukraine,7,7,0,7,7,7,35,4,Gold medal
Maria Ilyukhina,Russian Federation,7,7,5,7,7,1,34,6,Gold medal
Toshiki Kataoka,Japan,7,7,3,7,7,1,32,7,Gold medal
Whan Ghang,Republic of Korea,7,7,4,7,7,0,32,7,Gold medal
Livia Alexandra Ilie,Romania,7,7,4,7,7,0,32,7,Gold medal
Sherry Gong,United States of America,7,7,3,7,7,1,32,7,Gold medal
Alex (Lin) Zhai,United States of America,7,7,3,7,7,1,32,7,Gold medal
Deyan Stanislavov Simeonov,Bulgaria,7,7,2,7,7,1,31,12,Gold medal
Jeha Yang,Republic of Korea,7,7,2,7,7,1,31,12,Gold medal
Alexey Esin,Russian Federation,7,7,2,7,7,1,31,12,Gold medal
Panupong Pasupat,Thailand,7,7,3,7,7,0,31,12,Gold medal
Cafer Tayyar Yıldırım,Turkey,7,7,3,7,7,0,31,12,Gold medal
Jack Shotton,United Kingdom,7,7,2,7,7,1,31,12,Gold medal
Bách Đỗ Xuân,Vietnam,7,7,3,7,7,0,31,12,Gold medal
Nikolay Ivanov Beluhov,Bulgaria,7,7,2,7,7,0,30,19,Gold medal
Seyedhesam Firouzi,Islamic Republic of Iran,7,7,2,7,6,1,30,19,Gold medal
Makoto Soejima,Japan,7,7,1,7,7,1,30,19,Gold medal
Lei Fu,People's Republic of China,7,7,2,7,7,0,30,19,Gold medal
Xuan Wang,People's Republic of China,7,7,1,7,7,1,30,19,Gold medal
Ben Yang,People's Republic of China,7,7,1,7,7,1,30,19,Gold medal
Przemysław Mazur,Poland,7,7,1,7,7,1,30,19,Gold medal
Mladen Radojević,Serbia,3,6,7,7,7,0,30,19,Gold medal
Thái Phạm Thành,Vietnam,7,7,2,7,7,0,30,19,Gold medal
Artsiom Mitskevich,Belarus,7,7,0,7,7,1,29,28,Gold medal
An Sung Chol,Democratic People's Republic of Korea,7,7,1,7,7,0,29,28,Gold medal
Benjamin Scellier,France,7,7,0,7,7,1,29,28,Gold medal
Rati Gelashvili,Georgia,7,7,1,7,7,0,29,28,Gold medal
Kęstutis Česnavičius,Lithuania,7,7,0,7,7,1,29,28,Gold medal
Sergey Drozdov,Russian Federation,7,7,1,7,7,0,29,28,Gold medal
Ivan Mitrofanov,Russian Federation,7,7,1,7,7,0,29,28,Gold medal
Pao-Yu Chien,Taiwan,7,7,1,7,7,0,29,28,Gold medal
Kuan-Chieh Liao,Taiwan,6,7,1,7,7,1,29,28,Gold medal
Volodymyr Medvid,Ukraine,7,7,1,7,7,0,29,28,Gold medal
Pavlo Mishchenko,Ukraine,7,7,1,7,7,0,29,28,Gold medal
Tùng Phạm Duy,Vietnam,7,7,1,7,7,0,29,28,Gold medal
Matthew Cedric Menzies,Australia,7,7,0,7,7,0,28,40,Silver medal
Kang Chung Hyok,Democratic People's Republic of Korea,7,7,0,7,7,0,28,40,Silver medal
Kim Jin Hyok,Democratic People's Republic of Korea,7,7,0,7,7,0,28,40,Silver medal
An Ok Song,Democratic People's Republic of Korea,7,7,0,6,7,1,28,40,Silver medal
Cho Ho Lam,Hong Kong,7,7,0,7,7,0,28,40,Silver medal
Chiu Wai Wong,Hong Kong,7,7,0,7,7,0,28,40,Silver medal
Mohammad Reza Takapoui,Islamic Republic of Iran,7,7,0,7,7,0,28,40,Silver medal
Jørgen Vold Rennemo,Norway,7,7,0,7,7,0,28,40,Silver medal
Tengyu Ma,People's Republic of China,5,7,3,6,7,0,28,40,Silver medal
Soo Hong Lee,Republic of Korea,7,7,0,7,7,0,28,40,Silver medal
Lucian-Gabriel Țurea,Romania,7,7,0,7,7,0,28,40,Silver medal
Yi-Wei Chan,Taiwan,7,7,0,7,7,0,28,40,Silver medal
Brian Lawrence,United States of America,6,7,0,7,7,1,28,40,Silver medal
Sơn Lê Ngọc,Vietnam,6,7,1,7,7,0,28,40,Silver medal
Chương Nguyễn Xuân,Vietnam,7,7,2,6,6,0,28,40,Silver medal
Sin Kum Song,Democratic People's Republic of Korea,7,7,0,6,7,0,27,55,Silver medal
Dániel Korándi,Hungary,7,0,6,7,7,0,27,55,Silver medal
Raymond Christopher,Indonesia,6,7,0,7,7,0,27,55,Silver medal
Han Hu,People's Republic of China,3,7,3,7,7,0,27,55,Silver medal
Jeong Soo Sim,Republic of Korea,7,6,0,7,7,0,27,55,Silver medal
Gergő Gyenizse,Hungary,7,6,4,7,2,0,26,60,Silver medal
Shayan Dashmiz,Islamic Republic of Iran,3,7,0,7,7,2,26,60,Silver medal
Norifumi Seki,Japan,7,7,0,7,5,0,26,60,Silver medal
Seok Hyeong Lee,Republic of Korea,7,7,3,7,1,1,26,60,Silver medal
Iurie Boreico,Republic of Moldova,5,0,0,7,7,7,26,60,Silver medal
Yimin Ge,Austria,7,3,0,7,7,1,25,65,Silver medal
Daniel Chen Soncco Huarsaya,Peru,7,7,0,6,5,0,25,65,Silver medal
Viktor Bogdanskyy,Ukraine,3,7,1,7,7,0,25,65,Silver medal
Tigran Sloyan,Armenia,3,7,0,7,7,0,24,68,Silver medal
