Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Lisa Sauermann,Germany,7,7,7,7,7,7,42,1,Gold medal
Jeck Lim,Singapore,7,5,7,7,7,7,40,2,Gold medal
Lin Chen,People's Republic of China,7,3,7,7,7,7,38,3,Gold medal
Jun Jie Joseph Kuan,Singapore,7,7,7,7,7,1,36,4,Gold medal
David Yang,United States of America,7,7,7,7,7,1,36,4,Gold medal
Kensuke Yoshida,Japan,7,6,7,7,7,1,35,6,Gold medal
Raúl Arturo Chávez Sarmiento,Peru,7,7,7,7,7,0,35,6,Gold medal
Jie Jun Ang,Singapore,7,7,7,7,7,0,35,6,Gold medal
Nipun Pitimanaaree,Thailand,7,7,7,7,7,0,35,6,Gold medal
Tianyou Zhou,People's Republic of China,7,6,7,7,7,0,34,10,Gold medal
Mehmet Sönmez,Turkey,7,1,7,7,7,5,34,10,Gold medal
Ufuk Kanat,Turkey,7,1,6,7,7,5,33,12,Gold medal
Jaewon Chang,Republic of Korea,7,2,7,7,7,2,32,13,Gold medal
Georgios Vlachos,Greece,7,7,2,7,7,0,30,14,Gold medal
Mina Dalirrooyfard,Islamic Republic of Iran,7,0,2,7,7,7,30,14,Gold medal
Andrea Bianchi,Italy,7,6,3,7,7,0,30,14,Gold medal
Zichao Long,People's Republic of China,7,1,7,7,7,1,30,14,Gold medal
Bowen Yao,People's Republic of China,7,1,7,7,7,1,30,14,Gold medal
Sung Gi Park,Republic of Korea,7,1,7,7,7,1,30,14,Gold medal
Mikhail Grigorev,Russian Federation,7,1,7,7,7,1,30,14,Gold medal
Teodor von Burg,Serbia,7,7,2,7,7,0,30,14,Gold medal
Benjamin Gunby,United States of America,7,2,7,7,7,0,30,14,Gold medal
Xiaoyu He,United States of America,7,1,7,7,7,1,30,14,Gold medal
Evan O'Dorney,United States of America,7,7,0,7,7,2,30,14,Gold medal
Zhuo Qun (Alex) Song,Canada,7,1,7,7,7,0,29,25,Gold medal
Hak Myong Mun,Democratic People's Republic of Korea,7,1,7,7,7,0,29,25,Gold medal
