Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Wolfgang Burmeister,German Democratic Republic,5,7,8,6,6,8,40,1,"Gold medal, Special prize"
Imre Ruzsa,Hungary,5,7,8,6,6,8,40,1,Gold medal
Andrei Hodulev,Union of Soviet Socialist Republics,5,7,8,6,6,8,40,1,Gold medal
Ervin Bajmóczi,Hungary,,,,,,,39,4,Gold medal
Arkadiy Klimov,Union of Soviet Socialist Republics,,,,,,,39,4,Gold medal
Bernard Silverman,United Kingdom,5,7,8,5,6,8,39,4,Gold medal
István Gönczi,Hungary,,,,,,,37,7,Gold medal
Aleksei Aleksandrov,Union of Soviet Socialist Republics,,,,,,,35,8,Silver medal
*,Romania,,,,,,,34,9,Silver medal
Vladimir Janković,Yugoslavia,5,7,8,6,6,2,34,9,Silver medal
Zoltán Füredi,Hungary,,,,,,,32,11,Silver medal
Hervé Pépin,France,,,,,,,31,12,Silver medal
*,German Democratic Republic,,,,,,,31,12,Silver medal
*,Romania,,,,,,,31,12,Silver medal
Lazar Milin,Yugoslavia,5,6,0,6,6,8,31,12,Silver medal
Branislav Sazdović,Yugoslavia,5,6,0,6,6,8,31,12,Silver medal
*,German Democratic Republic,,,,,,,30,17,Silver medal
*,Romania,,,,,,,30,17,Silver medal
*,German Democratic Republic,,,,,,,28,19,"Bronze medal, Special prize"
Ninoslav Ćirić,Yugoslavia,5,7,4,5,6,1,28,19,Bronze medal
Damir Henč,Yugoslavia,1,6,2,6,6,7,28,19,Bronze medal
*,German Democratic Republic,,,,,,,27,22,Bronze medal
*,German Democratic Republic,,,,,,,27,22,Bronze medal
Sergei Semenkov,Union of Soviet Socialist Republics,,,,,,,27,22,Bronze medal
Mirko Janc,Yugoslavia,5,7,0,6,2,7,27,22,Bronze medal
Sten Salomonson,Sweden,,,,,,,26,26,Bronze medal
László Lempert,Hungary,,,,,,,25,27,Bronze medal
*,Romania,,,,,,,25,27,Bronze medal
*,Romania,,,,,,,25,27,Bronze medal
Milen Dimchev,Bulgaria,,,,,,,24,30,Bronze medal
Stepan Terzijan,Bulgaria,,,,,,,24,30,Bronze medal
*,France,,,,,,,24,30,Bronze medal
*,France,,,,,,,24,30,Bronze medal
László Kóczy,Hungary,,,,,,,24,30,Bronze medal
Velo Altlies,Union of Soviet Socialist Republics,,,,,,,24,30,Bronze medal
Aleksander Korlyukov,Union of Soviet Socialist Republics,,,,,,,24,30,Bronze medal
Jiří Tůma,Czechoslovakia,5,7,0,5,6,0,23,37,Bronze medal
?,Mongolia,,,,,,,23,37,Bronze medal
*,Romania,,,,,,,23,37,Bronze medal
John Proctor,United Kingdom,5,7,0,5,6,0,23,37,Bronze medal
Štefan Sakáloš,Czechoslovakia,5,7,0,4,6,0,22,41,Bronze medal
*,German Democratic Republic,,,,,,,22,41,Bronze medal
*,Romania,,,,,,,22,41,Bronze medal
Ilija Kalderov,Bulgaria,,,,,,,21,44,Bronze medal
Helena Husová,Czechoslovakia,1,7,0,4,4,5,21,44,Bronze medal
Piet Eygenraam,Netherlands,,,,,,,21,44,Bronze medal
Christian Gottlieb,Sweden,,,,,,,21,44,Bronze medal
*,United Kingdom,5,4,0,6,6,0,21,44,Bronze medal
*,United Kingdom,5,7,0,6,1,2,21,44,Bronze medal
*,United Kingdom,1,7,0,5,0,8,21,44,Bronze medal
Johann Hackl,Austria,5,6,0,6,3,0,20,51,Bronze medal
Rudolf Švarc,Czechoslovakia,5,7,0,6,2,0,20,51,Bronze medal
Péter Borzsák,Hungary,,,,,,,20,51,Bronze medal
*,United Kingdom,5,7,0,2,6,0,20,51,Bronze medal
*,France,,,,,,,19,55,Bronze medal
*,France,,,,,,,19,55,Bronze medal
Marek Zakrzewski,Poland,,,,,,,19,55,Bronze medal
*,United Kingdom,0,7,6,4,1,1,19,55,Bronze medal
*,Bulgaria,,,,,,,18,59,
*,Bulgaria,,,,,,,18,59,
*,Bulgaria,,,,,,,18,59,
Anton Černý,Czechoslovakia,5,7,0,6,0,0,18,59,Special prize
Miroslav Hradil,Czechoslovakia,0,7,0,5,6,0,18,59,
?,Romania,,,,,,,18,59,
*,Sweden,,,,,,,18,59,
Wolfgang Matej,Austria,1,7,0,6,3,0,17,66,
*,Union of Soviet Socialist Republics,,,,,,,17,66,
Angelika Rindler,Austria,5,3,0,5,3,0,16,68,
