Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Andreas Binder,Austria,7,7,7,7,7,7,42,1,Gold medal
Harald Skarke,Austria,7,7,7,7,7,7,42,1,Gold medal
Nicolau Corçao Saldanha,Brazil,7,7,7,7,7,7,42,1,Gold medal
Georgi Iordanov Vodev,Bulgaria,7,7,7,7,7,7,42,1,Gold medal
David Ash,Canada,7,7,7,7,7,7,42,1,Gold medal
Georges Gonthier,Canada,7,7,7,7,7,7,42,1,Gold medal
Jan Nekovář,Czechoslovakia,7,7,7,7,7,7,42,1,Gold medal
Jean-François Bertin,France,7,7,7,7,7,7,42,1,Gold medal
Pierre Lavaurs,France,7,7,7,7,7,7,42,1,Gold medal
Hartmut Maennel,Germany,7,7,7,7,7,7,42,1,Gold medal
Martin Neschen,Germany,7,7,7,7,7,7,42,1,Gold medal
Günter M. Ziegler,Germany,7,7,7,7,7,7,42,1,Gold medal
Gábor Simonyi,Hungary,7,7,7,7,7,7,42,1,Gold medal
Yossi Azar,Israel,7,7,7,7,7,7,42,1,Gold medal
Michel Dauphin,Luxembourg,7,7,7,7,7,7,42,1,Gold medal
Jarosław Wróblewski,Poland,7,7,7,7,7,7,42,1,Gold medal
Valery Alexeev,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Yuri Chekanov,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Mikhail Grinchuk,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Mark David Bennet,United Kingdom,7,7,7,7,7,7,42,1,Gold medal
William Timothy (Tim) Gowers,United Kingdom,7,7,7,7,7,7,42,1,Gold medal
Noam Elkies,United States of America,7,7,7,7,7,7,42,1,Gold medal
Benji Fisher,United States of America,7,7,7,7,7,7,42,1,Gold medal
Brian Hunt,United States of America,7,7,7,7,7,7,42,1,Gold medal
Jeremy Primer,United States of America,7,7,7,7,7,7,42,1,Gold medal
Mladen Despić,Yugoslavia,7,7,7,7,7,7,42,1,Gold medal
Martin Goldstern,Austria,7,7,6,7,7,7,41,27,Gold medal
Günter Pollak,Austria,7,7,6,7,7,7,41,27,Gold medal
Todor Petkov Mitev,Bulgaria,,,,,,,41,27,Gold medal
Taneli Huuskonen,Finland,,,,,,,41,27,Gold medal
Ortwin Gasper,Germany,,,,,,,41,27,Gold medal
Bernhard Raaf,Germany,,,,,,,41,27,Gold medal
Gyula Károlyi,Hungary,,,,,,,41,27,Gold medal
Endre Szabó,Hungary,,,,,,,41,27,Gold medal
Tomasz Hrycak,Poland,,,,,,,41,27,Gold medal
Jeremy Charles Rickard,United Kingdom,,,,,,,41,27,Gold medal
Krasimir Georgiev Ianakiev,Bulgaria,,,,,,,40,37,Silver medal
Igor Kříž,Czechoslovakia,7,7,7,6,6,7,40,37,Silver medal
Gábor Tardos,Hungary,,,,,,,40,37,Silver medal
Martin Kreuzer,Germany,,,,,,,39,40,Silver medal
Gregg Patruno,United States of America,,,,,,,39,40,Silver medal
Richard Stong,United States of America,,,,,,,39,40,Silver medal
Bernard Steenis,Belgium,,,,,,,38,43,Silver medal
Jozef Bednárik,Czechoslovakia,7,7,7,7,3,7,38,43,Silver medal
Petr Couf,Czechoslovakia,7,7,3,7,7,7,38,43,Silver medal
Eero Saksman,Finland,,,,,,,38,43,Silver medal
Johan Råde,Sweden,,,,,,,38,43,Silver medal
Peter Benedict Kronheimer,United Kingdom,,,,,,,38,43,Silver medal
Stephen John Montgomery-Smith,United Kingdom,,,,,,,38,43,Silver medal
Josef Schicho,Austria,7,7,2,7,7,7,37,50,Silver medal
Ivan Deman,Belgium,,,,,,,37,50,Silver medal
Emil Milanov Kolev,Bulgaria,,,,,,,37,50,Silver medal
Charles S. Timar,Canada,7,6,5,6,6,7,37,50,Silver medal
Bernhard Leeb,Germany,,,,,,,37,50,Silver medal
Tonny Hurkens,Netherlands,7,7,2,7,7,7,37,50,Silver medal
Imre Bennett Leader,United Kingdom,,,,,,,37,50,Silver medal
Nina Ležaić,Yugoslavia,,,,,,,37,50,Silver medal
Heinz Roitner,Austria,7,7,1,7,7,7,36,58,Silver medal
Daan Krammer,Netherlands,1,7,7,7,7,7,36,58,Silver medal
Paul van der Wagt,Netherlands,6,7,5,4,7,7,36,58,Silver medal
Roman Kapuściński,Poland,,,,,,,36,58,Silver medal
*,Romania,,,,,,,36,58,Silver medal
Yuri Ekishev,Union of Soviet Socialist Republics,,,,,,,36,58,Silver medal
Ian Robert Hart Jackson,United Kingdom,,,,,,,36,58,Silver medal
John Chew,Canada,7,7,2,6,6,7,35,65,Silver medal
Witold Biedrzycki,Poland,,,,,,,35,65,Silver medal
Jarosław Świątek,Poland,,,,,,,35,65,Silver medal
*,Romania,,,,,,,35,65,Silver medal
Airat Chanyshev,Union of Soviet Socialist Republics,,,,,,,35,65,Silver medal
James Roche,United States of America,,,,,,,35,65,Silver medal
Nikola Miljković,Yugoslavia,,,,,,,35,65,Silver medal
Alexander Nenov Ivanov,Bulgaria,,,,,,,34,72,Silver medal
Jose I. Ariza,Cuba,,,,,,,34,72,Silver medal
Emilia Grigorova Ivanova,Bulgaria,,,,,,,33,74,Bronze medal
Heikki Tuuri,Finland,,,,,,,33,74,Bronze medal
*,Romania,,,,,,,33,74,Bronze medal
Andrei Aralkin,Union of Soviet Socialist Republics,,,,,,,33,74,Bronze medal
David Yuen,United States of America,,,,,,,33,74,Bronze medal
Miroslav Tsanov Iotov,Bulgaria,,,,,,,32,79,Bronze medal
Jiří Sgall,Czechoslovakia,0,7,7,7,5,6,32,79,Bronze medal
Dan Abramovich,Israel,,,,,,,32,79,Bronze medal
*,Romania,,,,,,,32,79,Bronze medal
Hans-Olof Kuylenstierna,Sweden,,,,,,,32,79,Bronze medal
Anders Rantzer,Sweden,,,,,,,32,79,Bronze medal
Nebojša Elez,Yugoslavia,,,,,,,32,79,Bronze medal
Jyrki Lahtonen,Finland,,,,,,,31,86,Bronze medal
Noam Kalmanson,Israel,,,,,,,31,86,Bronze medal
Ivica Bošnjak,Yugoslavia,,,,,,,31,86,Bronze medal
Kuno Zhuber - Okrog,Austria,6,7,0,5,5,7,30,89,Bronze medal
Julian West,Canada,1,2,5,7,7,7,29,90,Bronze medal
Anne-Marie Aubert,France,,,,,,,29,90,Bronze medal
Sennon David,France,,,,,,,29,90,Bronze medal
Yuri Lev,Israel,,,,,,,29,90,Bronze medal
Richard Wilson,Australia,,,,,,,28,94,Bronze medal
Dimiter Kostadinov Statelov,Bulgaria,,,,,,,28,94,Bronze medal
Michael Roth,Germany,,,,,,,28,94,Bronze medal
Aleksander Maliszewski,Poland,,,,,,,28,94,Bronze medal
Mikael Rittri,Sweden,,,,,,,28,94,Bronze medal
Iiro Honkala,Finland,,,,,,,27,99,Bronze medal
Bart van de Leemput,Netherlands,1,7,0,6,7,6,27,99,Bronze medal
Stephen Paul (Paul) Smith,United Kingdom,,,,,,,27,99,Bronze medal
Hervé Bonnaud,France,,,,,,,26,102,Bronze medal
Igor Aurer,Yugoslavia,,,,,,,26,102,Bronze medal
Michel Jacquemin,Belgium,,,,,,,25,104,
Arthur Baragar,Canada,0,7,0,5,6,7,25,104,
Andrei Martinez,Cuba,,,,,,,25,104,
Yuri Rabinovitch,Israel,,,,,,,25,104,
Erik Admiraal,Netherlands,0,7,0,5,7,6,25,105,
Bram Bouwens,Netherlands,6,6,1,5,7,0,25,104,
Michel Goemans,Belgium,,,,,,,24,110,
Sarantos Kapidakis,Greece,,,,,,,24,110,
Izabella Łaba,Poland,,,,,,,24,110,
Helder Wenceslau,Brazil,,,,,,,23,113,
David Bernier,Canada,0,2,7,7,0,7,23,113,
Maria Cristina Pereyra,Venezuela,,,,,,,23,113,
Radovan Jevtić,Yugoslavia,,,,,,,23,113,
Alan Blair,Australia,,,,,,,22,117,
Domingo Louis,Cuba,,,,,,,22,117,
Bo Bernhardsson,Sweden,,,,,,,22,117,
Gerhard Wöginger,Austria,1,4,7,4,1,4,21,120,
Luis Cardoso,Brazil,,,,,,,21,120,
Alexandre Chuva,Brazil,,,,,,,21,120,
Tomas Pelosi Filho,Brazil,,,,,,,21,120,
Ulf Carlsson,Sweden,,,,,,,20,124,
Dragan Vukotić,Yugoslavia,,,,,,,20,124,
Jorge L. Barreras,Cuba,,,,,,,19,126,
Marc Rosso,France,,,,,,,18,127,
Jerzy Ciosłowski,Poland,,,,,,,18,127,
Bo Sundborg,Sweden,,,,,,,18,127,
?,Tunisia,,,,,,,18,127,
Stephen McKay,Australia,,,,,,,17,131,
Antonio José Madeira Domingues,Brazil,,,,,,,17,131,
Ilkka Kiema,Finland,,,,,,,17,131,
Erick de Vries,Netherlands,0,2,1,0,7,7,17,131,
Arndt Jonasson,Sweden,,,,,,,17,131,
John Bowman,Canada,1,2,0,3,3,7,16,136,
Leonard Shulman,Israel,,,,,,,16,136,
Sieds van de Schaaf,Netherlands,1,2,3,4,6,0,16,136,
Jean-François Bensahel,France,,,,,,,15,139,
?,Greece,,,,,,,15,139,
Antonio Caldas Neto,Brazil,,,,,,,14,141,
Nelson Medina,Colombia,,,,,,,14,141,
Herbert Suárez,Colombia,,,,,,,14,141,
Ricardo Vélez,Colombia,,,,,,,14,141,
Raul Perez,Cuba,,,,,,,14,141,
?,Greece,,,,,,,14,141,
?,Tunisia,,,,,,,14,141,
Gustavo Lau,Venezuela,,,,,,,14,141,
Jim Farmer,Australia,,,,,,,13,149,
Henrique Mendes,Brazil,,,,,,,13,149,
Rodrigo Calderón,Colombia,,,,,,,13,149,
José Guterman,Colombia,,,,,,,13,149,
Mario Mejia,Colombia,,,,,,,13,149,
?,Greece,,,,,,,13,149,
?,Greece,,,,,,,13,149,
Geoffrey Heenan,Australia,,,,,,,12,156,
Kenneth Ross,Australia,,,,,,,12,156,
René Dager Salomon,Cuba,,,,,,,12,156,
?,Greece,,,,,,,12,156,
Marcos Lederman,Colombia,,,,,,,11,160,
?,Greece,,,,,,,11,160,
Wing On Lam,Australia,,,,,,,10,162,
Kari Kinaret,Finland,,,,,,,10,162,
Marco A. Gonzalez,Cuba,,,,,,,9,164,
Timo Rönkkö,Finland,,,,,,,9,164,
Roberto Cavalieros,Venezuela,,,,,,,9,164,
Ken Skinner,Australia,4,0,0,2,0,2,8,167,
Didier Casserau,France,,,,,,,8,167,
Nanna Gillis,Belgium,,,,,,,6,169,
Ernesto Moreno Frias,Cuba,,,,,,,6,169,
Boris Ackerman,Venezuela,,,,,,,6,169,
Francisco Javier López López,Mexico,,,,,,,4,172,
Oscar Dos Reis,Venezuela,,,,,,,4,172,
Moisés Lejter,Venezuela,,,,,,,4,172,
Lea Elst,Belgium,,,,,,,3,175,
Marie-Anne Loones,Belgium,,,,,,,3,175,
Guido Max,Belgium,,,,,,,3,175,
Ciro Filemón Flores Riviera,Mexico,,,,,,,3,175,
Nisin Aquinin,Venezuela,,,,,,,3,175,
?,Greece,,,,,,,2,180,
Sergio Barajas Félix,Mexico,,,,,,,2,180,
Aldo René Maldonaldo Duarte,Mexico,,,,,,,2,180,
Tatiana Toro,Colombia,,,,,,,1,183,
Raúl Medina Hernández,Mexico,,,,,,,1,183,
Marlon Sánchez,Venezuela,,,,,,,1,183,
