Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Ciprian Manolescu,Romania,7,7,7,7,7,7,42,1,Gold medal
Yu Seek Kong,Republic of Korea,4,7,7,7,7,7,39,2,Gold medal
Sug Woo Shin,Republic of Korea,7,7,7,7,3,7,38,3,Gold medal
Nikolai Dourov,Russian Federation,7,7,7,7,2,7,37,4,Gold medal
Alexander Harry Saltman,United States of America,7,7,7,7,2,7,37,4,Gold medal
Ngô Đắc Tuấn,Vietnam,7,7,7,7,2,7,37,4,Gold medal
Péter Burcsi,Hungary,7,7,7,7,1,7,36,7,Gold medal
Sachiko Nakajima,Japan,7,7,7,7,1,7,36,7,Gold medal
Serguei Norine,Russian Federation,7,7,7,7,1,7,36,7,Gold medal
Christopher C. Chang,United States of America,7,7,6,7,2,7,36,7,Gold medal
Arend Bayer,Germany,7,7,7,7,0,7,35,11,Gold medal
Péter Frenkel,Hungary,7,7,7,7,0,7,35,11,Gold medal
Yuliy Sannikov,Ukraine,7,7,7,7,0,6,34,13,Gold medal
Ivan Ivanov,Bulgaria,4,7,7,7,1,7,33,14,Gold medal
David Chkhaidze,Georgia,7,5,7,7,0,7,33,14,Gold medal
Constantin Chiscanu,Romania,4,7,7,7,7,1,33,14,Gold medal
David William Bibby,United Kingdom,7,5,7,7,0,7,33,14,Gold medal
Ngô Đức Duy,Vietnam,2,7,5,7,5,7,33,14,Gold medal
Serguei Chikh,Belarus,4,6,7,7,1,7,32,19,Gold medal
Huayi Chen,People's Republic of China,4,7,7,7,0,7,32,19,Gold medal
Gunther Vogel,Germany,7,7,6,7,3,1,31,21,Gold medal
Carl Bosley,United States of America,7,5,2,7,3,7,31,21,Gold medal
Michael Korn,United States of America,7,7,7,1,2,7,31,21,Gold medal
Nguyễn Thái Ha,Vietnam,4,7,6,7,0,7,31,21,Gold medal
Bertram Felgenhauer,Germany,7,7,2,7,0,7,30,25,Gold medal
Gyula Pap,Hungary,2,7,4,7,3,7,30,25,Gold medal
Ajay C. Ramdoss,India,6,1,5,7,5,6,30,25,Gold medal
Lev Buhovsky,Israel,5,3,7,7,1,7,30,25,Gold medal
Xuhua He,People's Republic of China,7,7,7,7,0,2,30,25,Gold medal
Jun Yan,People's Republic of China,7,7,7,5,0,4,30,25,Gold medal
Adrian Corduneanu,Romania,2,7,7,7,0,7,30,25,Gold medal
Senkodan Thevendran,Singapore,6,7,7,2,0,7,29,32,Gold medal
Eaman Eftekhari,Islamic Republic of Iran,7,7,7,0,0,7,28,33,Gold medal
Stefan Radu Niculescu,Romania,4,7,3,7,0,7,28,33,Gold medal
Michael Comyn Ching,United Kingdom,7,0,7,7,0,7,28,33,Gold medal
Gábor Braun,Hungary,4,1,7,7,1,7,27,36,Silver medal
Alireza Salehi Golsefidy,Islamic Republic of Iran,4,7,7,7,2,0,27,36,Silver medal
Tetsuyuki Maruoka,Japan,7,7,6,7,0,0,27,36,Silver medal
