Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Bernhard Leeb,Germany,7,7,7,7,7,7,42,1,"Gold medal, Special prize"
Michael Stoll,Germany,7,7,7,7,7,7,42,1,Gold medal
Frank Wagner,Germany,7,7,7,7,7,7,42,1,Gold medal
Léonide Parnovski,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Daniel Grieser,Germany,,,,,,,39,5,Gold medal
Nicolae Mandache,Romania,,,,,,,39,5,Gold medal
Jiří Sgall,Czechoslovakia,7,6,7,7,7,4,38,7,Gold medal
Daan Krammer,Netherlands,6,7,7,7,7,4,38,7,Gold medal
Michael Reid,United States of America,,,,,,,38,7,Gold medal
Diko Mikhov,Bulgaria,,,,,,,36,10,Silver medal
Igor Kříž,Czechoslovakia,7,7,7,7,7,1,36,10,Silver medal
Gábor Megyesi,Hungary,,,,,,,36,10,Silver medal
Douglas Jungreis,United States of America,,,,,,,36,10,Silver medal
Bruno Haible,Germany,,,,,,,35,14,Silver medal
Victor Allis,Netherlands,7,7,7,3,4,7,35,14,Silver medal
Paul Nevile Balister,United Kingdom,,,,,,,34,16,"Silver medal, Special prize"
Steven Newman,United States of America,,,,,,,33,17,Silver medal
Gábor Hetyei,Hungary,,,,,,,32,18,Silver medal
Gábor Tóth,Hungary,,,,,,,32,18,Silver medal
Orest Bucicovski,Romania,,,,,,,32,18,Silver medal
Luca Dan Grecu,Romania,,,,,,,32,18,Silver medal
Dirk Vertigan,Australia,5,3,6,7,7,3,31,22,Silver medal
Richard Swarup Biswas,United Kingdom,,,,,,,31,22,Silver medal
Trần Tuấn Hiệp,Vietnam,,,,,,,31,22,Silver medal
Philippe Kahn,France,,,,,,,30,25,Silver medal
Daniel Tuijnman,Netherlands,2,7,7,7,7,0,30,25,Silver medal
László Erdős,Hungary,,,,,,,28,27,Silver medal
Igor Joukov,Union of Soviet Socialist Republics,,,,,,,28,27,Silver medal
Jeremy Kahn,United States of America,,,,,,,28,27,Silver medal
Trần Nam Dũng,Vietnam,,,,,,,28,27,Silver medal
Nguyễn Văn Lượng,Vietnam,,,,,,,28,27,Silver medal
Alexis Bonnet,France,,,,,,,27,32,Silver medal
Vladimir Bouritchenko,Union of Soviet Socialist Republics,,,,,,,27,32,Silver medal
Alison McDonald,United Kingdom,,,,,,,27,32,Silver medal
Menke Ubbens,Netherlands,7,0,7,7,0,5,26,35,Silver medal
Yanis Britals,Union of Soviet Socialist Republics,,,,,,,26,35,Silver medal
Martin Piotte,Canada,1,6,4,7,0,7,25,37,Bronze medal
Vladimír Dančík,Czechoslovakia,7,7,4,7,0,0,25,37,Bronze medal
Bernd Schmutzler,German Democratic Republic,,,,,,,25,37,"Bronze medal, Special prize"
Stavros Garoufalidis,Greece,,,,,,,25,37,Bronze medal
Georges Panagopoulos,Greece,,,,,,,25,37,Bronze medal
Martin Weiss,Romania,,,,,,,25,37,Bronze medal
Alexandre Semionov,Union of Soviet Socialist Republics,,,,,,,25,37,Bronze medal
José Carlos Simon Miranda,Brazil,,,,,,,24,44,Bronze medal
Heikki Tuuri,Finland,,,,,,,24,44,Bronze medal
Alexander Clark,United Kingdom,,,,,,,24,44,Bronze medal
Ivan Kolev Dimitrov,Bulgaria,,,,,,,23,47,Bronze medal
Isvetan Motev,Bulgaria,,,,,,,23,47,Bronze medal
Pavel Tadeev Glasnov,Bulgaria,,,,,,,23,47,Bronze medal
Ingo Witt,German Democratic Republic,,,,,,,23,47,Bronze medal
Tomasz Hrycak,Poland,,,,,,,23,47,Bronze medal
Michael Clase,Canada,3,2,7,7,0,3,22,52,Bronze medal
Abel Torres,Cuba,,,,,,,22,52,Bronze medal
Jarkko Kari,Finland,,,,,,,22,52,Bronze medal
Jochen Lattermann,German Democratic Republic,,,,,,,22,52,Bronze medal
Jerzy Marcinkowski,Poland,,,,,,,22,52,Bronze medal
Hoàng Ngọc Chiến,Vietnam,,,,,,,22,52,Bronze medal
Alair Pereira do Lago,Brazil,,,,,,,21,58,Bronze medal
Ákos Magyar,Hungary,,,,,,,21,58,Bronze medal
Jenő Törőcsik,Hungary,,,,,,,21,58,Bronze medal
Cezary Juszczak,Poland,,,,,,,21,58,Bronze medal
Konstantine Kokase,Union of Soviet Socialist Republics,,,,,,,21,58,Bronze medal
James Yeh,United States of America,,,,,,,21,58,Bronze medal
Ehud Friedgut,Israel,,,,,,,20,64,Bronze medal
Nguyễn Việt Ba,Vietnam,,,,,,,20,64,Bronze medal
Roman Drnovšek,Yugoslavia,,,,,,,20,64,Bronze medal
Patric Östergard,Finland,,,,,,,19,67,Bronze medal
Olivier Lafitte,France,,,,,,,19,67,Bronze medal
Klaus Mohnke,German Democratic Republic,,,,,,,19,67,Bronze medal
Axel Schüler,German Democratic Republic,,,,,,,19,67,Bronze medal
Mor Amitai,Israel,,,,,,,19,67,Bronze medal
Phạm Thanh Phương,Vietnam,,,,,,,19,67,Bronze medal
Richard Moore,Australia,1,6,4,7,0,0,18,73,Bronze medal
Mihail Jotov,Bulgaria,,,,,,,18,73,Bronze medal
Neale Ginsburg,Canada,7,2,2,7,0,0,18,73,Bronze medal
Paul Lescot,France,,,,,,,18,73,Bronze medal
Ivan Sajić,Yugoslavia,,,,,,,18,73,Bronze medal
William Rucklidge,Canada,1,7,0,7,2,0,17,78,Bronze medal
Jiří Witzany,Czechoslovakia,3,0,7,7,0,0,17,78,Bronze medal
Ori Ganor,Israel,,,,,,,17,78,Bronze medal
Louis Funar,Romania,,,,,,,17,78,Bronze medal
Ivan Keglević,Yugoslavia,,,,,,,17,78,Bronze medal
Xaver Gubáš,Czechoslovakia,3,2,4,0,7,0,16,83,Bronze medal
Efthimios Anagnostou,Greece,,,,,,,16,83,Bronze medal
Alexander Forman,Israel,,,,,,,16,83,Bronze medal
Andrei Ratiu,Romania,,,,,,,16,83,Bronze medal
Andrew Kepert,Australia,1,1,0,7,6,0,15,87,Bronze medal
Ney Diniz Brotas,Brazil,,,,,,,15,87,Bronze medal
Thierry Bousch,France,,,,,,,15,87,Bronze medal
Ron Karidi,Israel,,,,,,,15,87,Bronze medal
John Steinke,United States of America,,,,,,,15,87,Bronze medal
Marko Nedeljkov,Yugoslavia,,,,,,,15,87,Bronze medal
Mirjana Spasojević,Yugoslavia,,,,,,,15,87,Bronze medal
Galia Simeonova,Bulgaria,,,,,,,14,94,
Mike Molloy,Canada,3,0,4,3,0,4,14,94,
François Sauvageot,France,,,,,,,14,94,
Kerkko Luosto,Finland,,,,,,,13,97,
Hanna Viertiö,Finland,,,,,,,13,97,
Marek Gałecki,Poland,,,,,,,13,97,
Roberto Selva,Spain,,,,,,,13,97,
Pekka Lampio,Finland,,,,,,,12,101,
Michael Eisele,Germany,,,,,,,12,101,
Evangellos Tambakis,Greece,,,,,,,12,101,
Ola Johansson,Sweden,3,1,5,2,0,1,12,101,
Christopher Watson,Australia,2,0,6,3,0,0,11,105,
Peter Grandits,Austria,1,0,2,4,0,4,11,105,
Andrzej Resztak,Poland,,,,,,,11,105,
Adam Sikora,Poland,,,,,,,11,105,
José Burillo,Spain,,,,,,,11,105,
Torbjörn Söderberg,Sweden,7,0,4,0,0,0,11,105,
Michel Lesoinne,Belgium,,,,,,,10,111,
Fábio Tsuzuki,Brazil,,,,,,,10,111,
Marián Neamţu,Czechoslovakia,1,2,0,7,0,0,10,111,
Georges Pappas,Greece,,,,,,,10,111,
Alexander Smorodnitzky,Israel,,,,,,,10,111,
Jean-Jacques Duhr,Luxembourg,,,,,,,10,111,
Ronald Beekelaar,Netherlands,1,2,0,7,0,0,10,111,
Klaus Kusche,Austria,2,7,0,0,0,0,9,118,
Jörg Wenzel,German Democratic Republic,,,,,,,9,118,
Andreas Weigl,Austria,3,0,5,0,0,0,8,120,
Kostantin Efthimiou,Greece,,,,,,,8,120,
Wolfgang Jenkner,Austria,3,0,0,0,0,4,7,122,
Martin Müller,Austria,7,0,0,0,0,0,7,122,
Ernesto Sabogal,Colombia,,,,,,,7,122,
Khalil Benhssein,Morocco,,,,,,,7,122,
Noureddine Hamdane,Morocco,,,,,,,7,122,
Javier Diez,Spain,,,,,,,7,122,
Jan-Erik Brundell,Sweden,3,0,0,4,0,0,7,122,
Peter Martinsson,Sweden,1,0,0,2,0,4,7,122,
Maher Tangour,Tunisia,,,,,,,7,122,
David Baldwin,Australia,1,0,0,0,1,4,6,131,
Jean-Pierre Bianchi,Belgium,,,,,,,6,131,
Pieter de Keyser,Belgium,,,,,,,6,131,
Eduardo Esteves,Brazil,,,,,,,6,131,
Bruce Sutherland,Canada,1,2,0,0,3,0,6,131,
Youssef Islah,Morocco,,,,,,,6,131,
José Maranon,Spain,,,,,,,6,131,
Ali Gzam,Tunisia,,,,,,,6,131,
Stephen Tyler,Australia,1,0,4,0,0,0,5,139,
Francois-Gabrie Knuts,Belgium,,,,,,,5,139,
Nasser Assem,Morocco,,,,,,,5,139,
Mohamed Chafik,Morocco,,,,,,,5,139,
Jan Isberg,Sweden,1,0,4,0,0,0,5,139,
Bo Nettelblads,Sweden,1,2,0,1,0,1,5,139,
Hickem Gaaloul,Tunisia,,,,,,,5,139,
Ede Ijjasz,Colombia,,,,,,,4,146,
José Munoz,Colombia,,,,,,,4,146,
Nelson Gonzalez,Cuba,,,,,,,4,146,
Juan Carlos Sanchez,Cuba,,,,,,,4,146,
Bart de Smit,Netherlands,2,0,1,0,0,1,4,146,
Mourad Besbes,Tunisia,,,,,,,4,146,
Zoran Piličev,Yugoslavia,,,,,,,4,146,
Peter Grabner,Austria,3,0,0,0,0,0,3,153,
Bruno Torremans,Belgium,,,,,,,3,153,
Gilberto Salcedo,Colombia,,,,,,,3,153,
Claude Pommerell,Luxembourg,,,,,,,3,153,
Mark Bravington,United Kingdom,,,,,,,3,153,
Abdellah Mokrane,Algeria,,,,,,,2,158,
