Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Mark Kleiman,United States of America,6,7,8,5,6,8,40,1,Gold medal
Richard Ewen Borcherds,United Kingdom,,,,,,,39,2,"Gold medal, Special prize"
Victor Nistor,Romania,,,,,,,37,3,Gold medal
Bogdan Enescu,Romania,,,,,,,36,4,Gold medal
Uwe Weselmann,Germany,,,,,,,35,5,Gold medal
Jan Nekovář,Czechoslovakia,6,5,8,5,6,4,34,6,Silver medal
Mladen Bestvina,Yugoslavia,,,,,,,34,6,Silver medal
Marc van Leeuwen,Netherlands,6,0,8,5,6,8,33,8,"Silver medal, Special prize (2)"
Gheorghe Silberberg,Romania,,,,,,,33,8,Silver medal
Jan Kratochvíl,Czechoslovakia,6,7,7,5,6,1,32,10,Silver medal
Andraş Nemethi,Romania,,,,,,,32,10,Silver medal
Gabriel Nagy,Romania,,,,,,,31,12,Silver medal
Ehud Reiter,United States of America,6,6,8,5,6,0,31,12,Silver medal
Gerhard Turnwald,Austria,6,7,3,5,6,3,30,14,Silver medal
Victor Milenkovic,United States of America,5,7,6,5,6,1,30,14,Silver medal
Vũ Kim Tuấn,Vietnam,,,,,,,30,14,Silver medal
Ognjan Trifunov,Bulgaria,,,,,,,29,17,Silver medal
Randall Dougherty,United States of America,6,4,8,5,6,0,29,17,Silver medal
Nguyễn Thanh Tùng,Vietnam,,,,,,,29,17,Silver medal
Günther Rothe,Austria,6,2,8,5,6,1,28,20,Silver medal
Pierre Gilles Lemarié,France,,,,,,,28,20,Silver medal
Alan John Dix,United Kingdom,,,,,,,28,20,Silver medal
Helmut Gferer,Austria,6,2,4,5,6,4,27,23,Silver medal
Georges Quenot,France,,,,,,,27,23,Silver medal
Philip Edward Gibbs,United Kingdom,,,,,,,27,23,Silver medal
Thierry Coquand,France,,,,,,,26,26,Bronze medal
Johan Yebbou,France,,,,,,,26,26,Bronze medal
Ulrich Everling,Germany,,,,,,,26,26,Bronze medal
Hans Mulder,Netherlands,6,1,5,5,6,3,26,26,Bronze medal
David Montana,United States of America,6,0,8,5,6,1,26,26,Bronze medal
Charles Walter,United States of America,6,4,4,5,6,1,26,26,Bronze medal
Vladimir Kostov,Bulgaria,,,,,,,25,32,Bronze medal
Emy Pîrpăriţă,Romania,,,,,,,25,32,Bronze medal
Đỗ Đức Thái,Vietnam,,,,,,,25,32,Bronze medal
David Hilbert,Austria,6,2,4,5,6,1,24,35,Bronze medal
Georg Karner,Austria,6,4,3,5,6,0,24,35,Bronze medal
Rusi Jordanov,Bulgaria,,,,,,,24,35,Bronze medal
Ricardo Gonzalez Felipe,Cuba,,,,,,,24,35,Bronze medal
Zdeněk Vavřín,Czechoslovakia,6,6,0,5,6,1,24,35,Bronze medal
Markku Markkanen,Finland,5,0,8,5,6,0,24,35,"Bronze medal, Special prize"
Michel Jaques Schmitt,France,,,,,,,24,35,Bronze medal
Richard Michael Durbin,United Kingdom,,,,,,,24,35,Bronze medal
Richard Pennington,United Kingdom,,,,,,,24,35,Bronze medal
Hồ Đình Duẩn,Vietnam,,,,,,,24,35,Bronze medal
Lê Như Dương,Vietnam,,,,,,,24,35,Bronze medal
Amer Bešlagić,Yugoslavia,,,,,,,24,35,Bronze medal
Nadezhda Ribarska,Bulgaria,,,,,,,23,47,Bronze medal
Rafael Pedrosa Martinez,Cuba,,,,,,,23,47,Bronze medal
Milan Veščičík,Czechoslovakia,6,4,2,5,6,0,23,47,Bronze medal
Jean Benoit Bost,France,,,,,,,23,47,Bronze medal
Herbert Wingen,Germany,,,,,,,23,47,Bronze medal
Andrzej Nędzusiak,Poland,,,,,,,23,47,Bronze medal
Nguyễn Tuấn Hùng,Vietnam,,,,,,,23,47,Bronze medal
Nguyễn Hồng Thái,Vietnam,,,,,,,23,47,Bronze medal
Aleksandar Vučić,Yugoslavia,,,,,,,23,47,Bronze medal
Peter Filakovszký,Czechoslovakia,3,6,2,5,6,0,22,56,Bronze medal
Antti Valmari,Finland,6,6,4,5,1,0,22,56,Bronze medal
Martin Roller,Germany,,,,,,,22,56,Bronze medal
Paweł Domański,Poland,,,,,,,22,56,Bronze medal
Alexandru Zaharescu,Romania,,,,,,,22,56,Bronze medal
Johan Håstad,Sweden,6,0,5,5,6,0,22,56,Bronze medal
Andrew Bernoff,United States of America,3,4,4,5,6,0,22,56,Bronze medal
Nguyễn Trung Hà,Vietnam,,,,,,,22,56,Bronze medal
Thomas Grechenig,Austria,6,4,1,3,6,1,21,64,
Boris Kovachev,Bulgaria,,,,,,,21,64,
Milena Moskova,Bulgaria,,,,,,,21,64,
Todor Stojanov,Bulgaria,,,,,,,21,64,
Zdeněk Kalousek,Czechoslovakia,6,0,4,5,6,0,21,64,
Rainer Johanni,Germany,,,,,,,21,64,
