Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Dmitri A. Arinkin,Commonwealth of Independent States,7,7,7,7,7,7,42,1,Gold medal
Wei Luo,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Kai Shen,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Baozhong Yang,People's Republic of China,7,7,7,7,7,7,42,1,Gold medal
Yin Zhang,People's Republic of China,7,7,7,6,7,7,41,5,Gold medal
Simai He,People's Republic of China,7,7,7,5,7,7,40,6,Gold medal
Geffry Barad,Romania,7,7,7,7,7,5,40,6,Gold medal
Benjamin Burton,Australia,7,7,7,7,7,4,39,8,Gold medal
Jeffrey Grossman,Canada,7,7,7,7,3,5,36,9,Gold medal
Kiran Kedlaya,United States of America,7,7,7,7,1,7,36,9,Gold medal
Hiroki Kodama,Japan,7,7,7,7,0,7,35,11,Gold medal
Mark Walters,United Kingdom,7,1,6,7,7,7,35,11,Gold medal
Robert Kleinberg,United States of America,7,7,7,7,1,6,35,11,Gold medal
Şerban Nacu,Romania,7,7,7,4,2,7,34,14,Gold medal
Masmould Nader,Tunisia,7,7,7,7,1,5,34,14,Gold medal
Eva Myers,United Kingdom,7,4,7,7,2,7,34,14,Gold medal
Nikolay Nikolov,Bulgaria,7,1,7,7,7,4,33,17,Gold medal
Hong Zhou,People's Republic of China,6,7,7,6,0,7,33,17,Gold medal
Jong Won Park,Republic of Korea,7,4,7,7,6,2,33,17,Gold medal
Lenhard Ng,United States of America,7,7,7,7,1,4,33,17,Gold medal
Nguyễn Xuân Dao,Vietnam,7,7,1,7,7,4,33,17,Gold medal
Andrey N. Malutin,Commonwealth of Independent States,6,3,7,2,7,7,32,22,Gold medal
Patrick Popescu-Pampu,France,7,7,1,7,7,3,32,22,Gold medal
Attila Pór,Hungary,7,7,7,7,1,3,32,22,Gold medal
Aleksey Chilikov,Russian Federation,7,7,7,7,0,4,32,22,Gold medal
Pavel Kozhevnikov,Russian Federation,7,7,7,7,0,4,32,22,Gold medal
Aleksey Y. Nagin,Commonwealth of Independent States,7,7,7,6,0,4,31,27,Silver medal
Michal Stehlík,Czechoslovakia,7,3,7,2,7,5,31,27,Silver medal
Christoph Bergemann,Germany,7,1,7,2,7,7,31,27,Silver medal
Kasra Rafie,Islamic Republic of Iran,7,7,7,7,0,3,31,27,Silver medal
Gabriel Turinici,Romania,7,7,7,7,0,3,31,27,Silver medal
Alexei Borodin,Ukraine,,,,,,,31,27,Silver medal
Ivan V. Izmestiev,Commonwealth of Independent States,7,4,7,6,0,6,30,33,Silver medal
Jakob Stix,Germany,7,7,3,6,3,4,30,33,Silver medal
Zoltán Újvári-Menyhárt,Hungary,7,7,7,7,0,2,30,33,Silver medal
Hiroki Tamura,Japan,7,7,7,1,1,7,30,33,Silver medal
Fredrik Andréasson,Sweden,4,4,5,6,7,4,30,33,Silver medal
Andreas Strömbergsson,Sweden,7,3,7,7,0,6,30,33,Silver medal
Igor Dolinka,Yugoslavia,7,7,7,6,0,3,30,33,Silver medal
Vladimir V. Nekrachevich,Commonwealth of Independent States,7,7,7,5,0,3,29,40,Silver medal
Vincent Lefevre,France,7,3,7,7,0,5,29,40,Silver medal
Tatsuyuki Iwata,Japan,5,3,7,7,3,4,29,40,Silver medal
Chris Stolk,Netherlands,7,3,7,5,0,7,29,40,Silver medal
Radu Alexandru Todor,Romania,4,7,7,7,0,4,29,40,Silver medal
Ruslan Ismailov,Russian Federation,7,7,7,2,0,6,29,40,Silver medal
Tse Jen Wei,Taiwan,7,4,1,6,7,4,29,40,Silver medal
Vladimir Božin,Yugoslavia,7,7,7,3,0,5,29,40,Silver medal
Michal Kubeček,Czechoslovakia,7,7,7,1,0,6,28,48,Silver medal
Chei Jun Ryu,Democratic People's Republic of Korea,7,5,7,6,0,3,28,48,Silver medal
Robin Michaels,United Kingdom,7,7,2,1,7,4,28,48,Silver medal
Luke Pebody,United Kingdom,7,5,7,1,3,5,28,48,Silver medal
Gwang Chol Li,Democratic People's Republic of Korea,7,5,3,7,0,5,27,52,Silver medal
Chol Su Yun,Democratic People's Republic of Korea,7,5,5,7,0,3,27,52,Silver medal
Denis Auroux,France,7,1,7,7,1,4,27,52,Silver medal
Rom Pinchasi,Israel,6,7,6,6,0,2,27,52,Silver medal
Pinai Linwong,Thailand,7,1,5,7,5,2,27,52,Silver medal
Wei Hwa Huang,United States of America,2,3,7,5,5,5,27,52,Silver medal
Bart de Bruyn,Belgium,7,4,1,7,0,7,26,58,Silver medal
Mladen Dimitrov,Bulgaria,7,1,7,7,1,3,26,58,Silver medal
Amir Jafari,Islamic Republic of Iran,6,7,5,6,0,2,26,58,Silver medal
Ilya German,Israel,7,7,0,1,7,4,26,58,Silver medal
Atsuo Yamauchi,Japan,7,7,3,4,0,5,26,58,Silver medal
Łukasz Wiechecki,Poland,7,7,2,7,0,3,26,58,Silver medal
Andrew H. Schultz,United States of America,7,3,1,5,3,7,26,58,Silver medal
Nguyễn Quốc Khánh,Vietnam,5,7,2,7,0,5,26,58,Silver medal
Norbert Hoffmann,Germany,7,7,7,1,0,3,25,66,Silver medal
Stefan Schwarz,Germany,7,3,4,4,0,7,25,66,Silver medal
Kar-Koung To,Hong Kong,7,7,2,7,0,2,25,66,Silver medal
Balázs Szendrői,Hungary,7,3,4,6,0,5,25,66,Silver medal
Jan Kristian Haugland,Norway,7,2,1,7,1,7,25,66,Silver medal
Chuan-Hsiang Huang,Taiwan,7,4,2,7,0,5,25,66,Silver medal
Hung-Wu Wu,Taiwan,7,4,0,7,0,7,25,66,Silver medal
Nguyễn Thành Cong,Vietnam,7,7,1,7,1,2,25,66,Silver medal
