Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Jean Claude Sikorav,France,6,7,7,6,6,8,40,1,Gold medal
Boris Yusin,Union of Soviet Socialist Republics,6,7,7,6,6,8,40,1,Gold medal
Jonathan James Hitchcock,United Kingdom,6,7,7,6,6,8,40,1,Gold medal
John Rickard,United Kingdom,6,7,7,6,6,8,40,1,Gold medal
Paul Herdeg,United States of America,6,7,7,6,6,8,40,1,Gold medal
Paul Vojta,United States of America,6,7,7,6,6,8,40,1,Gold medal
Wilfried Pascher,Austria,6,7,7,5,6,8,39,7,Gold medal
Miller Puckette,United States of America,6,7,7,6,6,7,39,7,Gold medal
Tibor Jakab,Hungary,6,7,7,3,6,8,37,9,Silver medal
László Sparing,Hungary,6,7,7,6,6,5,37,9,Silver medal
Péter Surján,Hungary,6,4,7,6,6,8,37,9,Silver medal
Per Salberger,Sweden,6,7,7,6,5,6,37,9,Silver medal
Klaus Altmann,German Democratic Republic,6,7,6,6,6,5,36,13,Silver medal
Aleksandr Koriyushkin,Union of Soviet Socialist Republics,6,7,7,6,6,4,36,13,Silver medal
David G Frankis,United Kingdom,6,7,5,6,6,6,36,13,Silver medal
Nguyễn Minh Đức,Vietnam,,,,,,,36,13,Silver medal
Jožef B. Varga,Yugoslavia,6,7,7,6,6,4,36,13,Silver medal
?,France,6,7,7,6,6,3,35,18,Silver medal
Lajos Soukup,Hungary,6,7,7,6,6,3,35,18,Silver medal
Dan Achihai,Romania,6,5,7,6,3,8,35,18,Silver medal
Karl Grill,Austria,6,1,7,6,6,8,34,21,Silver medal
Uwe Quasthoff,German Democratic Republic,6,7,7,6,6,2,34,21,Silver medal
Harry Reimann,German Democratic Republic,6,7,7,0,6,8,34,21,Silver medal
László Éltető,Hungary,6,7,7,6,6,2,34,21,Silver medal
Arne Meurman,Sweden,6,7,7,6,0,8,34,21,Silver medal
Aleksandr Reznikov,Union of Soviet Socialist Republics,6,7,7,6,6,2,34,21,Silver medal
Veselin Zhilkov,Bulgaria,5,1,7,6,6,8,33,27,Silver medal
Ralph Lehmann,German Democratic Republic,6,7,7,2,6,5,33,27,Silver medal
