Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
D. B. Mihov,Bulgaria,7,7,7,7,7,7,42,1,Gold medal
Karin Gröger,German Democratic Republic,7,7,7,7,7,7,42,1,Gold medal
Daniel Tătaru,Romania,7,7,7,7,7,7,42,1,Gold medal
Andrey Astrelin,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Konstantin Ignatiev,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Leonid Oridoroga,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
David Moews,United States of America,7,7,7,7,7,7,42,1,Gold medal
Đàm Thanh Sơn,Vietnam,7,7,7,7,7,7,42,1,Gold medal
Vasil Borisov Daskalov,Bulgaria,7,7,7,6,7,7,41,9,Gold medal
Fedor Nazarov,Union of Soviet Socialist Republics,7,7,6,7,7,7,41,9,"Gold medal, Special prize"
Miklós Mócsy,Hungary,7,5,7,7,7,7,40,12,Gold medal
Louis Funar,Romania,7,7,7,7,5,7,40,12,Gold medal
Evgeniy Abakumov,Union of Soviet Socialist Republics,7,7,7,7,5,7,40,12,Gold medal
Paul Nevile Balister,United Kingdom,7,7,7,6,7,6,40,9,Gold medal
Bernhard Leeb,Germany,7,7,7,7,7,3,38,15,Silver medal
Petru Mironescu,Romania,7,7,7,7,7,3,38,15,Silver medal
Pavel Tadeev Glasnov,Bulgaria,7,7,2,7,7,7,37,17,Silver medal
Gábor Megyesi,Hungary,7,7,2,7,7,7,37,17,Silver medal
Martin Weiss,Romania,7,7,6,7,6,4,37,17,Silver medal
D. Tubshinjargal,Mongolia,2,7,7,7,6,7,36,20,Silver medal
Nikolai Ivanov Chavdarov,Bulgaria,7,6,2,7,6,7,35,21,Silver medal
Arnd Rösch,German Democratic Republic,7,7,7,7,7,0,35,21,Silver medal
Zoltán Szabó,Hungary,7,7,7,7,7,0,35,21,Silver medal
David Grabiner,United States of America,7,7,7,7,0,7,35,21,Silver medal
Jiří Witzany,Czechoslovakia,7,1,7,6,7,6,34,25,Silver medal
Géza Kós,Hungary,7,7,6,7,7,0,34,25,Silver medal
R. Batdelger,Mongolia,7,7,7,7,6,0,34,25,Silver medal
Michael Reid,United States of America,7,7,7,7,6,0,34,25,Silver medal
Michael Peake,Australia,7,7,1,6,7,5,33,29,Silver medal
Alexis Bonnet,France,7,7,7,6,1,4,32,30,Silver medal
A. Melas,Greece,6,7,1,7,7,3,31,31,Silver medal
B. Munhtur,Mongolia,5,6,6,7,7,0,31,31,Silver medal
Richard Swarup Biswas,United Kingdom,7,7,2,7,7,1,31,31,Silver medal
Marcus George Moore,United Kingdom,7,7,0,6,4,7,31,31,Silver medal
Arnfried Gebhardt,Germany,7,7,5,7,3,1,30,35,Silver medal
Jeremy Kahn,United States of America,7,7,0,2,7,7,30,35,Silver medal
Steven Newman,United States of America,7,7,7,5,4,0,30,35,Silver medal
Matthew John Richards,United Kingdom,7,1,1,6,7,7,29,38,Silver medal
Michael Ulm,Austria,7,7,0,7,7,0,28,39,Silver medal
Ivan Kolev Dimitrov,Bulgaria,7,7,2,7,5,0,28,39,Silver medal
Ákos Magyar,Hungary,7,7,0,7,7,0,28,39,Silver medal
Jarosław Włodarczyk,Poland,7,1,7,7,0,6,28,39,Silver medal
Sergei Strukov,Union of Soviet Socialist Republics,7,0,0,7,7,7,28,39,Silver medal
Laurent Lafforgue,France,7,7,6,7,0,0,27,44,Silver medal
Ingo Witt,German Democratic Republic,7,7,1,7,0,5,27,44,Silver medal
Đỗ Quang Đại,Vietnam,7,7,0,6,7,0,27,44,Silver medal
Juraj Balász,Czechoslovakia,7,7,0,7,4,1,26,47,Silver medal
Jan de Boer,Netherlands,7,7,0,7,1,4,26,47,Silver medal
Nguyễn Văn Hưng,Vietnam,7,7,0,7,0,5,26,47,Silver medal
Alan Blair,Australia,6,1,0,7,4,7,25,50,Bronze medal
Martin Grajcar,Czechoslovakia,6,7,0,7,4,1,25,50,Bronze medal
Võ Thu Tùng,Vietnam,7,0,0,7,4,7,25,50,Bronze medal
Colin Stahlke,Germany,3,7,4,6,4,0,24,53,Bronze medal
John Rognes,Norway,7,7,2,7,1,0,24,53,Bronze medal
Andrzej Krzysztofowicz,Poland,5,0,5,7,7,0,24,53,Bronze medal
Radu Negulescu,Romania,7,3,2,7,5,0,24,53,Bronze medal
Douglas Davidson,United States of America,7,7,7,0,3,0,24,53,Bronze medal
Juan Pereira,Colombia,7,0,7,7,0,2,23,58,Bronze medal
Hagen von Eitzen,Germany,7,7,0,7,0,2,23,58,Bronze medal
Piotr Hajłasz,Poland,7,0,7,7,2,0,23,58,Bronze medal
Piotr Nowak-Przygodzki,Poland,7,1,7,1,4,3,23,58,Bronze medal
Nguyễn Thúc Anh,Vietnam,7,7,0,6,3,0,23,58,Bronze medal
E. Sere,France,7,6,0,7,2,0,22,63,Bronze medal
Marcel Cox,Luxembourg,7,1,0,7,7,0,22,63,Bronze medal
Bart de Smit,Netherlands,6,1,0,7,7,1,22,63,Bronze medal
Adam Strzeboński,Poland,7,0,6,0,7,2,22,63,Bronze medal
Ian David Bede Stark,United Kingdom,3,5,0,7,7,0,22,63,Bronze medal
Andrej Dujella,Yugoslavia,7,7,0,7,0,1,22,63,Bronze medal
Matthew Hardman,Australia,7,7,0,3,4,0,21,69,Bronze medal
Alberto Maçaaki Utsumi,Brazil,7,7,0,2,4,1,21,21,Bronze medal
Martin Piotte,Canada,7,7,0,7,0,0,21,69,Bronze medal
Petros Hadjicostas,Cyprus,7,7,0,4,2,1,21,69,Bronze medal
Jörg Stahnke,German Democratic Republic,5,7,0,7,1,1,21,69,Bronze medal
László Erdős,Hungary,2,4,0,7,7,1,21,69,Bronze medal
Roman Drnovšek,Yugoslavia,4,1,0,7,7,2,21,69,Bronze medal
Michel Lesoinne,Belgium,3,1,2,7,7,0,20,76,Bronze medal
Cláudio de Carvalho Chamon,Brazil,7,7,0,6,0,0,20,76,Bronze medal
Cláudio José Morandini,Brazil,7,1,2,7,0,3,20,76,Bronze medal
Marin Ivanov Marinov,Bulgaria,7,0,0,7,4,2,20,76,Bronze medal
Ján Šefčík,Czechoslovakia,7,7,0,6,0,0,20,76,Bronze medal
Michał Wojciechowski,Poland,7,0,2,7,4,0,20,76,Bronze medal
Stefan Kiechl,Austria,7,2,1,6,3,0,19,82,Bronze medal
Javier Pena,Colombia,6,5,0,4,3,1,19,82,Bronze medal
Thierry Bousch,France,6,0,0,7,4,2,19,82,Bronze medal
Alexander Schmidt,German Democratic Republic,7,3,0,6,0,3,19,82,Bronze medal
Youssef Islah,Morocco,6,5,1,6,1,0,19,82,Bronze medal
Hans van Antwerpen,Netherlands,3,7,5,4,0,0,19,82,Bronze medal
Nguyễn Thị Minh Hà,Vietnam,7,0,0,4,4,4,19,82,Bronze medal
Helmut Kahlbacher,Austria,7,0,1,7,3,0,18,89,Bronze medal
Eckhard Müller,Germany,7,3,0,7,0,1,18,89,Bronze medal
C. Enhbold,Mongolia,2,7,1,1,3,4,18,89,Bronze medal
L. Ganbold,Mongolia,4,4,0,4,6,0,18,89,Bronze medal
Nicolae Suciu,Romania,7,2,2,7,0,0,18,89,Bronze medal
Nikola Lakić,Yugoslavia,7,1,2,7,1,0,18,89,Bronze medal
Aleksandar Marković,Yugoslavia,7,1,0,7,3,0,18,89,Bronze medal
A. Torres Montoya,Cuba,6,4,0,7,0,0,17,96,Bronze medal
Oliver Geupel,German Democratic Republic,2,1,0,7,7,0,17,96,Bronze medal
Andreas Wacker,Germany,7,3,0,0,0,7,17,96,Bronze medal
Jonathon Ennis,Australia,4,7,1,3,1,0,16,99,
Philippe Alphonse,Belgium,2,4,2,1,7,0,16,99,
Romildo Gonçalves Valente,Brazil,3,7,0,6,0,0,16,99,
Mike Molloy,Canada,7,2,1,0,6,0,16,99,
J. R. Presa Sague,Cuba,2,7,0,7,0,0,16,99,
Frédéric van der Plancke,Belgium,3,1,0,7,4,0,15,104,
Mike Bradley,Canada,5,0,0,7,3,0,15,104,
Vo Minh Tue,Canada,3,1,0,7,3,1,15,104,
Patrice Sauvalle,France,7,0,0,7,0,1,15,104,
Ch. Vazouras,Greece,7,2,0,6,0,0,15,104,
Michael Corin Harrison,United Kingdom,7,7,0,0,1,0,15,104,
K. Makhloufi,Algeria,2,4,0,7,1,0,14,110,
L. Polymenakos,Greece,7,1,0,4,0,2,14,110,
Menke Ubbens,Netherlands,6,1,1,6,0,0,14,110,
Uroš Seljak,Yugoslavia,7,3,0,0,4,0,14,110,
A. Azaou,Morocco,5,0,0,7,0,1,13,114,
Henrik Dahlstrand,Sweden,6,0,0,7,0,0,13,114,
Torbjörn Söderberg,Sweden,7,1,0,5,0,0,13,114,
N. Lahyani,Tunisia,4,5,0,3,1,0,13,114,
Johannes Grassberger,Austria,2,7,0,3,0,0,12,118,
Frank D'Ippolito,Canada,5,5,0,2,0,0,12,118,
E. Arrieta,Colombia,7,0,0,5,0,0,12,118,
M. T. Alzugaray Rodriguez,Cuba,5,7,0,0,0,0,12,118,
Aleksandar Zorović,Yugoslavia,2,1,0,7,2,0,12,118,
M. Ziane,Algeria,2,3,0,6,0,0,11,123,
André Hiroshi Hayashi Alves,Brazil,7,0,0,4,0,0,11,123,
I. E. Ibanez,Colombia,2,0,2,7,0,0,11,123,
M. Perera Chang,Cuba,2,3,0,3,1,2,11,123,
Adonis Ioannides,Cyprus,3,0,1,6,1,0,11,123,
Pavel Krtouš,Czechoslovakia,0,1,0,6,3,1,11,123,
Jussi Rahola,Finland,2,1,1,7,0,0,11,123,
I. Castin,France,3,4,0,4,0,0,11,123,
T. Apostolatos,Greece,2,1,0,7,1,0,11,123,
Miguel Aparisi Botella,Spain,4,0,0,6,1,0,11,123,
Karl Michael Göschka,Austria,2,1,0,2,4,1,10,133,
Peter Grabner,Austria,4,1,1,4,0,0,10,133,
Pekka Pitkänen,Finland,2,1,0,7,0,0,10,133,
E. Panigirakis,Greece,3,1,0,6,0,0,10,133,
A. Saadi,Morocco,2,0,0,4,4,0,10,133,
Pablo Novaes Ledieu,Spain,3,7,0,0,0,0,10,133,
José Munoz,Colombia,2,0,0,0,7,0,9,139,
Adam Obdržálek,Czechoslovakia,3,1,0,4,1,0,9,139,
J. Buinnemeh,Mongolia,3,3,0,0,3,0,9,139,
Andrés García Parilla,Spain,0,7,0,2,0,0,9,139,
Henrik Simán,Sweden,2,0,1,6,0,0,9,139,
R. Bouckkeine,Algeria,3,1,0,4,0,0,8,144,
Karel Roiz Wilson,Cuba,2,1,1,0,4,0,8,144,
Mikael Staffas,Sweden,4,0,0,4,0,0,8,144,
Pavlos Neophytou,Cyprus,2,2,0,3,0,0,7,147,
I. Korinthios,Greece,3,2,0,2,0,0,7,147,
Harold de Boer,Netherlands,2,1,0,4,0,0,7,147,
Miguel Brandt Sanz,Spain,3,1,1,1,0,1,7,147,
Andrew Jenkins,Australia,3,0,0,3,0,0,6,151,
Wilmar Ariza,Colombia,3,0,0,3,0,0,6,151,
N. Adrou Bakkali,Morocco,4,2,0,0,0,0,6,151,
Torbjörn Hamrelius,Sweden,3,0,0,3,0,0,6,151,
Hasna Riahi,Tunisia,2,1,1,2,0,0,6,151,
H. M. S. A. Ahmad,Kuwait,3,0,0,2,0,0,5,156,
Khalil Benhssein,Morocco,2,0,0,3,0,0,5,156,
Wiebe Kees Goodijk,Netherlands,3,0,0,0,0,2,5,156,
A. Tejera Gómez,Spain,0,4,0,1,0,0,5,156,
J. Secru,Belgium,1,1,0,2,0,0,4,160,
Carlos Eduardo Rodrigues Alves,Brazil,4,0,0,0,0,0,4,160,
Lily Yen,Canada,3,0,0,1,0,0,4,160,
Pavlos Christodoulides,Cyprus,2,2,0,0,0,0,4,160,
Kai Vuorilehto,Finland,0,0,0,4,0,0,4,160,
Peter Röstin,Sweden,3,0,0,0,1,0,4,160,
A. Kihel,Algeria,0,0,0,3,0,0,3,166,
Daniel Alfaro Vigo,Cuba,2,1,0,0,0,0,3,166,
Miikka Heinäsmäki,Finland,2,0,0,0,1,0,3,166,
Jarno Varteva,Finland,2,1,0,0,0,0,3,166,
A. Eddahir,Morocco,2,0,0,1,0,0,3,166,
S. Charfi,Tunisia,2,1,0,0,0,0,3,166,
T. Mkadmi,Tunisia,2,0,0,1,0,0,3,166,
John Kramer,Australia,2,0,0,0,0,0,2,173,
Aris Neophytou,Cyprus,0,1,0,1,0,0,2,173,
Savvas Sideras,Cyprus,0,0,0,2,0,0,2,173,
M. H. M. S. Al-Shayeri,Kuwait,2,0,0,0,0,0,2,173,
W. Dachraout,Tunisia,2,0,0,0,0,0,2,173,
O. Kossentini,Tunisia,2,0,0,0,0,0,2,173,
Ch. Tersago,Belgium,0,1,0,0,0,0,1,179,
K. J. Sh. Al-Amiri,Kuwait,1,0,0,0,0,0,1,179,
H. E. A. A. Nakhi,Kuwait,0,1,0,0,0,0,1,179,
G. Génova Fuster,Spain,1,0,0,0,0,0,1,179,
C. Rombouts,Belgium,0,0,0,0,0,0,0,183,
Elmar Paananen,Finland,0,0,0,0,0,0,0,183,
M. Chilla,Italy,0,0,0,0,0,0,0,183,
S. Garuglieri,Italy,0,0,0,0,0,0,0,183,
R. Gianferri,Italy,0,0,0,0,0,0,0,183,
D. Perret,Italy,0,0,0,0,0,0,0,183,
D. Ponti,Italy,0,0,0,0,0,0,0,183,
F. Riccardi,Italy,0,0,0,0,0,0,0,183,
F. F. M. S. Al-Hajeri,Kuwait,0,0,0,0,0,0,0,183,
J. A. J. Quaddoumi,Kuwait,0,0,0,0,0,0,0,183,
